ID,"FS name",FS macro region,"From","Link type","To","Description"
39,"Lowland Rice",EAP,"Major component of local diet","Leads to","Increase in food insecurity","Rice is the major staple food of Asia, and an important source of employment, however its vulnerable to climatical conditions leading to increased food insecurity."
40,"Lowland Rice",EAP,"Unsustainable land management practices","Leads to","Reduced crop productivity/failure","Unsustainable land management practices in rice leads to reduced yields."
41,"Lowland Rice",EAP,"Limited uptake of modern technologies","Leads to","Increase in food spoilage/wastage","Limited uptake of modern rice technologies leads to increase rice waste.For example, the PATBO SUPER is a special rice cultivation technology package for rainfed rice fields based on water management."
42,"Lowland Rice",EAP,"Dependence on groundwater","Leads to","Reduced groundwater tables","Overdependence of ground water tables results in falling groundwater tables, deteriorating water quality, environmental degradation, rising pumping costs, and lower crop yields."
43,"Lowland Rice",EAP,"Dependence on groundwater","Leads to","Saline intrusion","The main threats for rice cultivation in the Deltas are relative sea level rise and increased saline intrusions, and that both phenomena arise mainly from groundwater pumping and sand mining."
44,"Lowland Rice",EAP,"Inadequate climate information services","Leads to","Crop stress/damage/mortality","Information on lternative planting practices is lacking and farmers are only eligible for subsidies if they plant rice. Therefore, many farmers planted rice even though they know that it was risky. Hence, the competition for scarce water increased and resources, like seeds and fertilizer, were wasted."
45,"Lowland Rice",EAP,"Low access to markets","Leads to","Increase in food spoilage/wastage","Poor infrastructure causes delays leading to increase in food damage."
46,"Lowland Rice",EAP,"Large contributor to national/regional GDP","Leads to","Increase in food prices","The Mekong River Delta (MRD) is the rice basket of Vietnam producing 56% of the total domestic rice production and accounting for 90% of Vietnam’s rice export. However, since it's vulnerable to climatical conditions, it can lead to increased food prices.."
47,"Lowland Rice",EAP,"Low access to markets","Leads to","Delays in transportation","Poor infrastructure causes delays, and delays at borders are another major concern."
48,"Lowland Rice",EAP,"Large contributor to national/regional GDP","Leads to","Increase in food imports","Since the Mekong River Delta (MRD) is the rice basket of Vietnam producing 56% of the total domestic rice production and accounting for 90% of Vietnam’s rice export, decline in its production can lead to increase in food imports."
49,"Lowland Rice",EAP,"Water scarce area","Leads to","Reduced crop productivity/failure","Water scarcity in many eregions has resulted to  ground water pumping for irrigation"
50,"Lowland Rice",EAP,"Water scarce area","Leads to","Reduced groundwater tables","Elicited by the El Niño, the drought has resulted in effects, such as reduced agricultural production, which limit the livelihoods and aggravates food insecurity in poor and vulnerable communities.These water risks are not only the result of climate change but involve a range of factors, including farming itself, that cause water shortages, floods and degradation of water quality, extensive dam-building and ground water pumping."
51,"Lowland Rice",EAP,"Unfavourable soil conditions","Leads to","Reduced crop productivity/failure","The adoption of intensive methods of crop production, based on high levels of inorganic fertilisers and pesticides, has in many cases lowered the quality of soil and water resources. Continuous rice cultivation, using unbalanced mineral fertilisers and only low inputs of organic manure, is in some situations seriously deteriorating the physical and chemical properties of the soil with adverse consequences on crop yields."
52,"Lowland Rice",EAP,"Fragmented landscapes","Leads to","Increase in food insecurity","If land fragmentation is not reversed, an increasing proportion of farmers will be unable to rely on agriculture to ensure adequate food security and income levels thus leading to reduced on-farm employemnt migration to urban areas."
53,"Lowland Rice",EAP,"Lack of access to improved crop varieties","Leads to","Reduced crop productivity/failure","High-yielding varieties are used in all countries, but some still have significant areas of lower yielding, traditional varieties because of their perceived higher grain quality and acceptability."
54,"Lowland Rice",EAP,"Barrier to natural flows due to  infrastructure","Leads to","Sediment starvation","Water holding strategy of upstream provinces may lead towater shortages in downstream regions. The water discharge in upstream of Mekong river declined by 900m3/s. Meanwhile, water levels in middle and downstream of Mekong River increased by 0.1 – 1.5m due to tidal rise. Salinity intrusion led to increased salinity of water in rivers and irrigation canals."
55,"Lowland Rice",EAP,"Lack of irrigation infrastructure","Leads to","Reduced crop productivity/failure","There is limited scope for further expansion of irrigation systems. Only a few countries are in the fortunate position of under-exploiting their water resources. In some areas, serious shortages of irrigation water occur in the dry season. However, water use efficiencies are often low."
56,"Lowland Rice",EAP,"Lack of irrigation infrastructure","Leads to","Increase in food insecurity","Rice is the major staple food of Asia, and an important source of food security , however, without irrigation its vulnerable to climate change conditions."
57,"Lowland Rice",EAP,"Poor efficiency of farming","Leads to","Reduced crop productivity/failure","Poor farming efficiency is a breeding ground for Weeds which reduce rice yield by competing for space, nutrients, light, and water, and by serving as hosts for pests and diseases."
58,"Lowland Rice",EAP,"Lack of access to improved crop varieties","Leads to","Increase in food insecurity","Lack of stress-tolerant varieties in Asia significantly reduce rice yield and income leading to increased food insecurity."
59,"Lowland Rice",EAP,"Inadequate climate information services","Leads to","Unpredictable planting period","The crippling impacts of climate change are leaving rice farming systems at a critical state, causing unpredictable planting seasons."
60,"Lowland Rice",EAP,"Dependent on a single crop type","Leads to","Increase in food insecurity","Rice is the most important crop in Asia, providing a major portion of dietary contents, however, it's very vulnerable leading to increased food insecurity in the region."
61,"Lowland Rice",EAP,"Small farm size","Leads to","Increase in food insecurity","Small-scale producers grow most of the rice in Asia, playing a significant role in providing food security, jobs and income across the region. However, a combination of worsening inequality in food value chains and the crippling impacts of climate change is leaving rice farming systems at a critical juncture. These challenges threaten the future viability of rice production that underpins the livelihoods and primary food source for millions of people"
62,"Lowland Rice",EAP,"Poor efficiency of farming","Leads to","Reduced produce quality","On-farm deterioration in the quality of rice for sale, due to poor post-harvest management practices and inadequate storage conditions, is very significant in many areas and leads to reduced revenues from crop sales. There is limited scope for further expansion of irrigation systems. For instance Paddy produced in Myanmar is of extremely low quality because of labour shortages, the lack of mechanized options for harvesting, and field drying for up to 4 weeks before threshing"
63,"Lowland Rice",EAP,"Dependent on a single crop type","Is mitigated by","Diversify livelihoods","ome of the practices in diversifying farming systems included livestock, horticulture, annual and perennial trees combined with livestock. These however depend on a stable supply of water for irrigation.  Some farmers have shifted from rice farming to coconut/fruit tree farming and growing fodder grasses."
64,"Lowland Rice",EAP,"Unsustainable land management practices","Is mitigated by","Implement climate smart agriculture practices





","Rice production contributes to greenhouse gas emissions.In 2010, paddy rice production emitted 44.61 million tons carbon dioxide equivalents (MtCO2e), 18% of total national GHG emissions. Alternate wetting and drying (AWD)a technique in which fields are allowed to dry out to a certain point before irrigation instances is proposed as a mitigation measure with a co-benefit of increasing income compared to conventional rice cultivation."
65,"Lowland Rice",EAP,"Inability to interpret climate information","Is mitigated by","Develop policies for building climate change resilience","The governments of East Asia should strengthen policies and build institutional capacity for the national and local levels to respond to climate change and help interpret climate information."
66,"Lowland Rice",EAP,"Inability to interpret climate information","Is mitigated by","Build capacity on usage of climate information","Analysis of rice yield gaps is needed to better understand how to sustainably increase rice production across Southeast Asia by adapting to climate change should be put in place. East Asia uses a modeling approach to map rice yield gaps and assess production potential and net exports by 2040."
67,"Lowland Rice",EAP,"Limited uptake of modern technologies","Is mitigated by","Improve access to modern processing technologies","The lack of uptake of scientifically recommended production technologies by many rice smallholders should be mitigated by improving access to modern processing technologies."
68,"Lowland Rice",EAP,"Poor efficiency of farming","Is mitigated by","Build the capacity of agricultural extension agents","It is expected that extension programs will help increase farm productivity, and farm revenue, reduce poverty and minimize food insecurity in the case of poor farming efficiency."
69,"Lowland Rice",EAP,"Unsustainable land management practices","Is mitigated by","Implement climate smart agriculture practices





","Unsustainable farming practices, such as the use of pesticides and intensive monocultures, can deplete soil nutrients, therefore  Climate-smart agriculture (CSA) should be adopted to manage landscapes—cropland, livestock, forests, and fisheries."
70,"Lowland Rice",EAP,"Major component of local diet","Is mitigated by","Adjust crop calendar
","Cropping calendar optimization contributes to an increase in rice yield because it’s a major component for the local diet."
71,"Lowland Rice",EAP,"Dependence on groundwater","Is mitigated by","Invest in water harvesting and storage infrastructure","Equipping households and institutions with water harvesting tanks and underground-borehole-like storage cisterns will help maximize on water harvesting and mitigate dependence on groundwater."
72,"Lowland Rice",EAP,"Inadequate climate information services","Is mitigated by","Improve climate change awareness
","Participatory weather monitoring system to help farmers pick up weather data at various crop stages and link it to crop calendars. This forecasts will offers potential scenarios to proactively adapt to expected weather conditions"
73,"Lowland Rice",EAP,"Inadequate climate information services","Is mitigated by","Improve access to climate information services","Access to extension and weather and climate information services has been shown to increase the abilities of farmers to adopt better management practices."
74,"Lowland Rice",EAP,"Inadequate climate information services","Is mitigated by","Develop/improve early warning systems","A new tool - the South Asia Drought Monitoring System (SADMS) – is expected to provide comprehensive information about drought onset and progression. It will help improve early warning and management of a serious natural hazard which has a severe impact on agricultural production and livelihoods."
75,"Lowland Rice",EAP,"Inconsistencies in policy implementation","Is mitigated by","Improve networking and knowledge exchange","For instance, Inconsistencies were observed in subsidy policies being implemented. During the winter-spring season, farmers were recommended to reduce their planted areas to avoid losses, therefore, networking and knowledge exchange will help mitigate this."
76,"Lowland Rice",EAP,"Inconsistencies in policy implementation","Is mitigated by","Build capacity on advocacy","Strengthen the capacity to gather evidence, and to design and implement policies on climate change efficacy."
77,"Lowland Rice",EAP,"Inadequate climate information services","Is mitigated by","Improve interprovincial interventions","Agricultural production of adjacent provinces is interlinked to each other through their land use decisions, water sharing scheme, and farming practices so that they can enlighten each other on matters climate information."
78,"Lowland Rice",EAP,"Large contributor to national GDP","Is mitigated by","Plant multiple varieties","Most of the salinity intrusion occurred during the late vegetative or early reproductive periods of the rice crop. This rendered salinity-tolerant varieties ineffective, as their tolerance to salinity is only during the seedling/vegetative stage. Farmers who irrigated their fields with saline water suffered “burnt” fields, and those that did not suffered from drought. Adopting new and adapted rice varieties is identified as one of the ways of sustaining productivity in the region"
79,"Lowland Rice",EAP,"Unfavourable soil conditions","Is mitigated by","Plant multiple varieties","High salinity during the late stage of rice growth (around maturity) was also a major problem
during the 2016 salinity crisis. Early cut-off dates for harvesting rice can help avoid stretching the
crop into periods of high salinity by late March and April. Suitable short-duration varieties for
the adjusted growth window thus need to be identified and promoted. Additional investments
should be made to further improve those varieties, and to improve late-stage salinity tolerance"
80,"Lowland Rice",EAP,"Water scarce area","Is mitigated by","Adopt drought tolerant varieties






","High salinity during the late stage of rice growth (around maturity) was also a major problem
during the 2016 salinity crisis. Early cut-off dates for harvesting rice can help avoid stretching the
crop into periods of high salinity by late March and April. Suitable short-duration varieties for
the adjusted growth window thus need to be identified and promoted. Additional investments
should be made to further improve those varieties, and to improve late-stage salinity tolerance"
81,"Lowland Rice",EAP,"Water scarce area","Is mitigated by","Implement water conservation irrigation","Ground-water for sprinkler irrigation without schedule is unsustainable. Salinization reduces
the amount of freshwater in many areas and the prolonged drought results in the 17 exhaustion of underground water sources. In many areas, farmers have to drill wells up to 90-100m in depth to get freshwater."
82,"Lowland Rice",EAP,"Small farm size","Is mitigated by","Diversify livelihoods","Some farmers may be able to diversify into different crops, or off-farm income earning activities."
83,"Lowland Rice",EAP,"Low access to markets","Is mitigated by","Invest in road infrastructure","South Asia needs to invest up to $2.5 trillion to bridge its infrastructure gap over the next ten years to ensure there is market accessibility from the remote areas."
84,"Lowland Rice",EAP,"Small farm size","Is mitigated by","Invest in agricultural research and development","Adoption of an integrated farming system (IFS) is essential to achieve food and nutritional security in small and marginal holdings."
85,"Lowland Rice",EAP,"Low access to markets","Is mitigated by","Establish farmer organisations","Farmer organizations such as women's saving clubs, producers' organizations, and farmers' fields should be established to help the rural poor mitigate risks and market their produce."
86,"Lowland Rice",EAP,"Small farm size","Is mitigated by","Structural adjustments","To ensure that the modernization of the rice sector benefits small-scale farmers, we call on governments, the private sector and civil society to address the structural inequalities."
87,"Lowland Rice",EAP,"Lack of irrigation infrastructure","Is mitigated by","Invest in irrigation infrastructure","The development of new irrigated rice systems in lowland environments and intensification of lowland rice productivity to mitigate the lack of infrastructure."
88,"Lowland Rice",EAP,"Farmers engaged in agri system","Exposed to","Chronic poverty 
","The drought and saltwater intrusion has made hundreds of thousands of families more serious, while most of them are already living under poverty line."
89,"Lowland Rice",EAP,"Farmers engaged in agri system","Exposed to","Loss of livelihoods","Coastal induction and saline intrusion accelerating due to sea level rise and coastal erosion are leading to contamination of surface water and groundwater reserves, wetlands loss, and various public health risks. It makes the livelihoods of many people dependent on fisheries and agriculture increasingly uncertain."
90,"Lowland Rice",EAP,"Farmers engaged in agri system","Exposed to","Food insecurity","Farmers engaged in this agrysystem are exposed to food insecurity, because, the rice production system in the Mekong River Delta contributes more than half of the total domestic rice production and more than 90% of Vietnam’s rice export annually, and has a significant role in food security of the country, is increasingly under pressure from climatical related factors."
91,"Lowland Rice",EAP,"Area of land used","Exposed to","Food insecurity","About 71 million ha, or almost one third of the total area of the system, are estimated to be cultivated"
92,"Temperate Mixed",EAP,"Increase in frost events","Leads to","Reduced crop productivity/failure","Increasein frost events leads to reduced crop productivity.Frost is associated with sterility and the abortion of formed grains in wheat."
93,"Temperate Mixed",EAP,"Shorter growing season","Leads to","Reduced crop productivity/failure","Shorter growing leads to reduced crop productivity in especially in Maize and wheat which are the two important staple crops."
94,"Temperate Mixed",EAP,"Increase in extreme rainfall events","Leads to","Increased flooding
","Heavy rainfalls leads to increased flooding."
95,"Temperate Mixed",EAP,"Rising sea levels","Leads to","Flash floods","WMO reported that sea level rise is already having a major impact on society, economies and ecosystems in Pacific islands, and increases vulnerability to flash floods."
96,"Temperate Mixed",EAP,"Increase in tropical cyclones/hurricanes","Leads to","Reduced crop productivity/failure","Between 2000 and 2019, extreme weather events such as tropical cyclones caused around 1,500 fatalities and led to reduced crop productivity."
97,"Temperate Mixed",EAP,"Increase in drought events","Leads to","Increased incidence of bushfires","Increased droughts leads to increased incidence of bushfires i.e  the unprecedented 2019-2020 wildfire season."
98,"Temperate Mixed",EAP,"Increase in drought events","Leads to","Land degradation","Increased Drought events leads to increased land degradation in East Asia."
99,"Temperate Mixed",EAP,"Increase in strong winds","Leads to","Increased flooding
","Increase in strong winds causes Monsoon season which brings very heavy rains causing massive flooding and landslides,which can lead to a high number of casualties."
100,"Temperate Mixed",EAP,"Increase in average temperatures","Leads to","Increase in diseases","Increasing temperatures will lead to an increase in diseases and pests that will eventually impact crop yields and livestock production."
101,"Temperate Mixed",EAP,"Increase in frost events","Leads to","Reduced livestock productivity","Increased in frost events can cause important drops in forage production, such as the 60 percent deficit of green fodder during the 2003."
102,"Temperate Mixed",EAP,"Increase in frost events","Leads to","Crop stress/damage/mortality","The projected increase in the frost event causes sensitivity in plant reproduction and plant structure vegetation leading to crop stress or damage."
103,"Temperate Mixed",EAP,"Shorter growing season","Leads to","Unpredictable planting period","Changes in the length of the growing season can have both positive and negative effects on the yield and prices of particular crops, by causing unpredictable planting periods."
104,"Temperate Mixed",EAP,"Increase in extreme rainfall events","Leads to","Soil erosion","The potential impacts of heavy precipitation include crop damage, soil erosion, and an increase in flood risk due to heavy rains."
105,"Temperate Mixed",EAP,"Increase in extreme rainfall events","Leads to","Reduced crop productivity/failure","Changes in rainfall patterns can increase the likelihood of crop failure and result in production declines."
106,"Temperate Mixed",EAP,"Rising sea levels","Leads to","Landslide events","Dangers of sea-level rise include, land loss from the permanent inundation of low-lying coastal areas."
107,"Temperate Mixed",EAP,"Rising sea levels","Leads to","Damage to infrastructure","Sea level rise, coupled with storm surge, will continue to increase the risk of major coastal impacts on transportation infrastructure, including both temporary and permanent flooding of airports, ports and harbors, roads, rail lines, tunnels, and bridges."
108,"Temperate Mixed",EAP,"Increase in tropical cyclones/hurricanes","Leads to","Landslide events","Tropical cyclones, also known as typhoons or hurricanes, are among the most destructive weather phenomena."
109,"Temperate Mixed",EAP,"Increase in hailstorms","Leads to","Landslide events","More frequent and intense rainfall events such as hailstorms due to climate change could cause  landslide events."
110,"Temperate Mixed",EAP,"Increase in hailstorms","Leads to","Damage to infrastructure","The probability of reported hail damage to roofs, windows, and vehicles strongly increases as hail size exceeds 5 cm."
111,"Temperate Mixed",EAP,"Increase in hailstorms","Leads to","Reduced crop productivity/failure","Hailstorm can damage the various plant parts, including foliage, branches, stems, fruits, and seeds, and extensive damage to forests, leading to reduced crop production."
112,"Temperate Mixed",EAP,"Increase in strong winds","Leads to","Damage to infrastructure","According to the IPCC's simulations, Asia, for example, is expected to experience damage to urban infrastructure due to increase in strong winds."
113,"Temperate Mixed",EAP,"Increase in strong winds","Leads to","Landslide events","Strong winds increase turbulence in the atmosphere and also cause soil erosion leading to landslide events."
114,"Temperate Mixed",EAP,"Increase in strong winds","Leads to","Reduced crop productivity/failure","Strong winds damage crops by flattening small grain  through lodging, hence reducing productivity."
115,"Temperate Mixed",EAP,"Increase in frost events","Leads to","Increase in food insecurity","Maize and wheat production will be impaired by increasing frost events leading to increased food insecurity."
116,"Temperate Mixed",EAP,"Shorter growing season","Leads to","Loss of income","Shorter growing seasons could indicate reduced productivity, hence loss of income."
117,"Temperate Mixed",EAP,"Increase in hailstorms","Leads to","Increase in food prices","Climate stimuli such as hailstorms leads to increased wheat and maize prices due to increase in the prices of fertilizers."
118,"Temperate Mixed",EAP,"Increase in extreme rainfall events","Leads to","Increase in poverty","Extreme rainfall causes flooding that destroys crops and livestock leading to increase in poverty."
119,"Temperate Mixed",EAP,"Rising sea levels","Leads to","Increase in migration","In 2018, the total number of IDP due to natural hazards were 2.4 million, out of which 590,000 were refugees and 1.8 million were IDP."
120,"Temperate Mixed",EAP,"Increase in tropical cyclones/hurricanes","Leads to","Increase in food insecurity","Tropical cyclones wash saltwater onto agricultural land making it unproductive, which causes short term food shortage and long term food insecuriy in the region."
121,"Temperate Mixed",EAP,"Increase in drought events","Leads to","Increase in food insecurity","Drought affects the four dimension of food security; availability, stability, access and utilization."
122,"Temperate Mixed",EAP,"Shorter growing season","Leads to","Increase in food insecurity","Shorter growing seasons due to climate impacts leads to increased food insecurity."
123,"Temperate Mixed",EAP,"Increase in tropical cyclones/hurricanes","Leads to","Increase in migration","Different migration responses emerge from sudden-onset disasters – such as cyclones, which immediately displace people."
124,"Temperate Mixed",EAP,"Increase in drought events","Leads to","Increase in poverty","The report the world bank found that the poorest people are more exposed than the average population to climate-related shocks such as floods, droughts."
125,"Temperate Mixed",EAP,"Increase in average temperatures","Leads to","Loss of income","East Asia is expected to have the least loss from higher temperature, with a lower per capita income by around 2.9% in 2100."
126,"Temperate Mixed",EAP,"Increase in average temperatures","Leads to","Increase in livestock mobility","Changing weather patterns and warming temperatures could contribute to shifting pest and disease distribution and could increase stress on livestock leading increased livestock mobility."
127,"Temperate Mixed",EAP,"Increase in extreme rainfall events","Leads to","Increase in food insecurity","Extreme rainfall causes flooding that destroys crops causing reduced crop productivity, which in turn leads to increased food insecurity."
128,"Temperate Mixed",EAP,"Increase in average temperatures","Leads to","Increase in food insecurity","Extremely high temperatures lead to crop stress and increased livestock mortality thus leading to increased food insecurity."
129,"Temperate Mixed",EAP,"Land degradation","Leads to","Reduced livestock productivity","Livestock production and yields are likely to suffer a decrease, due to diminishing grassland and overgrazing."
