"ID","Citation","Year","Number"
"1371","Bhatt et al.","2016","1"
"1382","Bhatt et al.","2016","1"
"1383","Bhatt et al.","2016","1"
"1387","Bhatt et al.","2016","1"
"1387","Bhatt et al.","2021","1"
"1389","Bhatt et al.","2016","1"
"1389","Bhatt et al.","2021","1"
"1390","Bhatt et al.","2016","1"
"1400","Bhatt et al.","2016","1"
"1400","Bhatt et al.","2021","1"
"1401","Bhatt et al.","2021","1"
"1402","Bhatt et al.","2016","1"
"1404","Bhatt et al.","2016","1"
"1404","Bhatt et al.","2021","1"
"1406","Bhatt et al.","2016","1"
"1406","Bhatt et al.","2021","1"
"1407","Bhatt et al.","2016","1"
"1407","Bhatt et al.","2021","1"
"1408","Bhatt et al.","2016","1"
"1409","Bhatt et al.","2016","1"
"1410","Bhatt et al.","2016","1"
"1412","Bhatt et al.","2016","1"
"1413","Bhatt et al.","2016","1"
"1417","Bhatt et al.","2016","1"
"1417","Bhatt et al.","2021","1"
"1418","Bhatt et al.","2016","1"
"1425","Bhatt et al.","2016","1"
"1427","Bhatt et al.","2021","1"
"1429","Bhatt et al.","2021","1"
"1430","Bhatt et al.","2021","1"
"1431","Bhatt et al.","2021","1"
"1435","Bhatt et al.","2021","1"
"1436","Bhatt et al.","2021","1"
"1441","Bhatt et al.","2016","1"
"1446","Bhatt et al.","2016","1"
"1262","Bhattacharya","2021","1"
"1791","Biazin et al.","2012","1"
"1418","Bijarniya et al.","2020","1"
"1420","Bijarniya et al.","2020","1"
"1421","Bijarniya et al.","2020","1"
"1435","Bijarniya et al.","2020","1"
"1437","Bijarniya et al.","2020","1"
"1441","Bijarniya et al.","2020","1"
"1443","Bijarniya et al.","2020","1"
"2113","Bjornlund et al.","2020","1"
"1578","Bjornlund et al.","2022","3"
"2260","Bjornlund et al.","2020","1"
"2261","Bjornlund et al.","2020","1"
"729","Bohn et al.","2018","1"
"736","Bohn et al.","2018","1"
"761","Bohn et al.","2018","1"
"762","Bohn et al.","2018","1"
"763","Bohn et al.","2018","1"
"779","Bohn et al.","2018","1"
"780","Bohn et al.","2018","1"
"1993","Bongase","2017","1"
"2023","Bongase","2017","1"
"2112","Bongiwe","2015","1"
"1886","Bonuedi et al.","2020","1"
"1936","Bonuedi et al.","2020","1"
"1111","Borghesi and Ticci","2019","1"
"1136","Borghesi and Ticci","2019","1"
"2285","Botchway et al.","2018","1"
"759","Bouza et al.","2015","1"
"1790","Brown et al.","2022","1"
"1752","Burney et al.","2013","1"
"1757","Burney et al.","2013","1"
"208","Butler et al.","2020","1"
"627","Cai et al.","2020","1"
"655","Cai et al.","2020","1"
"209","Carandang","2010","1"
"210","Carandang","2010","1"
"235","Carandang","2010","1"
"253","Carandang","2010","1"
"259","Carandang","2010","1"
"260","Carandang","2010","1"
"261","Carandang","2010","1"
"269","Carandang","2010","1"
"277","Carandang","2010","1"
"279","Carandang","2010","1"
"280","Carandang","2010","1"
"281","Carandang","2010","1"
"284","Carandang","2010","1"
"296","Carandang","2010","1"
"299","Carandang","2010","1"
"302","Carandang","2010","1"
"303","Carandang","2010","1"
"306","Carandang","2010","1"
"311","Carandang","2010","1"
"312","Carandang","2010","1"
"1738","Carranza et al.","2019","1"
"1739","Carranza et al.","2019","1"
"1741","Carranza et al.","2019","1"
"1742","Carranza et al.","2019","1"
"1778","Carranza et al.","2019","1"
"1252","CASA","2015","1"
"2","CCAFS","2016","1"
"4","CCAFS","2016","1"
"5","CCAFS","2016","1"
"6","CCAFS","2016","1"
"7","CCAFS","2016","1"
"8","CCAFS","2016","1"
"17","CCAFS","2016","1"
"18","CCAFS","2016","1"
"21","CCAFS","2016","1"
"44","CCAFS","2016","1"
"45","CCAFS","2016","1"
"47","CCAFS","2016","1"
"49","CCAFS","2016","1"
"50","CCAFS","2016","1"
"53","CCAFS","2016","1"
"55","CCAFS","2016","1"
"72","CCAFS","2016","1"
"75","CCAFS","2016","1"
"76","CCAFS","2016","1"
"78","CCAFS","2016","1"
"79","CCAFS","2016","1"
"80","CCAFS","2016","1"
"81","CCAFS","2016","1"
"88","CCAFS","2016","1"
"89","CCAFS","2016","1"
"3","CCAFS","2016","1"
"54","CCFAS","2016","1"
"1812","CCFAS","2013","1"
"1813","CCFAS","2013","1"
"2019","Cedric et al.","2022","1"
"392","CEPAL","2012","1"
"767","Cerrato et al.","2022","1"
"769","Cerrato et al.","2022","1"
"782","Cerrato et al.","2022","1"
"42","CGIAR","2020","1"
"1414","Chandel et al.","2022","1"
"1416","Chandel et al.","2022","1"
"1439","Chandel et al.","2022","1"
"4","Chapman and Darby","2016","1"
"55","Chapman and Darby","2016","1"
"3","Chapman and Darby","2016","1"
"1882","Chapman et al.","2020","1"
"1907","Chapman et al.","2020","1"
"2077","Chapman et al.","2020","1"
"1723","Chapman et al.","2020","1"
"1728","Chapman et al.","2020","1"
"1747","Chapman et al.","2020","1"
"1753","Chapman et al.","2020","1"
"1758","Chapman et al.","2020","1"
"1815","Chapman et al.","2020","1"
"1816","Chapman et al.","2020","1"
"1817","Chapman et al.","2020","1"
"2338","Chemura et al.","2020","1"
"2339","Chemura et al.","2020","1"
"2347","Chemura et al.","2020","1"
"2352","Chemura et al.","2020","1"
"1950","Cheruiyot et al.","2007","1"
"1951","Cheruiyot et al.","2007","1"
"1949","Cheserek et al.","2015","1"
"1950","Cheserek et al.","2015","1"
"1951","Cheserek et al.","2015","1"
"1953","Cheserek et al.","2015","1"
"1954","Cheserek et al.","2015","1"
"1956","Cheserek et al.","2015","1"
"1957","Cheserek et al.","2015","1"
"1958","Cheserek et al.","2015","1"
"1973","Cheserek et al.","2015","1"
"1975","Cheserek et al.","2015","1"
"1767","Chinseu et al.","2022","1"
"635","Chávez and Takahashi","2017","1"
"636","Chávez and Takahashi","2017","1"
"1540","CIAT and USAID","2016","1"
"1563","CIAT and USAID","2016","1"
"2155","CIAT and USAID","2016","1"
"2156","CIAT and USAID","2016","1"
"2179","CIAT and USAID","2016","1"
"2240","CIAT and USAID","2016","1"
"2248","CIAT and USAID","2016","1"
"2255","CIAT and USAID","2016","1"
"506","CIAT and World Bank","2017","1"
"533","CIAT and World Bank","2017","1"
"1358","CIMMYT","2022","1"
"181","CLI","2014","1"
"649","Godde et al.","2021","1"
"486","Godde et al.","2021","1"
"1859","Coalson et al.","2021","1"
"1860","Coalson et al.","2021","1"
"1837","Codjoe et al.","2020","1"
"1838","Codjoe et al.","2020","1"
"16","Cramb et al.","2015","1"
"62","Cramb et al.","2015","1"
"2217","Crippa et al.","2022","1"
"982","Loudyi","2020","1"
"985","Loudyi","2020","1"
"986","Loudyi","2020","1"
"1001","Loudyi","2020","1"
"1386","Daloz et al.","2021","1"
"2225","Kuteyi and Winkler","2022","1"
"2227","Kuteyi and Winkler","2022","1"
"1781","Runde et al.","2021","1"
"2004","Dave et al.","2017","1"
"564","de Andrade et al.","2017","1"
"577","de Andrade et al.","2017","1"
"580","de Andrade et al.","2017","1"
"582","de Andrade et al.","2017","1"
"615","de Andrade et al.","2017","1"
"1644","Debela et al.","2015","1"
"1450","Deep et al.","2018","1"
"1459","Deep et al.","2018","1"
"1488","Deep et al.","2018","1"
"1491","Deep et al.","2018","1"
"1492","Deep et al.","2018","1"
"1500","Deep et al.","2018","1"
"1521","Deep et al.","2018","1"
"1524","Deep et al.","2018","1"
"1525","Deep et al.","2018","1"
"1718","Deepak and Prasanta","2017","1"
"148","Devendra","2012","1"
"168","Devendra","2012","1"
"171","Devendra","2012","1"
"947","Devkota and Yigezu","2020","1"
"922","Devkota et al.","2022","1"
"942","Devkota et al.","2022","1"
"949","Devkota et al.","2022","1"
"951","Devkota et al.","2022","1"
"952","Devkota et al.","2022","1"
"953","Devkota et al.","2022","1"
"954","Devkota et al.","2022","1"
"966","Devkota et al.","2022","1"
"1403","Dhanda et al.","2022","1"
"1417","Dhanda et al.","2022","1"
"1421","Dhanda et al.","2022","1"
"1425","Dhanda et al.","2022","1"
"1429","Dhanda et al.","2022","1"
"1430","Dhanda et al.","2022","1"
"1431","Dhanda et al.","2022","1"
"1432","Dhanda et al.","2022","1"
"1433","Dhanda et al.","2022","1"
"1436","Dhanda et al.","2022","1"
"1438","Dhanda et al.","2022","1"
"1442","Dhanda et al.","2022","1"
"1443","Dhanda et al.","2022","1"
"1444","Dhanda et al.","2022","1"
"1445","Dhanda et al.","2022","1"
"1447","Dhanda et al.","2022","1"
"458","DI Rodríguez et al.","2016","1"
"460","DI Rodríguez et al.","2016","1"
"464","DI Rodríguez et al.","2016","1"
"466","DI Rodríguez et al.","2016","1"
"218","Diana et al.","2022","1"
"219","Diana et al.","2022","1"
"259","Diana et al.","2022","1"
"260","Diana et al.","2022","1"
"261","Diana et al.","2022","1"
"270","Diana et al.","2022","1"
"271","Diana et al.","2022","1"
"279","Diana et al.","2022","1"
"296","Diana et al.","2022","1"
"297","Diana et al.","2022","1"
"311","Diana et al.","2022","1"
"312","Diana et al.","2022","1"
"5","Dinh and Dang","2022","1"
"6","Dinh and Dang","2022","1"
"9","Dinh and Dang","2022","1"
"21","Dinh and Dang","2022","1"
"1989","Diogo et al.","2022","1"
"1990","Diogo et al.","2022","1"
"37","Dixon et al.","2001","1"
"38","Dixon et al.","2001","1"
"51","Dixon et al.","2001","1"
"52","Dixon et al.","2001","1"
"53","Dixon et al.","2001","1"
"55","Dixon et al.","2001","1"
"62","Dixon et al.","2001","1"
"63","Dixon et al.","2001","1"
"91","Dixon et al.","2001","1"
"970","Dixon et al.","2020","1"
"971","Dixon et al.","2020","1"
"972","Dixon et al.","2020","1"
"977","Dixon et al.","2020","1"
"1033","Dixon et al.","2020","1"
"1042","Dixon et al.","2020","1"
"1044","Dixon et al.","2020","1"
"1050","Dixon et al.","2020","1"
"1053","Dixon et al.","2020","1"
"1056","Dixon et al.","2020","1"
"1059","Dixon et al.","2020","1"
"1060","Dixon et al.","2020","1"
"1064","Dixon et al.","2020","1"
"1068","Dixon et al.","2020","1"
"1085","Dixon et al.","2020","1"
"1091","Dixon et al.","2020","1"
"1095","Dixon et al.","2020","1"
"1096","Dixon et al.","2020","1"
"1097","Dixon et al.","2020","1"
"1208","Dixon et al.","2020","1"
"1214","Dixon et al.","2020","1"
"1215","Dixon et al.","2020","1"
"1115","Donat et al.","2014","1"
"1134","Donat et al.","2014","1"
"798","Donatti et al.","2018","1"
"810","Donatti et al.","2018","1"
"831","Donatti et al.","2018","1"
"840","Donatti et al.","2018","1"
"849","Donatti et al.","2018","1"
"855","Donatti et al.","2018","1"
"856","Donatti et al.","2018","1"
"858","Donatti et al.","2018","1"
"865","Donatti et al.","2018","1"
"736","Donoso","2021","1"
"762","Donoso","2021","1"
"763","Donoso","2021","1"
"771","Donoso","2021","1"
"779","Donoso","2021","1"
"780","Donoso","2021","1"
"786","Donoso","2021","1"
"163","Douglas","2006","1"
"165","Douglas","2006","1"
"1303","Douglas","2006","1"
"1285","DST","2020","1"
"1286","DST","2020","1"
"1295","DST","2020","1"
"1298","DST","2020","1"
"1310","DST","2020","1"
"1321","DST","2020","1"
"1322","DST","2020","1"
"1349","DST","2020","1"
"1352","DST","2020","1"
"1361","DST","2020","1"
"1365","DST","2020","1"
"875","Durrell","2018","1"
"877","Durrell","2018","1"
"881","Durrell","2018","1"
"882","Durrell","2018","1"
"885","Durrell","2018","1"
"886","Durrell","2018","1"
"887","Durrell","2018","1"
"888","Durrell","2018","1"
"889","Durrell","2018","1"
"890","Durrell","2018","1"
"892","Durrell","2018","1"
"893","Durrell","2018","1"
"894","Durrell","2018","1"
"896","Durrell","2018","1"
"897","Durrell","2018","1"
"898","Durrell","2018","1"
"968","Durrell","2018","1"
"752","Dévora-Isiordia et al.","2018","1"
"798","Eash et al.","2019","1"
"810","Eash et al.","2019","1"
"811","Eash et al.","2019","1"
"812","Eash et al.","2019","1"
"850","Eash et al.","2019","1"
"851","Eash et al.","2019","1"
"854","Eash et al.","2019","1"
"869","Eash et al.","2019","1"
"870","Eash et al.","2019","1"
"1963","OBWOCHA et al.","2015","1"
"1352","Ebingfer and Vandycke","2015","1"
"1353","Ebingfer and Vandycke","2015","1"
"1812","Echeverria and Terton","2016","1"
"1813","Echeverria and Terton","2016","1"
"1889","Echeverria and Terton","2016","1"
"471","ECLAC","2021","1"
"1195","EcoMENA","2021","1"
"1199","EcoMENA","2021","1"
"1209","EcoMENA","2021","1"
"1885","Edeme et al.","2020","1"
"1805","Atake","2018","1"
"2007","Ehui and Pender","2005","1"
"798","Eitzinger et al.","2012","1"
"802","Eitzinger et al.","2012","1"
"819","Eitzinger et al.","2012","1"
"820","Eitzinger et al.","2012","1"
"823","Eitzinger et al.","2012","1"
"824","Eitzinger et al.","2012","1"
"825","Eitzinger et al.","2012","1"
"830","Eitzinger et al.","2012","1"
"831","Eitzinger et al.","2012","1"
"840","Eitzinger et al.","2012","1"
"843","Eitzinger et al.","2012","1"
"845","Eitzinger et al.","2012","1"
"847","Eitzinger et al.","2012","1"
"848","Eitzinger et al.","2012","1"
"849","Eitzinger et al.","2012","1"
"850","Eitzinger et al.","2012","1"
"851","Eitzinger et al.","2012","1"
"852","Eitzinger et al.","2012","1"
"853","Eitzinger et al.","2012","1"
"854","Eitzinger et al.","2012","1"
"857","Eitzinger et al.","2012","1"
"858","Eitzinger et al.","2012","1"
"859","Eitzinger et al.","2012","1"
"862","Eitzinger et al.","2012","1"
"864","Eitzinger et al.","2012","1"
"865","Eitzinger et al.","2012","1"
"866","Eitzinger et al.","2012","1"
"867","Eitzinger et al.","2012","1"
"868","Eitzinger et al.","2012","1"
"871","Eitzinger et al.","2012","1"
"872","Eitzinger et al.","2012","1"
"1878","Elum et al .","2017","1"
"2324","Emediegwu et al.","2022","1"
"625","Emmer","2017","1"
"201","ESCAP","2020","1"
"994","United Nations Economic and Social Commission for Western Asia (ESCWA)","2017","1"
"1109","United Nations Economic and Social Commission for Western Asia (ESCWA)","2017","1"
"1110","United Nations Economic and Social Commission for Western Asia (ESCWA)","2017","1"
"1114","United Nations Economic and Social Commission for Western Asia (ESCWA)","2017","1"
"1132","United Nations Economic and Social Commission for Western Asia (ESCWA)","2017","1"
"1133","United Nations Economic and Social Commission for Western Asia (ESCWA)","2017","1"
"1135","United Nations Economic and Social Commission for Western Asia (ESCWA)","2017","1"
"1146","United Nations Economic and Social Commission for Western Asia (ESCWA)","2017","1"
"1147","United Nations Economic and Social Commission for Western Asia (ESCWA)","2017","1"
"1148","United Nations Economic and Social Commission for Western Asia (ESCWA)","2017","1"
"1152","United Nations Economic and Social Commission for Western Asia (ESCWA)","2017","1"
"751","Etesami and Noori","2019","1"
"25","EU","2006","1"
"30","EU","2006","1"
"1505","Eyasmin et al.","2021","1"
"1520","Eyasmin et al.","2021","1"
"1144","Fader et al.","2013","1"
"1150","Fader et al.","2013","1"
"453","Falconi et al .","2012","1"
"1534","Fall","2022","1"
"1541","Fall","2022","1"
"1542","Fall","2022","1"
"1543","Fall","2022","1"
"1544","Fall","2022","1"
"1572","Fall","2022","1"
"2149","Fall","2022","1"
"2150","Fall","2022","1"
"2151","Fall","2022","1"
"2152","Fall","2022","1"
"2188","Fall","2022","1"
"2192","Fall","2022","1"
"2202","Fall","2022","1"
"2206","Fall","2022","1"
"1733","Fang et al.","2020","1"
"1734","Fang et al.","2020","1"
"1736","Fang et al.","2020","1"
"1737","Fang et al.","2020","1"
"1797","Fang et al.","2020","1"
"1801","Fang et al.","2020","1"
"100","FAO","2011","1"
"101","FAO","2015","1"
"102","FAO","2015","1"
"120","FAO","2011","1"
"121","FAO","2017","1"
"123","FAO","2011","1"
"128","FAO","2011","1"
"131","FAO","2017","1"
"133","FAO","2017","1"
"140","FAO","2022","1"
"145","FAO","2021","1"
"146","FAO","2021","1"
"166","FAO","2021","1"
"169","FAO","2021","1"
"174","FAO","2021","1"
"175","FAO","2021","1"
"176","FAO","2017","1"
"179","FAO","2017","1"
"183","FAO","2021","1"
"209","FAO","2018","1"
"221","FAO","2018","1"
"223","FAO","2018","1"
"254","FAO","2018","1"
"303","FAO","2018","1"
"309","FAO","2018","1"
"405","FAO","2019","1"
"409","FAO","2019","1"
"416","FAO","2016","1"
"487","FAO","2021","1"
"511","FAO","2018","1"
"568","FAO","2020","1"
"750","FAO","2015","1"
"753","FAO","2015","1"
"754","FAO","2015","1"
"755","FAO","2015","1"
"756","FAO","2015","1"
"757","FAO","2015","1"
"906","FAO","2015","1"
"908","FAO","2015","1"
"1017","FAO","2022","1"
"1022","FAO","2014","1"
"1028","FAO","2022","1"
"1051","FAO","2014","1"
"1054","FAO","2015","1"
"1092","FAO","2014","1"
"1094","OECD/FAO","2018","1"
"1100","OECD/FAO","2018","1"
"1169","FAO","2018","1"
"1378","FAO","2018","1"
"1397","FAO","2015","1"
"1399","FAO","2015","1"
"1603","FAO","2015","1"
"1731","FAO","2015","1"
"430","Fay et al.","2017","1"
"2092","Fayad.","2022","1"
"1780","Felix and Romuald","2012","1"
"1783","Felix and Romuald","2012","1"
"1696","Felix and Romuald","2012","1"
"1740","Felix and Romuald","2012","1"
"2371","Ferraro et al.","2015","1"
"1112","Ferrise et al.","2013","1"
"656","Fiebig-Wittmaack et al.","2011","1"
"676","Fiebig-Wittmaack et al.","2011","1"
"680","Fiebig-Wittmaack et al.","2011","1"
"683","Fiebig-Wittmaack et al.","2011","1"
"1535","Filho et al.","2020","1"
"1536","Filho et al.","2020","1"
"1538","Filho et al.","2020","1"
"1539","Filho et al.","2020","1"
"1540","Filho et al.","2020","1"
"1545","Filho et al.","2020","1"
"1546","Filho et al.","2020","1"
"1564","Filho et al.","2020","1"
"1568","Filho et al.","2020","1"
"1569","Filho et al.","2020","1"
"1570","Filho et al.","2020","1"
"2149","Filho et al.","2020","1"
"2150","Filho et al.","2020","1"
"2151","Filho et al.","2020","1"
"2152","Filho et al.","2020","1"
"2154","Filho et al.","2020","1"
"2155","Filho et al.","2020","1"
"2156","Filho et al.","2020","1"
"2157","Filho et al.","2020","1"
"2159","Filho et al.","2020","1"
"2168","Filho et al.","2020","1"
"2172","Filho et al.","2020","1"
"2178","Filho et al.","2020","1"
"2182","Filho et al.","2020","1"
"2184","Filho et al.","2020","1"
"2186","Filho et al.","2020","1"
"2187","Filho et al.","2020","1"
"2190","Filho et al.","2020","1"
"2195","Filho et al.","2020","1"
"2197","Filho et al.","2020","1"
"2201","Filho et al.","2020","1"
"1923","Fleshman","2008","1"
"2253","Flintan et al.","2022","1"
"2254","Flintan et al.","2022","1"
"2089","Fraval et al.","2019","1"
"2090","Fraval et al.","2019","1"
"1905","Fraval et al.","2019","1"
"73","Friedman et al.","2022","1"
"68","Danso-Abbeam et al.","2018","1"
"192","Wang et al.","2019","1"
"760","Garcia et al.","2022","1"
"765","Garcia et al.","2022","1"
"1108","García-Ruiz et al.","2011","1"
"590","Garrett et al.","2017","1"
"617","Garrett et al.","2017","1"
"2023","Garrity et al.","2012","1"
"2024","Garrity et al.","2012","1"
"2025","Garrity et al.","2012","1"
"1904","Gebre et al.","2015","1"
"1858","Gebrehiwot et al.","2016","1"
"2359","GEPA","2017","1"
"648","Poveda et al.","2020","1"
"731","Gianella et al.","2019","1"
"742","Gianella et al.","2019","1"
"744","Gianella et al.","2019","1"
"2082","Gianessi","2014","1"
"2083","Gianessi","2014","1"
"2084","Gianessi","2014","1"
"2122","Gianessi","2014","1"
"1980","Giller et al.","2021","1"
"71","Ginting","2022","1"
"628","Giráldez et al.","2020","1"
"632","Giráldez et al.","2020","1"
"633","Giráldez et al.","2020","1"
"2161","Githu et al.","2022","1"
"1961","Bett et al.","2018","1"
"1962","Bett et al.","2018","1"
"126","Godoy","2015","1"
"129","Godoy","2015","1"
"135","Godoy","2015","1"
"483","Godoy","2015","1"
"732","Godoy","2015","1"
"733","Godoy","2015","1"
