"ID","Type2"
"106","Sensitivity and susceptibility to harm"
"107","Sensitivity and susceptibility to harm"
"108","Sensitivity and susceptibility to harm"
"109","Lack of capacity to cope and adapt"
"110","Lack of capacity to cope and adapt"
"111","Lack of capacity to cope and adapt"
"112","Lack of capacity to cope and adapt"
"113","Lack of capacity to cope and adapt"
"114","Lack of capacity to cope and adapt"
"115","Natural capital"
"116","Physical capital"
"117","Physical capital"
"118","Physical capital"
"119","Physical capital"
"120","Human capital"
"121","Human capital"
"122","Human capital"
"123","Human capital"
"124","Human capital"
"125","Human capital"
"126","Human capital"
"127","Human capital"
"128","Human capital"
"129","Human capital"
"130","Human capital"
"131","Human capital"
"132","Human capital"
"133","Social capital"
"134","Social capital"
"135","Social capital"
"136","Social capital"
"137","Political capital"
"138","Political capital"
"139","Political capital"
"140","Financial capital"
"141","Financial capital"
"142","Financial capital"
"143","Financial capital"
"149","Rainfall related"
"150","Rainfall related"
"151","Rainfall related"
"152","Temperature related"
"153","Rainfall related"
"154","Wind related"
"155","Temperature related"
"156","Rainfall related"
"157","Rainfall related"
"158","Rainfall related"
"159","Season Related"
"160","Biophysical"
"161","Biophysical"
"162","Biophysical"
"163","Biophysical"
"164","Biophysical"
"165","Biophysical"
"166","Biophysical"
"167","Biophysical"
"168","Biophysical"
"169","Biophysical"
"170","Biophysical"
"171","Biophysical"
"172","Biophysical"
"173","Socio-economic"
"174","Socio-economic"
"175","Socio-economic"
"176","Socio-economic"
"177","Socio-economic"
"178","Human capital"
"178","Gender and agricultural knowledge"
"179","Human capital"
"179","Gender and agricultural knowledge"
"180","Human capital"
"180","Gender and agricultural knowledge"
"181","Institutions and policies"
"182","Institutions and policies"
"183","Economic"
"183","Finance and markets"
"184","Economic"
"184","Finance and markets"
"185","Economic"
"185","Finance and markets"
"186","Sensitivity and susceptibility to harm"
"187","Sensitivity and susceptibility to harm"
"188","Sensitivity and susceptibility to harm"
"189","Sensitivity and susceptibility to harm"
"190","Sensitivity and susceptibility to harm"
"191","Lack of capacity to cope and adapt"
"192","Lack of capacity to cope and adapt"
"193","Lack of capacity to cope and adapt"
"194","Lack of capacity to cope and adapt"
"195","Lack of capacity to cope and adapt"
"196","Lack of capacity to cope and adapt"
"197","Lack of capacity to cope and adapt"
"198","Lack of capacity to cope and adapt"
"199","Lack of capacity to cope and adapt"
"200","Lack of capacity to cope and adapt"
"201","Lack of capacity to cope and adapt"
"202","Natural capital"
"203","Physical capital"
"204","Physical capital"
"205","Human capital"
"206","Human capital"
"207","Human capital"
"208","Human capital"
"209","Human capital"
"210","Human capital"
"211","Human capital"
"212","Human capital"
"213","Human capital"
"214","Human capital"
"215","Human capital"
"216","Human capital"
"217","Human capital"
"218","Human capital"
"219","Social capital"
"220","Political capital"
"221","Political capital"
"222","Political capital"
"223","Political capital"
"224","Political capital"
"225","Political capital"
"226","Financial capital"
"227","Financial capital"
"228","Financial capital"
"229","Financial capital"
"233","Temperature related"
"234","Rainfall related"
"235","Maritime related"
"236","Maritime related"
"237","Rainfall related"
"238","Rainfall related"
"239","Maritime related"
"240","Temperature related"
"241","Biophysical"
"242","Biophysical"
"243","Biophysical"
"244","Biophysical"
"245","Biophysical"
"246","Biophysical"
"247","Biophysical"
"248","Biophysical"
"249","Biophysical"
"250","Biophysical"
"251","Biophysical"
"252","Biophysical"
"253","Biophysical"
"254","Biophysical"
"255","Socio-economic"
"256","Socio-economic"
"257","Socio-economic"
"258","Socio-economic"
"259","Socio-economic"
"260","Socio-economic"
"261","Socio-economic"
"262","Socio-economic"
"263","Socio-economic"
"264","Socio-economic"
"265","Socio-economic"
"266","Socio-economic"
"267","Socio-economic"
"268","Socio-economic"
"269","Human capital"
"269","Gender and agricultural knowledge"
"270","Human capital"
"270","Gender and agricultural knowledge"
"271","Human capital"
"271","Gender and agricultural knowledge"
"272","Human capital"
"272","Gender and agricultural knowledge"
"273","Institutions and policies"
"274","Institutions and policies"
"275","Economic"
"275","Finance and markets"
"276","Economic"
"276","Finance and markets"
"277","Sensitivity and susceptibility to harm"
"278","Sensitivity and susceptibility to harm"
"279","Sensitivity and susceptibility to harm"
"280","Sensitivity and susceptibility to harm"
"281","Lack of capacity to cope and adapt"
"282","Lack of capacity to cope and adapt"
"283","Lack of capacity to cope and adapt"
"284","Lack of capacity to cope and adapt"
"285","Lack of capacity to cope and adapt"
"286","Natural capital"
"287","Natural capital"
"288","Natural capital"
"289","Physical capital"
"290","Physical capital"
"291","Physical capital"
"292","Human capital"
"293","Human capital"
"294","Human capital"
"295","Human capital"
"296","Human capital"
"297","Human capital"
"298","Human capital"
"299","Human capital"
"300","Human capital"
"301","Human capital"
"302","Human capital"
"303","Human capital"
"304","Human capital"
"305","Social capital"
"306","Social capital"
"307","Political capital"
"308","Political capital"
"309","Political capital"
"310","Political capital"
"311","Financial capital"
"317","Rainfall related"
"318","Temperature related"
"319","Temperature related"
"320","Rainfall related"
"321","Rainfall related"
"322","Rainfall related"
"323","Maritime related"
"324","Temperature related"
"325","Rainfall related"
"326","Biophysical"
"327","Biophysical"
"328","Biophysical"
"329","Biophysical"
"330","Biophysical"
"331","Biophysical"
"332","Biophysical"
"333","Biophysical"
"334","Biophysical"
"335","Biophysical"
"336","Biophysical"
"337","Biophysical"
"338","Biophysical"
"339","Biophysical"
"340","Biophysical"
"341","Biophysical"
"342","Biophysical"
"343","Biophysical"
"344","Biophysical"
"345","Biophysical"
"346","Biophysical"
"347","Socio-economic"
"348","Socio-economic"
"349","Socio-economic"
"350","Socio-economic"
"351","Socio-economic"
"352","Socio-economic"
"353","Socio-economic"
"354","Socio-economic"
"355","Socio-economic"
"356","Socio-economic"
"357","Socio-economic"
"358","Human capital"
"358","Gender and agricultural knowledge"
"359","Human capital"
"359","Gender and agricultural knowledge"
"360","Human capital"
"360","Gender and agricultural knowledge"
"361","Human capital"
"361","Gender and agricultural knowledge"
"362","Human capital"
"362","Gender and agricultural knowledge"
"363","Human capital"
"363","Gender and agricultural knowledge"
"364","Human capital"
"364","Gender and agricultural knowledge"
"365","Human capital"
"365","Gender and agricultural knowledge"
"366","Human capital"
"366","Gender and agricultural knowledge"
"367","Institutions and policies"
"368","Institutions and policies"
"369","Institutions and policies"
"370","Economic"
"370","Finance and markets"
"371","Economic"
"371","Finance and markets"
"372","Economic"
"372","Finance and markets"
"373","Economic"
"373","Finance and markets"
"374","Sensitivity and susceptibility to harm"
"375","Sensitivity and susceptibility to harm"
"376","Sensitivity and susceptibility to harm"
"377","Sensitivity and susceptibility to harm"
"378","Sensitivity and susceptibility to harm"
"379","Sensitivity and susceptibility to harm"
"380","Lack of capacity to cope and adapt"
"381","Lack of capacity to cope and adapt"
"382","Lack of capacity to cope and adapt"
"383","Lack of capacity to cope and adapt"
"384","Lack of capacity to cope and adapt"
"385","Lack of capacity to cope and adapt"
"386","Lack of capacity to cope and adapt"
"387","Natural capital"
"388","Physical capital"
"389","Physical capital"
"390","Physical capital"
"391","Human capital"
"392","Human capital"
"393","Human capital"
"394","Human capital"
"395","Human capital"
"396","Human capital"
"397","Human capital"
"398","Human capital"
"399","Human capital"
"400","Human capital"
"401","Human capital"
"402","Human capital"
"403","Social capital"
"404","Social capital"
"405","Political capital"
"406","Political capital"
"407","Political capital"
"408","Political capital"
"409","Political capital"
"410","Political capital"
"411","Political capital"
"412","Financial capital"
"413","Financial capital"
"414","Financial capital"
"420","Rainfall related"
"421","Temperature related"
"422","Rainfall related"
"423","Rainfall related"
"424","Temperature related"
"425","Biophysical"
"426","Biophysical"
"427","Biophysical"
"428","Biophysical"
"429","Biophysical"
"430","Biophysical"
"431","Biophysical"
"432","Biophysical"
"433","Biophysical"
"434","Biophysical"
"435","Biophysical"
"436","Biophysical"
"437","Biophysical"
"438","Socio-economic"
"439","Socio-economic"
"440","Socio-economic"
"441","Socio-economic"
"442","Socio-economic"
"443","Socio-economic"
"444","Socio-economic"
"445","Socio-economic"
"446","Human capital"
"446","Gender and agricultural knowledge"
"447","Human capital"
"447","Gender and agricultural knowledge"
"448","Institutions and policies"
"449","Institutions and policies"
"450","Institutions and policies"
"451","Economic"
"451","Finance and markets"
"452","Economic"
"452","Finance and markets"
"453","Sensitivity and susceptibility to harm"
"454","Sensitivity and susceptibility to harm"
"455","Sensitivity and susceptibility to harm"
"456","Lack of capacity to cope and adapt"
"457","Lack of capacity to cope and adapt"
"458","Lack of capacity to cope and adapt"
"459","Physical capital"
"460","Human capital"
"461","Human capital"
"462","Human capital"
"463","Human capital"
"464","Human capital"
"465","Social capital"
"466","Political capital"
"467","Political capital"
"468","Political capital"
"469","Political capital"
"470","Financial capital"
"471","Financial capital"
"472","Financial capital"
"476","Rainfall related"
"477","Rainfall related"
"478","Temperature related"
"479","Temperature related"
"480","Season Related"
"481","Rainfall related"
"482","Temperature related"
"483","Temperature related"
"484","Temperature related"
"485","Rainfall related"
"486","Rainfall related"
"487","Biophysical"
"488","Biophysical"
"489","Biophysical"
"490","Biophysical"
"491","Biophysical"
"492","Biophysical"
"493","Biophysical"
"494","Biophysical"
"495","Biophysical"
"496","Biophysical"
"497","Biophysical"
"498","Biophysical"
"499","Biophysical"
"500","Biophysical"
"501","Biophysical"
"502","Biophysical"
"503","Biophysical"
"504","Biophysical"
"505","Socio-economic"
"506","Socio-economic"
"507","Socio-economic"
"508","Socio-economic"
"509","Socio-economic"
"510","Socio-economic"
"511","Socio-economic"
"512","Socio-economic"
"513","Socio-economic"
"514","Human capital"
"514","Gender and agricultural knowledge"
"515","Human capital"
"515","Gender and agricultural knowledge"
"516","Human capital"
"516","Gender and agricultural knowledge"
"517","Human capital"
"517","Gender and agricultural knowledge"
"518","Human capital"
"518","Gender and agricultural knowledge"
"519","Human capital"
"519","Gender and agricultural knowledge"
"520","Institutions and policies"
"521","Institutions and policies"
"522","Institutions and policies"
"523","Economic"
"523","Finance and markets"
"524","Economic"
"524","Finance and markets"
"525","Sensitivity and susceptibility to harm"
"526","Sensitivity and susceptibility to harm"
"527","Lack of capacity to cope and adapt"
"528","Lack of capacity to cope and adapt"
"529","Lack of capacity to cope and adapt"
"530","Lack of capacity to cope and adapt"
"531","Lack of capacity to cope and adapt"
"532","Lack of capacity to cope and adapt"
"533","Lack of capacity to cope and adapt"
"534","Lack of capacity to cope and adapt"
"535","Natural capital"
"536","Physical capital"
"537","Physical capital"
"538","Human capital"
"539","Human capital"
"540","Human capital"
"541","Human capital"
"542","Human capital"
"543","Human capital"
"544","Human capital"
"545","Human capital"
"546","Human capital"
"547","Social capital"
"548","Political capital"
"549","Political capital"
"550","Political capital"
"551","Political capital"
"552","Political capital"
"553","Financial capital"
"554","Financial capital"
"555","Financial capital"
"561","Rainfall related"
"562","Rainfall related"
"563","Temperature related"
"564","Temperature related"
"565","Rainfall related"
"566","Maritime related"
"567","Temperature related"
"568","Biophysical"
"569","Biophysical"
"570","Biophysical"
"571","Biophysical"
"572","Biophysical"
"573","Biophysical"
"574","Biophysical"
"575","Biophysical"
"576","Biophysical"
"577","Biophysical"
"578","Biophysical"
"579","Biophysical"
"580","Biophysical"
"581","Biophysical"
"582","Biophysical"
"583","Biophysical"
"584","Socio-economic"
"585","Socio-economic"
"586","Socio-economic"
"587","Socio-economic"
"588","Institutions and policies"
"589","Institutions and policies"
"590","Human capital"
"590","Gender and agricultural knowledge"
"591","Institutions and policies"
"592","Institutions and policies"
"593","Economic"
"593","Finance and markets"
"594","Sensitivity and susceptibility to harm"
"595","Human capital"
"595","Gender and agricultural knowledge"
"596","Human capital"
"596","Gender and agricultural knowledge"
"597","Human capital"
"597","Gender and agricultural knowledge"
"598","Human capital"
"598","Gender and agricultural knowledge"
"599","Physical capital"
"600","Human capital"
"601","Human capital"
"602","Human capital"
"603","Human capital"
"604","Human capital"
"605","Social capital"
"606","Social capital"
"607","Political capital"
"608","Political capital"
"609","Political capital"
"610","Political capital"
"611","Political capital"
"612","Financial capital"
"616","Temperature related"
"617","Rainfall related"
"618","Rainfall related"
"619","Rainfall related"
"620","Rainfall related"
"621","Rainfall related"
"622","Biophysical"
"623","Biophysical"
"624","Biophysical"
"625","Biophysical"
"626","Biophysical"
"627","Biophysical"
"628","Biophysical"
"629","Biophysical"
"630","Biophysical"
"631","Biophysical"
"632","Biophysical"
"633","Biophysical"
"634","Socio-economic"
"635","Socio-economic"
"636","Socio-economic"
"637","Socio-economic"
"638","Socio-economic"
"639","Socio-economic"
"640","Socio-economic"
"641","Socio-economic"
"642","Human capital"
"642","Gender and agricultural knowledge"
"643","Institutions and policies"
"644","Institutions and policies"
"645","Economic"
"645","Finance and markets"
"646","Economic"
"646","Finance and markets"
"647","Sensitivity and susceptibility to harm"
"648","Sensitivity and susceptibility to harm"
"649","Sensitivity and susceptibility to harm"
"650","Sensitivity and susceptibility to harm"
"651","Lack of capacity to cope and adapt"
"652","Lack of capacity to cope and adapt"
"653","Lack of capacity to cope and adapt"
"654","Lack of capacity to cope and adapt"
"655","Lack of capacity to cope and adapt"
"656","Lack of capacity to cope and adapt"
"657","Lack of capacity to cope and adapt"
"658","Lack of capacity to cope and adapt"
"659","Human capital"
"659","Gender and agricultural knowledge"
"660","Human capital"
"660","Gender and agricultural knowledge"
"661","Human capital"
"661","Gender and agricultural knowledge"
"662","Human capital"
"662","Gender and agricultural knowledge"
"663","Human capital"
"663","Gender and agricultural knowledge"
"664","Lack of capacity to cope and adapt"
"665","Physical capital"
"666","Human capital"
"667","Human capital"
"668","Human capital"
"669","Human capital"
"670","Human capital"
"671","Human capital"
"672","Human capital"
"673","Human capital"
"674","Human capital"
"675","Human capital"
"676","Human capital"
"677","Human capital"
"678","Human capital"
"679","Social capital"
"680","Social capital"
"681","Social capital"
"682","Political capital"
"683","Political capital"
"684","Political capital"
"685","Political capital"
"686","Political capital"
"687","Financial capital"
"688","Financial capital"
"689","Financial capital"
"692","Rainfall related"
"693","Maritime related"
"694","Rainfall related"
"695","Temperature related"
"696","Temperature related"
"697","Biophysical"
"698","Biophysical"
"699","Biophysical"
"700","Biophysical"
"701","Biophysical"
"702","Biophysical"
"703","Biophysical"
"704","Biophysical"
"705","Biophysical"
"706","Biophysical"
"707","Biophysical"
"708","Biophysical"
"709","Biophysical"
"710","Biophysical"
"711","Biophysical"
"712","Biophysical"
"713","Socio-economic"
"714","Socio-economic"
"715","Socio-economic"
"716","Socio-economic"
"717","Socio-economic"
"718","Socio-economic"
"719","Human capital"
"719","Gender and agricultural knowledge"
"720","Human capital"
"720","Gender and agricultural knowledge"
"721","Institutions and policies"
"722","Institutions and policies"
"723","Economic"
"723","Finance and markets"
"724","Economic"
"724","Finance and markets"
"725","Economic"
"725","Finance and markets"
"726","Sensitivity and susceptibility to harm"
"727","Sensitivity and susceptibility to harm"
"728","Sensitivity and susceptibility to harm"
"729","Sensitivity and susceptibility to harm"
"730","Lack of capacity to cope and adapt"
"731","Lack of capacity to cope and adapt"
"732","Lack of capacity to cope and adapt"
"733","Lack of capacity to cope and adapt"
"734","Lack of capacity to cope and adapt"
"735","Lack of capacity to cope and adapt"
"736","Lack of capacity to cope and adapt"
"737","Lack of capacity to cope and adapt"
"738","Lack of capacity to cope and adapt"
"739","Lack of capacity to cope and adapt"
"740","Natural capital"
"741","Physical capital"
"742","Human capital"
"743","Human capital"
"744","Human capital"
"745","Human capital"
"746","Human capital"
"747","Human capital"
"748","Human capital"
"749","Human capital"
"750","Human capital"
"751","Political capital"
"752","Political capital"
"753","Political capital"
"754","Political capital"
"755","Political capital"
"756","Financial capital"
"761","Rainfall related"
"762","Rainfall related"
"763","Temperature related"
"764","Rainfall related"
"765","Rainfall related"
"766","Wind related"
"767","Maritime related"
"768","Maritime related"
"769","Biophysical"
"770","Biophysical"
"771","Biophysical"
"772","Biophysical"
"773","Biophysical"
"774","Biophysical"
"775","Biophysical"
"776","Biophysical"
"777","Biophysical"
"778","Biophysical"
"779","Biophysical"
"780","Biophysical"
"781","Biophysical"
"782","Biophysical"
"783","Biophysical"
"784","Biophysical"
"785","Biophysical"
"786","Socio-economic"
"787","Socio-economic"
"788","Socio-economic"
"789","Socio-economic"
"790","Socio-economic"
"791","Socio-economic"
"792","Socio-economic"
"793","Socio-economic"
"794","Socio-economic"
"795","Socio-economic"
"796","Socio-economic"
"797","Socio-economic"
"798","Socio-economic"
"799","Socio-economic"
"800","Human capital"
"800","Gender and agricultural knowledge"
"801","Human capital"
"801","Gender and agricultural knowledge"
"802","Human capital"
"802","Gender and agricultural knowledge"
"803","Human capital"
"803","Gender and agricultural knowledge"
"804","Human capital"
"804","Gender and agricultural knowledge"
"805","Human capital"
"805","Gender and agricultural knowledge"
"806","Human capital"
"806","Gender and agricultural knowledge"
"807","Human capital"
"807","Gender and agricultural knowledge"
"808","Institutions and policies"
"809","Institutions and policies"
"810","Institutions and policies"
"811","Economic"
"811","Finance and markets"
"812","Economic"
"812","Finance and markets"
"813","Economic"
"813","Finance and markets"
"814","Economic"
"814","Finance and markets"
"815","Sensitivity and susceptibility to harm"
"816","Sensitivity and susceptibility to harm"
"817","Sensitivity and susceptibility to harm"
"818","Lack of capacity to cope and adapt"
"819","Lack of capacity to cope and adapt"
"820","Lack of capacity to cope and adapt"
"821","Lack of capacity to cope and adapt"
"822","Lack of capacity to cope and adapt"
"823","Lack of capacity to cope and adapt"
"824","Lack of capacity to cope and adapt"
"825","Natural capital"
"826","Physical capital"
"827","Physical capital"
"828","Human capital"
"829","Human capital"
"830","Human capital"
"831","Human capital"
"832","Social capital"
"833","Social capital"
"834","Social capital"
"835","Political capital"
"836","Political capital"
"837","Political capital"
"838","Financial capital"
"839","Financial capital"
"840","Financial capital"
"841","Financial capital"
"847","Temperature related"
"848","Rainfall related"
"849","Wind related"
"850","Maritime related"
"851","Rainfall related"
"852","Temperature related"
"853","Rainfall related"
"854","Rainfall related"
"855","Rainfall related"
"856","Biophysical"
"857","Biophysical"
"858","Biophysical"
"859","Biophysical"
"860","Biophysical"
"861","Biophysical"
"862","Biophysical"
"863","Biophysical"
"864","Biophysical"
"865","Biophysical"
"866","Biophysical"
"867","Biophysical"
"868","Biophysical"
"869","Biophysical"
"870","Biophysical"
"871","Biophysical"
"872","Biophysical"
"873","Biophysical"
"874","Biophysical"
"875","Socio-economic"
"876","Socio-economic"
"877","Socio-economic"
"878","Socio-economic"
"879","Socio-economic"
"880","Socio-economic"
"881","Socio-economic"
"882","Socio-economic"
"883","Socio-economic"
"884","Human capital"
"884","Gender and agricultural knowledge"
"885","Human capital"
"885","Gender and agricultural knowledge"
"886","Human capital"
"886","Gender and agricultural knowledge"
"887","Human capital"
"887","Gender and agricultural knowledge"
"888","Human capital"
"888","Gender and agricultural knowledge"
"889","Institutions and policies"
"890","Institutions and policies"
"891","Economic"
"891","Finance and markets"
"892","Economic"
"892","Finance and markets"
"893","Sensitivity and susceptibility to harm"
"894","Sensitivity and susceptibility to harm"
"895","Sensitivity and susceptibility to harm"
"896","Lack of capacity to cope and adapt"
"897","Lack of capacity to cope and adapt"
"898","Lack of capacity to cope and adapt"
"899","Lack of capacity to cope and adapt"
"900","Lack of capacity to cope and adapt"
"901","Natural capital"
"902","Physical capital"
"903","Physical capital"
"904","Human capital"
"905","Human capital"
"906","Human capital"
"907","Human capital"
"908","Human capital"
"909","Human capital"
"910","Human capital"
"911","Human capital"
"912","Human capital"
"913","Social capital"
"914","Social capital"
"915","Political capital"
"916","Political capital"
"917","Political capital"
"918","Financial capital"
"924","Temperature related"
"925","Rainfall related"
"926","Maritime related"
"927","Rainfall related"
"928","Rainfall related"
"929","Wind related"
"930","Temperature related"
"931","Rainfall related"
"932","Biophysical"
"933","Biophysical"
"934","Biophysical"
"935","Biophysical"
"936","Biophysical"
"937","Biophysical"
"938","Biophysical"
"939","Biophysical"
"940","Biophysical"
"941","Biophysical"
"942","Biophysical"
"943","Biophysical"
"944","Biophysical"
"945","Biophysical"
"946","Biophysical"
"947","Biophysical"
"948","Biophysical"
"949","Biophysical"
"950","Biophysical"
"951","Biophysical"
"952","Biophysical"
"953","Biophysical"
"954","Socio-economic"
"955","Socio-economic"
"956","Socio-economic"
"957","Socio-economic"
"958","Socio-economic"
"959","Socio-economic"
"960","Socio-economic"
"961","Socio-economic"
"962","Socio-economic"
"963","Human capital"
"963","Gender and agricultural knowledge"
"964","Human capital"
"964","Gender and agricultural knowledge"
"965","Human capital"
"965","Gender and agricultural knowledge"
"966","Human capital"
"966","Gender and agricultural knowledge"
"967","Human capital"
"967","Gender and agricultural knowledge"
"968","Human capital"
"968","Gender and agricultural knowledge"
"969","Human capital"
"969","Gender and agricultural knowledge"
"970","Human capital"
"970","Gender and agricultural knowledge"
"971","Institutions and policies"
"972","Institutions and policies"
"973","Economic"
"973","Finance and markets"
"974","Sensitivity and susceptibility to harm"
"975","Sensitivity and susceptibility to harm"
"976","Sensitivity and susceptibility to harm"
"977","Lack of capacity to cope and adapt"
"978","Lack of capacity to cope and adapt"
"979","Lack of capacity to cope and adapt"
"980","Lack of capacity to cope and adapt"
"981","Lack of capacity to cope and adapt"
"982","Lack of capacity to cope and adapt"
"983","Lack of capacity to cope and adapt"
"984","Natural capital"
"985","Natural capital"
"986","Natural capital"
"987","Physical capital"
"988","Physical capital"
"989","Physical capital"
"990","Human capital"
"991","Human capital"
"992","Human capital"
"993","Human capital"
"994","Human capital"
"995","Human capital"
"996","Human capital"
"997","Human capital"
"998","Human capital"
"999","Human capital"
"1000","Human capital"
"1001","Human capital"
"1002","Human capital"
"1003","Human capital"
"1004","Social capital"
"1005","Social capital"
"1006","Political capital"
"1007","Political capital"
"1008","Political capital"
"1009","Political capital"
"1010","Political capital"
"1011","Political capital"
"1012","Political capital"
"1013","Political capital"
"1014","Political capital"
"1015","Financial capital"
"1016","Financial capital"
"1017","Financial capital"
"1018","Financial capital"
"1024","Temperature related"
"1025","Temperature related"
"1026","Rainfall related"
"1027","Rainfall related"
"1028","Rainfall related"
"1029","Biophysical"
"1030","Biophysical"
"1031","Biophysical"
"1032","Biophysical"
"1033","Biophysical"
"1034","Biophysical"
"1035","Biophysical"
"1036","Biophysical"
"1037","Biophysical"
"1038","Biophysical"
"1039","Biophysical"
"1040","Socio-economic"
"1041","Socio-economic"
"1042","Socio-economic"
"1043","Socio-economic"
"1044","Socio-economic"
"1045","Human capital"
"1045","Gender and agricultural knowledge"
"1046","Human capital"
"1046","Gender and agricultural knowledge"
"1047","Human capital"
"1047","Gender and agricultural knowledge"
"1048","Institutions and policies"
"1049","Economic"
"1049","Finance and markets"
"1050","Sensitivity and susceptibility to harm"
"1051","Sensitivity and susceptibility to harm"
"1052","Sensitivity and susceptibility to harm"
"1053","Sensitivity and susceptibility to harm"
"1054","Sensitivity and susceptibility to harm"
"1055","Sensitivity and susceptibility to harm"
"1056","Sensitivity and susceptibility to harm"
"1057","Lack of capacity to cope and adapt"
"1058","Lack of capacity to cope and adapt"
"1059","Lack of capacity to cope and adapt"
"1060","Lack of capacity to cope and adapt"
"1061","Lack of capacity to cope and adapt"
"1062","Lack of capacity to cope and adapt"
"1063","Physical capital"
"1064","Human capital"
"1065","Human capital"
"1066","Human capital"
"1067","Human capital"
"1068","Human capital"
"1069","Human capital"
"1070","Human capital"
"1071","Human capital"
"1072","Human capital"
"1073","Human capital"
"1074","Human capital"
"1075","Human capital"
"1076","Human capital"
"1077","Human capital"
"1078","Social capital"
"1079","Political capital"
"1080","Political capital"
"1081","Political capital"
"1082","Financial capital"
"1083","Financial capital"
"1087","Temperature related"
"1088","Rainfall related"
"1089","Rainfall related"
"1090","Rainfall related"
"1091","Maritime related"
"1092","Rainfall related"
"1093","Temperature related"
"1094","Temperature related"
"1095","Biophysical"
"1096","Biophysical"
"1097","Biophysical"
"1098","Biophysical"
"1099","Biophysical"
"1100","Biophysical"
"1101","Biophysical"
"1102","Biophysical"
"1103","Biophysical"
"1104","Biophysical"
"1105","Biophysical"
"1106","Biophysical"
"1107","Biophysical"
"1108","Biophysical"
"1109","Biophysical"
"1110","Biophysical"
"1111","Socio-economic"
"1112","Socio-economic"
"1113","Socio-economic"
"1114","Socio-economic"
"1115","Socio-economic"
"1116","Socio-economic"
"1117","Human capital"
"1117","Gender and agricultural knowledge"
"1118","Human capital"
"1118","Gender and agricultural knowledge"
"1119","Institutions and policies"
"1120","Economic"
"1120","Finance and markets"
"1121","Economic"
"1121","Finance and markets"
"1122","Economic"
"1122","Finance and markets"
"1123","Sensitivity and susceptibility to harm"
"1124","Sensitivity and susceptibility to harm"
"1125","Lack of capacity to cope and adapt"
"1126","Lack of capacity to cope and adapt"
"1127","Lack of capacity to cope and adapt"
"1128","Lack of capacity to cope and adapt"
"1129","Lack of capacity to cope and adapt"
"1130","Lack of capacity to cope and adapt"
"1131","Lack of capacity to cope and adapt"
"1132","Lack of capacity to cope and adapt"
"1133","Physical capital"
"1134","Physical capital"
"1135","Physical capital"
"1136","Physical capital"
"1137","Human capital"
"1138","Human capital"
"1139","Human capital"
"1140","Human capital"
"1141","Human capital"
"1142","Human capital"
"1143","Human capital"
"1144","Human capital"
"1145","Human capital"
"1146","Human capital"
"1147","Human capital"
"1148","Human capital"
"1149","Human capital"
"1150","Human capital"
"1151","Human capital"
"1152","Social capital"
"1153","Social capital"
"1154","Social capital"
"1155","Political capital"
