TempCount,"FS name","FS macro region","From","Link type","To","Description","Citation","Year","URL","ID"
15,"Lowland Rice","EAP","Decrease in average precipitation","Leads to","Water scarcity","The Mekong Delta is identified as water-risk “hotspots” that require a targeted policy response. These water risks are not only the result of precipitation changes but involve a range of factors, including farming practices, that cause water shortages, floods and degradation of water quality, extensive dam-building and ground water pumping.","CCAFS","2016","https://cgspace.cgiar.org/handle/10568/75633","6"
16,"Lowland Rice","EAP","Decrease in average precipitation","Leads to","Water scarcity","The Mekong Delta is identified as water-risk “hotspots” that require a targeted policy response. These water risks are not only the result of precipitation changes but involve a range of factors, including farming practices, that cause water shortages, floods and degradation of water quality, extensive dam-building and ground water pumping.","Dinh, T., & Dang, T","2022",,"6"
17,"Lowland Rice","EAP","Decrease in average precipitation","Leads to","Water scarcity","The Mekong Delta is identified as water-risk “hotspots” that require a targeted policy response. These water risks are not only the result of precipitation changes but involve a range of factors, including farming practices, that cause water shortages, floods and degradation of water quality, extensive dam-building and ground water pumping.","Akam & Gruere","2018","https://doi.org/10.1787/15615529","6"
18,"Lowland Rice","EAP","Rising sea levels","Leads to","Reduced crop productivity/failure","A rise in the sea level of only 30 cm could see the loss of nearly 200,000hectares of rice cultivation. Vast tracks of land planted with rice are affected by salinity intrusion  causing reduved yield by  50-100%, or total loss. Sea level rise has adverse effect on the agricultural productivity especially in the deltas.","CCAFS","2016","https://cgspace.cgiar.org/handle/10568/75633","7"
19,"Lowland Rice","EAP","Rising sea levels","Leads to","Reduced crop productivity/failure","A rise in the sea level of only 30 cm could see the loss of nearly 200,000hectares of rice cultivation. Vast tracks of land planted with rice are affected by salinity intrusion  causing reduved yield by  50-100%, or total loss. Sea level rise has adverse effect on the agricultural productivity especially in the deltas.","Nguyen et al.","2017","https://ccafs.cgiar.org/resources/publications/climate-smart-agriculture-vietnam","7"
20,"Lowland Rice","EAP","Rising sea levels","Leads to","Change in production zone suitability","Weather extremes, flood patterns, and saline intrusion will change in all agro-ecological zones, but the changes vary from North to South, and from
coastal to inland areas, affecting the habitat suitability of rice and other major crops. Thiscould have drastic effects on crop distribution
in the future. The mainthreats for rice cultivation in the Deltas are relative sea level rise and increased saline intrusions.","CCAFS","2016","https://cgspace.cgiar.org/handle/10568/75633","8"
21,"Lowland Rice","EAP","Rising sea levels","Leads to","Change in production zone suitability","Weather extremes, flood patterns, and saline intrusion will change in all agro-ecological zones, but the changes vary from North to South, and from
coastal to inland areas, affecting the habitat suitability of rice and other major crops. Thiscould have drastic effects on crop distribution
in the future. The mainthreats for rice cultivation in the Deltas are relative sea level rise and increased saline intrusions.","Thuy Le Toan, et al, 2021Smajgl et al ","2015",,"8"
22,"Lowland Rice","EAP","Increase in drought events","Leads to","Reduced groundwater tables","An increase in drought events leads to a reduction in annual surface runoff causing a  decrease in ground and surface water with a negative effect on agriculture and water supply for industrial use.","Dinh, T., & Dang, T","2022",,"9"
23,"Lowland Rice","EAP","Increase in drought events","Leads to","Water scarcity","The Lower Mekong Basin (LMB) has experienced some severe droughts in the past three decades and these droughts inflicted significant  harmful levels of salinity intrusion, and widespread shortage for domestic and industrial water use. Notably, droughts in 1991–1994 and 2015–2016 were the longest and driest droughts, respectively leading to water scarcity.","H Kang  et al.","2021","https://rdcu.be/cWZ40","10"
24,"Lowland Rice","EAP","Rising sea levels","Leads to","Saline intrusion","Salt intrusion due to sea level rise has already caused agricultural productivity to decrease and rice production to decline. One particular severe salinity intrusion in 2016 affected 270,000 hectares of rice.","Narin","2022","https://www.voanews.com/a/rising-salinity-threatens-rice-crops-on-southeast-asia-s-sinking-coast-/6729518.html","11"
25,"Lowland Rice","EAP","Decrease in average precipitation","Leads to","Shorter growing seasons","A simulation study showed that the start of the rice growing period (SGP) was delayed with reduced early rainfall during the 16-year period, leading to shorter growing seasons. The crop yield depends on rainfall distribution during growth, and the lack of irrigation water in the region makes this production system highly vulnerable to changes in precipitation.","Sujariya et al.","2020","https://doi.org/10.1080/1343943X.2019.1698970","12"
26,"Lowland Rice","EAP","Rising sea levels","Leads to","Coastal inundation","Dangers of sea-level rise include but are not limited to: land loss from the permanent inundation of low-lying coastal area.","Michalak et al.","2021","https://www.researchgate.net/publication/352144356_Impact_of_sea_level_rise_on_the_land_cover_structure_in_Southeast_Asia","13"
27,"Lowland Rice","EAP","Increase in average temperatures","Leads to","Shorter growing seasons","Shifting seasons are directly linked to warmer global temperatures: a slight change in temperature brings an earlier spring thaw and delays and water stress.","HORIE","2019","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6751296/","14"
28,"Lowland Rice","EAP","Increase in average temperatures","Leads to","Water scarcity","Increasing global temperatures are one of the main contributors to this problem of water scarcity in the region.","HORIE","2019","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6751296/","15"
29,"Lowland Rice","EAP","Increase in average temperatures","Leads to","Reduced crop productivity/failure","Productivity drops by as much as 4% per degree when temperature rise above 27 degrees celsius.","Cramb et al.","2015","https://hdl.handle.net/10568/73054","16"
30,"Lowland Rice","EAP","Rising sea levels","Leads to","Reduced water quality","In vietnam,  the snakehead fish farms in Tra Vinh or oyster farming areas in  Ben Tre experienced poor water quality in their ponds, rivers and water supplying sources, which was caused by saline intrusion and droughts. Negative impacts could have been mitigated if timely environmental quality information were made available to farmers.","Akam & Gruere","2018","https://doi.org/10.1787/15615529","17"
31,"Lowland Rice","EAP","Rising sea levels","Leads to","Reduced water quality","In vietnam,  the snakehead fish farms in Tra Vinh or oyster farming areas in  Ben Tre experienced poor water quality in their ponds, rivers and water supplying sources, which was caused by saline intrusion and droughts. Negative impacts could have been mitigated if timely environmental quality information were made available to farmers.","CCAFS","2016","https://cgspace.cgiar.org/handle/10568/75633","17"
32,"Lowland Rice","EAP","Rising sea levels","Leads to","Increase in food spoilage/wastage","A predicted sea-level rise of 30 cm by the year 2050 is expected to accelerate salinity intrusion.A rise in the sea level of only 30 cm could see the loss of nearly 200,000 hectares of rice cultivation.nd planted with rice were affected by salinity intrusion and drought at the reproductive stage. Yields were reduced by 50-100%, or total loss.","Nguyen et al.","2017",,"18"
33,"Lowland Rice","EAP","Rising sea levels","Leads to","Increase in food spoilage/wastage","A predicted sea-level rise of 30 cm by the year 2050 is expected to accelerate salinity intrusion.A rise in the sea level of only 30 cm could see the loss of nearly 200,000 hectares of rice cultivation.nd planted with rice were affected by salinity intrusion and drought at the reproductive stage. Yields were reduced by 50-100%, or total loss.","CCAFS","2016","https://cgspace.cgiar.org/handle/10568/75633","18"
34,"Lowland Rice","EAP","Rising sea levels","Leads to","Increase in food spoilage/wastage","A predicted sea-level rise of 30 cm by the year 2050 is expected to accelerate salinity intrusion.A rise in the sea level of only 30 cm could see the loss of nearly 200,000 hectares of rice cultivation.nd planted with rice were affected by salinity intrusion and drought at the reproductive stage. Yields were reduced by 50-100%, or total loss.","Akam & Gruere","2018","https://doi.org/10.1787/15615529","18"
35,"Lowland Rice","EAP","Rising sea levels","Leads to","Increase in food spoilage/wastage","A predicted sea-level rise of 30 cm by the year 2050 is expected to accelerate salinity intrusion.A rise in the sea level of only 30 cm could see the loss of nearly 200,000 hectares of rice cultivation.nd planted with rice were affected by salinity intrusion and drought at the reproductive stage. Yields were reduced by 50-100%, or total loss.","Thuy Le Toan, et al","2021",,"18"
36,"Lowland Rice","EAP","Rising sea levels","Leads to","Increase in food spoilage/wastage","A predicted sea-level rise of 30 cm by the year 2050 is expected to accelerate salinity intrusion.A rise in the sea level of only 30 cm could see the loss of nearly 200,000 hectares of rice cultivation.nd planted with rice were affected by salinity intrusion and drought at the reproductive stage. Yields were reduced by 50-100%, or total loss.","Smajgl et al ","2015","https://doi.org/10.1038/nclimate2469
","18"
37,"Lowland Rice","EAP","Rising sea levels","Leads to","Increase in food insecurity","A predicted sea-level rise of 30 cm by the year 2050 is expected to accelerate salinity intrusion.A rise in the sea level of only 30 cm could see the loss of nearly 200,000 hectares of rice cultivation.nd planted with rice were affected by salinity intrusion and drought at the reproductive stage. Yields were reduced by 50-100%, or total loss.","OXFAM, 2016,CCAFS,2016,Akam & Gruere, 2018Yen et al.","2019",,"19"
38,"Lowland Rice","EAP","Increase in drought events","Leads to","Increase in food insecurity","The Lower Mekong River basin (LMB) has experienced droughts in recent decades, causing detrimental economic losses and food security conundrums.","H Kang  et al.","2021","https://rdcu.be/cWZ40","20"
39,"Lowland Rice","EAP","Increase in drought events","Leads to","Dependence on food aid","Vietnam recorded an extreme drought event in 2019 in 5 of 13 provinces in the Mekong Delta, and an emergency was declared. New Zealand Embassy announced humanitarian aid, totalling US$50,000, to communities in Ben Tre Province affected by drought and saltwater intrusion.","CCAFS","2016","https://cgspace.cgiar.org/handle/10568/75633","21"
40,"Lowland Rice","EAP","Increase in drought events","Leads to","Dependence on food aid","Vietnam recorded an extreme drought event in 2019 in 5 of 13 provinces in the Mekong Delta, and an emergency was declared. New Zealand Embassy announced humanitarian aid, totalling US$50,000, to communities in Ben Tre Province affected by drought and saltwater intrusion.","OXFAM","2016","https://vietnam.oxfam.org/latest/press-release/new-zealand-embassy-announces-50000-usd-humanitarian-aid-ben-tre","21"
41,"Lowland Rice","EAP","Increase in drought events","Leads to","Dependence on food aid","Vietnam recorded an extreme drought event in 2019 in 5 of 13 provinces in the Mekong Delta, and an emergency was declared. New Zealand Embassy announced humanitarian aid, totalling US$50,000, to communities in Ben Tre Province affected by drought and saltwater intrusion.","Dinh, T., & Dang, T","2022",,"21"
42,"Lowland Rice","EAP","Water scarcity","Leads to","Reduced crop productivity/failure","Rice production is increasingly constrained by water scarcity during drought events. Water scarcity is a contributing barrier to adoption of technology in the lowland system","Thuy Le Toan, et al","2021",,"22"
43,"Lowland Rice","EAP","Water scarcity","Leads to","Reduced crop productivity/failure","Rice production is increasingly constrained by water scarcity during drought events. Water scarcity is a contributing barrier to adoption of technology in the lowland system","Akam & Gruere","2018","https://doi.org/10.1787/15615529","22"
44,"Lowland Rice","EAP","Water scarcity","Leads to","Reduced crop productivity/failure","Rice production is increasingly constrained by water scarcity during drought events. Water scarcity is a contributing barrier to adoption of technology in the lowland system","Yen et al.","2019",,"22"
45,"Lowland Rice","EAP","Water scarcity","Leads to","Reduced crop productivity/failure","Rice production is increasingly constrained by water scarcity during drought events. Water scarcity is a contributing barrier to adoption of technology in the lowland system","Nguyen et al.","2017","https://ccafs.cgiar.org/resources/publications/climate-smart-agriculture-vietnam","22"
46,"Lowland Rice","EAP","Water scarcity","Leads to","Reduced crop productivity/failure","Rice production is increasingly constrained by water scarcity during drought events. Water scarcity is a contributing barrier to adoption of technology in the lowland system","CCAFS 2016",,"22",
47,"Lowland Rice","EAP","Soil salinisation","Leads to","Reduced crop productivity/failure","The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050. Acid sulfate soils are forming as salty crusts on the soil surface in some
areas, because of high salinity levels of the water causing unfavourable condition for rice production.","Nguyen et al.","2017","https://ccafs.cgiar.org/resources/publications/climate-smart-agriculture-vietnam","23"
48,"Lowland Rice","EAP","Soil salinisation","Leads to","Reduced crop productivity/failure","The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050. Acid sulfate soils are forming as salty crusts on the soil surface in some
areas, because of high salinity levels of the water causing unfavourable condition for rice production.","Thuy Le Toan, et al","2021",,"23"
49,"Lowland Rice","EAP","Soil salinisation","Leads to","Reduced crop productivity/failure","The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050. Acid sulfate soils are forming as salty crusts on the soil surface in some
areas, because of high salinity levels of the water causing unfavourable condition for rice production.","Yen et al.","2019",,"23"
50,"Lowland Rice","EAP","Soil salinisation","Leads to","Reduced crop productivity/failure","The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050. Acid sulfate soils are forming as salty crusts on the soil surface in some
areas, because of high salinity levels of the water causing unfavourable condition for rice production.","Smajgl et al ","2015","https://doi.org/10.1038/nclimate2469
","23"
51,"Lowland Rice","EAP","Saline intrusion","Leads to","Reduced crop productivity/failure","It was shown that seawater intrusion was the major factor leading to regional differences in rice cropping systems and land use patterns. In the Mekong Delta region, the worst saline intrusion occurs in rice production due to failed monsoons, and climate change leading to reduced yields.","Kotera et al.","2008","https://www.researchgate.net/publication/234054189_Regional_Consequences_of_Seawater_Intrusion_on_Rice_Productivity_and_Land_Use_in_Coastal_Area_of_the_Mekong_River_Delta","24"
52,"Lowland Rice","EAP","Land degradation","Leads to","Sediment starvation","Soil erosion due to land degradation has led to high levels of sediments starvations in the coastal zones of of Asia.","EU","2006","https://europa.eu/capacity4dev/file/51855/download?token=1eHRS266","25"
53,"Lowland Rice","EAP","Water scarcity","Leads to","Increase in food insecurity","Low yields due to rain-fed lowlands experiencing drought is a common problem throughout Asia, with an estimated 45% of the total rice area, leading to food insecurity.","Haefele, Stephan and  Bouman, Bas","2009","https://www.researchgate.net/publication/279611275_Drought-prone_rainfed_lowland_rice_in_Asia_limitations_and_management_options","26"
54,"Lowland Rice","EAP","Reduced crop productivity/failure","Leads to","Increase in food insecurity","Low rice yields due to rain-fed lowlands have led to increased food insecurity, Considering that rice production plays an important role in food security in East and Southeast Asia, based on historical data.","Hen-I Lin et al.","2022","https://www.mdpi.com/2225-1154/10/3/40/pdf","27"
55,"Lowland Rice","EAP","Soil salinisation","Leads to","Increase in food insecurity","In rice fields, soil salinity is often caused by inappropriate irrigation, mainly when saline water is directly used for irrigation, causing poor yields and hence food insecurity.","Schneider et al.","2020","https://onlinelibrary.wiley.com/doi/full/10.1111/jac.12415","28"
56,"Lowland Rice","EAP","Saline intrusion","Leads to","Increase in food insecurity","One particular severe salinity intrusion in 2016 affected 270,000 hectares of rice, leading to increased food insecurity.","Kotera et al.","2008","https://www.researchgate.net/publication/234054189_Regional_Consequences_of_Seawater_Intrusion_on_Rice_Productivity_and_Land_Use_in_Coastal_Area_of_the_Mekong_River_Delta","29"
57,"Lowland Rice","EAP","Land degradation","Leads to","Increase in food insecurity","Soil erosion due to land degradation has led to high levels of sediments starvations in the coastal zones of of Asia which causes poor yields and hence food insecurity.","EU","2006","https://europa.eu/capacity4dev/file/51855/download?token=1eHRS266","30"
58,"Lowland Rice","EAP","Reduced crop productivity/failure","Leads to","Increase in food imports","Rice land is shrinking owing to industrialization, urbanization, crop diversification and other economic factors, leading to increase in imports.","Kotera et al.","2008","https://www.researchgate.net/publication/234054189_Regional_Consequences_of_Seawater_Intrusion_on_Rice_Productivity_and_Land_Use_in_Coastal_Area_of_the_Mekong_River_Delta","31"
59,"Lowland Rice","EAP","Coastal inundation","Leads to","Increased flooding
","In South and Southeast Asia, where the majority of the world's rice farmers live, flooding is a major limitation on yield caused by inundation.","Thuy Le Toan, et al","2021",,"32"
60,"Lowland Rice","EAP","Elevation loss","Leads to","Damage to infrastructure","According to the IPCC's simulations, Asia, for example, is expected to experience damage to urban infrastructure due to flooding caused by elevation loss.","T Sekiyama et al.","2022",,"33"
61,"Lowland Rice","EAP","Coastal inundation","Leads to","Damage to infrastructure","The area's coastal regions are also susceptible to inundation associated with sea level rise and destruction of infrastructure from flooding and storm surges.","NIC","2009","https://www.dni.gov/files/documents/climate2030_southeast_asia_pacific_islands.pdf","34"
62,"Lowland Rice","EAP","Elevation loss","Leads to","Increased flooding
","Elevation loss increases the vulnerability to flooding and storm surges, and ultimately threatens the Delta with permanent inundation. Without adaptation, land that will be below sea level may be permanently inundated and no longer suitable for agriculture.","Thuy Le Toan, et al","2021",,"35"
63,"Lowland Rice","EAP","Major component of local diet","Leads to","Dependence on food aid","The emergence of severe droughts in the Mekong Delta has resulted in huge crop failures, with 90% of sowed fields perishing in the drought-impacted regions.This devastating drought damaged up to 30% of 29,900 ha rice in2019","OXFAM","2016","https://vietnam.oxfam.org/latest/press-release/new-zealand-embassy-announces-50000-usd-humanitarian-aid-ben-tre","36"
64,"Lowland Rice","EAP","Unsustainable land management practices","Leads to","Land degradation","Continuous rice cultivation, using unbalanced mineral fertilisers and only low inputs of organic manure, is in some situations seriously deteriorating the physical and chemical properties of the soil with adverse consequences on crop yields.","Dixon et al.","2001","https://www.fao.org/3/Y1860E/y1860e10.htm","37"
65,"Lowland Rice","EAP","Limited uptake of modern technologies","Leads to","Reduced produce quality","On-farm deterioration in the quality of rice for sale, due to poor post-harvest management practices and inadequate storage conditions, is very significant in many areas and leads to reduced revenues from crop sales.","Dixon et al.","2001","https://www.fao.org/3/Y1860E/y1860e10.htm","38"
66,"Lowland Rice","EAP","Major component of local diet","Leads to","Increase in food insecurity","Rice is the major staple food of Asia, and an important source of employment, however its vulnerable to climatical conditions leading to increased food insecurity.","HI Lin et al.","2022",,"39"
67,"Lowland Rice","EAP","Unsustainable land management practices","Leads to","Reduced crop productivity/failure","Unsustainable land management practices in rice leads to reduced yields.","Kumar et al.","2021","https://link.springer.com/article/10.1007/s42976-021-00214-5","40"
68,"Lowland Rice","EAP","Limited uptake of modern technologies","Leads to","Increase in food spoilage/wastage","Limited uptake of modern rice technologies leads to increase rice waste.For example, the PATBO SUPER is a special rice cultivation technology package for rainfed rice fields based on water management.","Yuan et al.","2022","https://www.nature.com/articles/s43016-022-00477-z.pdf?origin=ppub","41"
69,"Lowland Rice","EAP","Dependence on groundwater","Leads to","Reduced groundwater tables","Overdependence of ground water tables results in falling groundwater tables, deteriorating water quality, environmental degradation, rising pumping costs, and lower crop yields.","CGIAR","2020","https://wle.cgiar.org/solutions/groundwater","42"
70,"Lowland Rice","EAP","Dependence on groundwater","Leads to","Saline intrusion","The main threats for rice cultivation in the Deltas are relative sea level rise and increased saline intrusions, and that both phenomena arise mainly from groundwater pumping and sand mining.","Yen et al.","2019",,"43"
71,"Lowland Rice","EAP","Dependence on groundwater","Leads to","Saline intrusion","The main threats for rice cultivation in the Deltas are relative sea level rise and increased saline intrusions, and that both phenomena arise mainly from groundwater pumping and sand mining.","Thuy Le Toan, et al","2021",,"43"
72,"Lowland Rice","EAP","Inadequate climate information services","Leads to","Crop stress/damage/mortality","Information on lternative planting practices is lacking and farmers are only eligible for subsidies if they plant rice. Therefore, many farmers planted rice even though they know that it was risky. Hence, the competition for scarce water increased and resources, like seeds and fertilizer, were wasted.","CCAFS","2016",,"44"
73,"Lowland Rice","EAP","Low access to markets","Leads to","Increase in food spoilage/wastage","Poor infrastructure causes delays leading to increase in food damage.","CCAFS","2016","https://cgspace.cgiar.org/handle/10568/75633","45"
74,"Lowland Rice","EAP","Large contributor to national/regional GDP","Leads to","Increase in food prices","The Mekong River Delta (MRD) is the rice basket of Vietnam producing 56% of the total domestic rice production and accounting for 90% of Vietnam’s rice export. However, since it's vulnerable to climatical conditions, it can lead to increased food prices..","Yen et al.","2019",,"46"
75,"Lowland Rice","EAP","Low access to markets","Leads to","Delays in transportation","Poor infrastructure causes delays, and delays at borders are another major concern.","CCAFS","2016","https://cgspace.cgiar.org/handle/10568/75633","47"
76,"Lowland Rice","EAP","Large contributor to national/regional GDP","Leads to","Increase in food imports","Since the Mekong River Delta (MRD) is the rice basket of Vietnam producing 56% of the total domestic rice production and accounting for 90% of Vietnam’s rice export, decline in its production can lead to increase in food imports.","Yen et al.","2019",,"48"
77,"Lowland Rice","EAP","Water scarce area","Leads to","Reduced crop productivity/failure","Water scarcity in many eregions has resulted to  ground water pumping for irrigation","CCAFS","2016","https://cgspace.cgiar.org/handle/10568/75633","49"
78,"Lowland Rice","EAP","Water scarce area","Leads to","Reduced crop productivity/failure","Water scarcity in many eregions has resulted to  ground water pumping for irrigation","Nguyen et al.","2017","https://ccafs.cgiar.org/resources/publications/climate-smart-agriculture-vietnam","49"
79,"Lowland Rice","EAP","Water scarce area","Leads to","Reduced crop productivity/failure","Water scarcity in many eregions has resulted to  ground water pumping for irrigation","Akam & Gruere","2018","https://doi.org/10.1787/15615529","49"
80,"Lowland Rice","EAP","Water scarce area","Leads to","Reduced crop productivity/failure","Water scarcity in many eregions has resulted to  ground water pumping for irrigation","Yen et al.","2019",,"49"
81,"Lowland Rice","EAP","Water scarce area","Leads to","Reduced groundwater tables","Elicited by the El Niño, the drought has resulted in effects, such as reduced agricultural production, which limit the livelihoods and aggravates food insecurity in poor and vulnerable communities.These water risks are not only the result of climate change but involve a range of factors, including farming itself, that cause water shortages, floods and degradation of water quality, extensive dam-building and ground water pumping.","CCAFS","2016","https://cgspace.cgiar.org/handle/10568/75633","50"
82,"Lowland Rice","EAP","Water scarce area","Leads to","Reduced groundwater tables","Elicited by the El Niño, the drought has resulted in effects, such as reduced agricultural production, which limit the livelihoods and aggravates food insecurity in poor and vulnerable communities.These water risks are not only the result of climate change but involve a range of factors, including farming itself, that cause water shortages, floods and degradation of water quality, extensive dam-building and ground water pumping.","OXFAM","2016","https://vietnam.oxfam.org/latest/press-release/new-zealand-embassy-announces-50000-usd-humanitarian-aid-ben-tre","50"
83,"Lowland Rice","EAP","Water scarce area","Leads to","Reduced groundwater tables","Elicited by the El Niño, the drought has resulted in effects, such as reduced agricultural production, which limit the livelihoods and aggravates food insecurity in poor and vulnerable communities.These water risks are not only the result of climate change but involve a range of factors, including farming itself, that cause water shortages, floods and degradation of water quality, extensive dam-building and ground water pumping.","Akam & Gruere","2018","https://doi.org/10.1787/15615529","50"
84,"Lowland Rice","EAP","Water scarce area","Leads to","Reduced groundwater tables","Elicited by the El Niño, the drought has resulted in effects, such as reduced agricultural production, which limit the livelihoods and aggravates food insecurity in poor and vulnerable communities.These water risks are not only the result of climate change but involve a range of factors, including farming itself, that cause water shortages, floods and degradation of water quality, extensive dam-building and ground water pumping.","Yen et al.","2019",,"50"
85,"Lowland Rice","EAP","Unfavourable soil conditions","Leads to","Reduced crop productivity/failure","The adoption of intensive methods of crop production, based on high levels of inorganic fertilisers and pesticides, has in many cases lowered the quality of soil and water resources. Continuous rice cultivation, using unbalanced mineral fertilisers and only low inputs of organic manure, is in some situations seriously deteriorating the physical and chemical properties of the soil with adverse consequences on crop yields.","Dixon et al.","2001","https://www.fao.org/3/Y1860E/y1860e10.htm","51"
86,"Lowland Rice","EAP","Fragmented landscapes","Leads to","Increase in food insecurity","If land fragmentation is not reversed, an increasing proportion of farmers will be unable to rely on agriculture to ensure adequate food security and income levels thus leading to reduced on-farm employemnt migration to urban areas.","Dixon et al.","2001","https://www.fao.org/3/Y1860E/y1860e10.htm","52"
87,"Lowland Rice","EAP","Lack of access to improved crop varieties","Leads to","Reduced crop productivity/failure","High-yielding varieties are used in all countries, but some still have significant areas of lower yielding, traditional varieties because of their perceived higher grain quality and acceptability.","CCAFS","2016","https://cgspace.cgiar.org/handle/10568/75633","53"
88,"Lowland Rice","EAP","Lack of access to improved crop varieties","Leads to","Reduced crop productivity/failure","High-yielding varieties are used in all countries, but some still have significant areas of lower yielding, traditional varieties because of their perceived higher grain quality and acceptability.","Nguyen et al.","2017","https://ccafs.cgiar.org/resources/publications/climate-smart-agriculture-vietnam","53"
89,"Lowland Rice","EAP","Lack of access to improved crop varieties","Leads to","Reduced crop productivity/failure","High-yielding varieties are used in all countries, but some still have significant areas of lower yielding, traditional varieties because of their perceived higher grain quality and acceptability.","Dixon et al.","2001","https://www.fao.org/3/Y1860E/y1860e10.htm","53"
