Resource,Tags,ID
"(CCAFS,2016); (Chapman & Darby, 2016)","Technology, infrastructure, partnership required, network dependent",53
"(CCAFS,2016); (Claudia& Renaud, 2012)","Technology, capacity building",54
"(CCAFS,2016);","Institutions and policy, research and development, community level, network dependent",55
"(CCAFS,2016); (Claudia& Renaud, 2012); (Thuy Le Toan, et al, 2021)","Research and development, technology",56
"(CCAFS, 2016);(Dixon et al., 2001)","Capacity building, research and development, community level, network dependent",57
"(Yen et al., 2019)",,58
"(Yen et al., 2019)","climate smart agriculture, institutions and policy",59
"(Yen et al., 2019)","Finance, technology ",60
"(CCAFS, 2016)","Area of land ",61
"(CCAFS, 2016)","Area of land ",62
"(Yen et al., 2019); (OXFAM, 2016)","Food insecurity,socioeconomic",63
"(CCAFS, 2016); (OXFAM, 2016)",socioeconomic,64
"(Dixon et al., 2001);(OXFAM, 2016)",socioeconomic,65
"(J.Dixon et al.,2001)",Maritime Related,66
,Season Related,67
"(J.Dixon et al.,2001)",Rainfall Related,68
"(Finlayson .C. et al.,2019)",Maritime Related,69
"(Finlayson .C. et al.,2019)",Maritime Related,70
"(WMO,2021)",Maritime Related,71
"(K. Zahedi et al ., 2020)",Season Related,72
"(ICRC,2021)",Wind related,73
,,74
"(J.Dixon et al.,2001)",Biophysical,75
"(J.Dixon et al.,2001)",Biophysical,76
"(J.Dixon et al.,2001)",Biophysical,77
"(J.Dixon et al.,2001)",Biophysical,77
"(J.Dixon et al.,2001)",Biophysical,78
"(Nithin Coca, 2020)",Biophysical,79
"(WMO,2021)",Biophysical,80
,Biophysical,81
,Biophysical,82
,Biophysical,83
,Biophysical,84
"(J.Dixon et al.,2001)",Biophysical,85
"(J.Dixon et al.,2001)",Biophysical,85
,,86
,,87
,,88
,,89
,,90
"(J.Dixon et al.,2001)",Socio-economic,91
"(J.Dixon et al.,2001)",Socio-economic,92
"(J.Dixon et al.,2001)",Socio-economic,93
"(J.Dixon et al.,2001): (World Bank,2021)",Socio-economic,94
"(J.Dixon et al.,2001)",Socio-economic,95
,Socio-economic,96
,Socio-economic,97
,,98
"(G. Thapa and R. Gaiha, 2011)",Finance,99
"(A Bauer., 2008)",Finance: Location specific,99
"(H. R. Gautam et al ., 2013)",Pest and diseases,100
"(C.M. Godde et al., 2021)",Pest and diseases,101
"(Devendra C. ,2012)",Weather and environment,102
"(Devendra C. ,2012)",Weather and environment,102
"(V. Anbumozhi et al., 2012)",Capacity Building,103
"(W. Juswanto and A. Zulfiqar,2016)",Infrastructure,104
"(Mubarik Ali et al.,2005)",Governance,105
"(ESCAP, 2018)",Weather and environment,106
"(UNCTAD, 2013)",Weather and environment,107
,,108
"(G. Thapa and S. Hessel, 2016)",Infrastructure,109
"(G. Thapa and R. Gaiha, 2011)",Finance,110
"(A Bauer., 2008)",Finance: Location specific,110
"(Devendra C. ,2012)",Weather and environment,111
"(Devendra C. ,2012)",Weather and environment,111
"(ADB, 2008)",Finance,112
,,113
,,114
"(G. Wang et al., 2019)",Ecosystem; Community level; Policy level,115
"(Brescian .F. et al.,  2019)",Institutions and policy; Policy level;  Partnership required,116
"(A. Abiad et al.,2020)",Infrastructure; Network dependent,117
,,118
,,119
"(Finlayson .C. et al.,2019)",Capacity Building; Community level; Network dependent,120
"(A. Roy and S. Basu,2020)",Finance: Farmer level,121
"(ABD,2012)",Community level,122
"(B. P. Resurreccion et al., 2008)",Research and Development;Partnership required,123
"(R. Rajalahti, 2021)",Research and Development; Policy level;Partnership required,123
"(FAO, 2017)",Research and Development; partnership required,124
,,125
"(Brescian .F. et al.,  2019)",Capacity Building; Community level; Network dependent,126
"(Brescian .F. et al.,  2019)",Ecosystem; Community level; Policy level,127
,,128
,,129
,,130
,,131
,,132
"(IFAD, 2017)",Capacity Building; Farm level,133
"(ESCAP,2020)",Biophysical:Capacity building,134
,,135
,,136
"(B. P. Resurreccion et al., 2008)",Research and Development;Partnership required,137
"(R. Rajalahti, 2021)",Research and Development; Policy level;Partnership required,137
"(UNEP, 2021)",Capacity Building; community level; Network dependent,138
"(USAID, 2021)",Capacity Building: Community level,139
"(IFAD, 2022)",Governance; Farmlevel,140
"(IFAD, 2022)",Infrastructure; Network dependent; Partnership required,141
"(Brescian .F. et al.,  2019)",Governance; community level,142
,,143
"(Brescian .F. et al.,  2019)",Socio-economic,144
"(Brescian .F. et al.,  2019)",Socio-economic,145
"(FAO & UNICEF EAPRO,2021)",Socio-economic,146
"(Yadav et al., 2011)",Socio-economic,147
"(G. Thapa and R. Gaiha, 2011)",Socio-economic,148
"(Bell & Taylor, 2015); (ASEAN, 2021); (Carandang, 2010); (Hellin et al., 2020); (IPCC, 2022)",Rainfall related,149
"(Bell & Taylor, 2015); (ASEAN, 2021); (Hellin et al., 2020); (IPCC, 2022)",Rainfall related,150
"(Bell & Taylor, 2015); (ASEAN, 2021); (FAO, 2018); (Carandang, 2010); (Hellin et al., 2020); (IPCC, 2022)",Rainfall related,151
"(Bell & Taylor, 2015); (FAO, 2018)",Temperature related,152
"(Bell & Taylor, 2015)",Rainfall related,153
"(Bell & Taylor, 2015)",Wind related,154
"(ASEAN, 2021)",Temperature related,155
"(ASEAN, 2021); (FAO, 2018); (Pipitpukdee et al., 2020); (IPCC, 2022)","Rainfall related; Location specific ",156
"(ASEAN, 2021); (FAO, 2018); (Pipitpukdee et al., 2020)","Rainfall related; Location specific ",157
"(Mar et al., 2018)",Rainfall related,158
"(ASEAN, 2021)",Season related,159
"(ASEAN, 2021); (IPCC, 2022)",Biophysical,160
"(Landicho et al., 2019); (Diana et al., 2022)",Biophysical,161
"(Schreinemachers et al., 2013)",Biophysical,162
"(Mar et al., 2018); (Bell & Taylor, 2015)",Biophysical,163
"(Mar et al., 2018); (Bell & Taylor, 2015)",Biophysical,164
"(Stuecker et al., 2018)",Biophysical,165
"(Bell & Taylor, 2015); (Taylor et al., 2016)",Biophysical,166
"(ASEAN, 2021); (Dixon et al., 2001); (IPCC, 2022)",Biophysical,167
"(Olsson et al., 2019)",Biophysical,168
"(Mar et al., 2018)",Biophysical,169
"(Dixon et al., 2001)",Biophysical,170
,Biophysical,171
"(ASEAN, 2021)",Biophysical,172
"(Stuecker et al., 2018); (Mar et al., 2018)",Socioeconomic,173
"(Taylor et al., 2016)",Socioeconomic,174
"(Schreinemachers et al., 2013); (Dixon et al., 2001)",Socioeconomic,175
"(Stuecker et al., 2018); (Dixon et al., 2001)",Socioeconomic,176
"(Stuecker et al., 2018); (Dixon et al., 2001)",Socioeconomic,177
"(Diana et al., 2022); (Dixon et al., 2001)",Technology,178
"(Bell & Taylor, 2015); (Diana et al., 2022)",Technology,178
"(Hepp et al., 2019); (Schreinemachers et al., 2013); (FAO, 2018)",Human capacity,179
"(Hiwasaki et al., 2016); (ASEAN, 2021); (Oxfam, 2019)",Gender,180
"(Schreinemachers et al., 2013); (Dixon et al., 2001)",Institutions and policy,181
"(Oxfam, 2019)",Gender; Institutions and policy,182
"(Diana et al., 2022); (Schreinemachers et al., 2013); (Dixon et al., 2001); (Oxfam, 2019)",Finance,183
"(ASEAN, 2021); (Landicho, 2019); (Carandang, 2010); (Diana et al., 2022); (Mar et al., 2018)",Governance,184
"(FAO, 2018)",Finance,185
"(ASEAN, 2021); (Schreinemachers et al., 2013); (Dixon et al., 2001)",Human capacity,186
"(ASEAN, 2021)",Weather and environment,187
"(Hepp et al., 2019); (Schreinemachers et al., 2013); (FAO, 2018)",Human capacity,188
,,189
"(Korres et al., 2017)",Weather and environment,190
"(Bell & Taylor, 2015); (FAO, 2018); (FAO, 2018)",Research and development,191
"(Bell & Taylor, 2015); (Oxfam, 2019); (Landicho et al., 2019); (Carandang, 2010)",Gender; Governance,192
"(Diana et al., 2022); (Oxfam, 2019)",Gender; Governance,193
"(Diana et al., 2022); (Stuecker et al., 2018); (Hepp et al., 2019)",Human capacity,194
"(Diana et al., 2022); (Dixon et al., 2001)",Human capacity,195
"(ASEAN, 2021); (Dixon et al., 2001); (Schreinemachers et al., 2013)",Governance,196
"(Dixon et al., 2001)",Human capacity; Infrastructure,197
"(Hepp et al., 2019); (FAO, 2018); (Dixon et al., 2001)",Infrastructure,198
"(Diana et al., 2022); (Dixon et al., 2001)",Technology,199
"(Bell & Taylor, 2015); (Diana et al., 2022)",Technology,199
,,200
"(ASEAN, 2021); (Schreinemachers et al., 2013); (Dixon et al., 2001)"," Governance; Institutions and policy",201
"(Dixon et al., 2001)",Agroforestry; Conservation agriculture; Climate-smart agriculture; Farm-level; Community-level,202
"(Hepp et al., 2019); (Dixon et al., 2001)",Infrastructure,203
"(Dixon et al., 2001)",Infrastructure; Climate-smart agriculture,204
"(Diana et al., 2022)",Governance; Institutions and policy; Capacity building; Policy-level,205
"(Diana et al., 2022); (Dixon et al., 2001)",Capacity building; Conservation agriculture; Farm-level; Community-level,206
"(Landicho et al., 2019); (Dixon et al., 2001)",Agroforestry; Conservation agriculture; Climate-smart agriculture; Farm-level; Community-level,207
"(Landicho et al., 2019)",Agroforestry; Conservation agriculture; Climate-smart agriculture; Farm-level; Community-level,208
"(Carandang, 2010); (Pipitpukdee et al., 2020); (Mar et al., 2018); (Dixon et al., 2001)",Partnership required; Research and development; Farm-level; Community-level,209
"(Taylor et al., 2016); (Hellin et al., 2020)",Climate-smart agriculture; Farm-level,210
"(Hiwasaki et al., 2016 ); (Oxfam, 2019); (Mar et al., 2018); (Akter, 2021)",Capacity building; Gender; Farm-level; Community-level,211
"(Hepp et al., 2019); (Carandang, 2010); (Dixon et al., 2001)",Institutions and policy; Policy-level; Farm-level,212
"(Landicho et al., 2019); (Schreinemachers et al., 2013); (Dixon et al., 2001)",Institutions and policy; Policy-level; Farm-level; Capacity building; Climate-smart agriculture; Conservation agriculture,213
"(Dixon et al., 2001); (Landicho et al., 2019); (Carandang, 2010)",Institutions and policy; Policy-level,214
,,215
,,216
,,217
"(Reda et al., 2015",Climate-smart agriculture; Farm-level,218
"(Diana et al., 2022); (Landicho et al., 2019)",Farm-level; Community-level; Network dependent,219
"(Diana et al., 2022); (Landicho et al., 2019); (Schreinemachers et al., 2013); (Carandang, 2010); (Mar et al., 2018)",Governance; Policy and institutions,220
"(Diana et al., 2022)",Governance; Policy and institutions,221
"(Landicho et al., 2019); (Carandang, 2010)",Governance; Policy and institutions; Policy-level,222
"(Reda et al., 2015)",Governance; Policy and institutions; Policy-level,223
,,224
"(Dixon et al., 2001)",Governance; Policy and institutions; Policy-level,225
"(Mar et al., 2018); (Dixon et al., 2001)",Policy and institutions,226
,,227
,,228
"(Mar et al., 2018); (Pipitpukdee et al., 2020)",Finance,229
"(Dixon et al., 2001)",,230
"(ASEAN, 2021); (Schreinemachers et al., 2013); (Dixon et al., 2001)",,231
"(Landicho et al., 2019); (Stuecker et al., 2018); (Dixon et al., 2001",,232
"World Meteorological Organization, 2021",Temperature related,233
"World Meteorological Organization, 2021",Rainfall related,234
"Iris M and Hazel A. , 2017",Maritime related,235
"World Meteorological Organization, 2021",Maritime related,236
"World Meteorological Organization, 2021",Rainfall related,237
"World Meteorological Organization, 2021",Rainfall related,238
"Iris M and Hazel A. , 2017",Maritime related,239
"World Meteorological Organization, 2020",Temperature related,240
"(Antonio M, 2018)",Biophysical,241
"Vergara, W et al., 2014",Biophysical,242
"(World Meteorological Organization, 2021); (Onil B et al., 2021)",Biophysical,243
"(Vergara, W et al., 2014); (Iris M and Hazel A. , 2017)",Biophysical; Infrastructure,244
"(Iris M and Hazel A. , 2017)",Biophysical; Infrastructure,245
"Antonio M, 2018",Biophysical,246
"IICA, 2017",Biophysical,247
"World Meteorological Organization, 2021",Biophysical,248
"(Vergara, W et al., 2014); (Iris M and Hazel A. , 2017)",Infrastructure,249
,Biophysical,250
"World Meteorological Organization, 2021",Weather and Environment; Biophysical,251
,Biophysical,252
,Biophysical,253
,Biophysical,254
"World Meteorological Organization, 2021",Socioeconomic,255
"Antonio M, 2018",Socioeconomic,255
"Antonio M, 2018",Finance,256
"Antonio M, 2018",Finance,257
"World Meteorological Organization, 2021",Socioeconomic,258
"Antonio M, 2018",Socioeconomic,258
"Antonio M, 2018",Socioeconomic,259
"Antonio M, 2018",Finance; Socioeconomic,260
"Onil B et al., 2021",Socioeconomic,261
"Onil B et al., 2021",Socioeconomic,262
,Socioeconomic,263
,Socioeconomic,264
,Socioeconomic,265
,Socioeconomic,266
,Socioeconomic,267
"Onil B et al., 2021",socioeconomic; Finance,268
"Mapplecroft, 2014",Finance,269
"Onil B et al., 2021",Finance,269
"Mapplecroft, 2014",Governance; Institutions and policy,270
"Mapplecroft, 2014",Governance; Institutions and policy,270
"Mapplecroft, 2014",Governance; Institutions and policy,271
"IICA, 2017",Weather and Environment,272
"IICA, 2017",Weather and Environment,272
"IICA, 2020",Institutions and policy,273
"(Antonio M, 2018); (Onil B et al., 2021)",Governance,274
"World Bank, 2020",Governance; Institutions and policy,275
"IMF, 2017",Governance; Institutions and policy,276
"USDA, n.d",Weather and environment,277
"IICA, 2017",Weather and Environment,278
"Fernando S, 2006",Governance,279
,,280
"Mapplecroft, 2014",Finance,281
"Onil B et al., 2021",Finance,281
"IICA, 2017",Infrastructure,282
"IICA, 2017",Weather and Environment,283
"IICA, 2017",Weather and Environment,283
"Mapplecroft, 2014",Governance; Institutions and policy,284
"Mapplecroft, 2014",Governance; Institutions and policy,284
"Mapplecroft, 2014",Governance; Institutions and policy,285
"UNDP, n.d",Ecosystem-based adaptation; Policy level,286
"World Meteorological Organization, 2021",Ecosystem-based adaptation; Policy level,287
,,288
"UNDP, n.d",Infrastructure; Farm level; Community level,289
"UNDP, n.d",Infrastructure,290
"Brian Feld & Sebastian Galiani, 2015",Technology; Climate-smart agriculture; Farm level; Partnership required,291
"Sperrati A, et al., 2015","Conservation Agriculture; Farm level; Policy level ",292
"Brian Feld & Sebastian Galiani, 2015",Technology; Climate-smart agriculture; Farm level.,293
"CIMMYT,2013",Research and development; Partnership required,293
"Brian Feld & Sebastian Galiani, 2015",Research and development; Partnership required,294
"UNDP, n.d","Climate-smart agriculture; Farm level; Community level; Partnership required ",295
"Brian Feld & Sebastian Galiani, 2015",Infrastructure; Farm level; Community level,296
World Bank; CIAT. 2015,"Climate-smart agriculture; Farm level; Community level; Partnership required ",297
"Sperrati A, et al., 2015","Conservation Agriculture; Farm level; Policy level ",298
"UNDP, n.d",Climate-smart agriculture; Farm level,299
"Brian Feld & Sebastian Galiani, 2015",Technology; Climate-smart agriculture; Farm level.,300
"CIMMYT,2013",Research and development; Partnership required,300
"WFP, 2021",Capacity building; Network dependent,301
,,302
,,303
,,304
Jorisch D et al.; 2018,Capacity building; Network dependent,305
,,306
"Brian Feld & Sebastian Galiani, 2015",Capacity building; Institutions and Policy; Network dependent,307
,,308
"Brian Feld & Sebastian Galiani, 2015",Climate-smart agriculture; Community level; Policy level,309
,,310
"Brian Feld & Sebastian Galiani, 2015",Institutions and policy; Policy level,311
"J Dixon et al., 2001",,312
"J Dixon et al., 2001",,313
"(World Meteorological Organization, 2021); (Onil B et al., 2021)",Socio economic,314
,,315
,,316
"(WMO,2020)",Rainfall related,317
"(WMO,2020)",Temperature related,318
"(Anna  R. Rios et al,2021)",Temperature related,319
"(Polade,S. D et al., 2014)",Rainfall related,320
"(Polade,S. D et al., 2014)",Rainfall related,321
"(CEPAL,2012)",Rainfall related,322
"(WMO,2020)",Maritime related,323
"(WMO,2020)",Temperature related,324
"(Polade,S. D et al., 2014)",Rainfall related,325
"(Dixon et al.,2001)",Biophysical,326
"(Nardone et al., 2010)",Biophysical,327
"(WMO,2020)",Biophysical,328
"(Dixon et al.,2001)",Biophysical,329
"(Dixon et al.,2001)",Biophysical,330
"(Melissa et al.,2017)",Biophysical,331
"(Dixon et al.,2001)",Biophysical,332
"(M.M.Rojas.,2017)",Biophysical,333
"(M.M.Rojas.,2017)",Biophysical,334
"(M.Fay et al., 2017)",Biophysical,335
,Biophysical,336
,Biophysical,337
,Biophysical,338
,Biophysical,339
,Biophysical,340
,Biophysical,341
"(Polade,S. D et al., 2014; WMO,2020)",Biophysical,342
,,343
,,344
,,345
,Biophysical,346
"(UN,2020)",Socioeconomic,347
"(Dixon et al.,2001)",Socioeconomic,348
"(Dixon et al.,2001)",Socioeconomic,349
"(Dixon et al.,2001; World Bank,2017)",Socioeconomic,350
"(Dixon et al.,2001)",Socioeconomic,351
"(Dixon et al.,2001)",Socioeconomic,352
"(Onil Banerjee et al., 2021); (IDB, 2021)",Socioeconomic,353
"(Dixon et al.,2001)",Socioeconomic,354
,Socioeconomic,355
,,356
,Socioeconomic,357
"(World Bank, 2021)",Weather and environment,358
"(Verhage et al., 2018); (USAID, 2016); (Thierfelder C., pers. comms., 2021); (CIAT and World Bank, 2017);",Weather and environment,358
"(Dixon et al.,2001)",Human capacity,359
"(K.Mulungu etal., 2019)",Pests and diseases,360
"(Melissa et al.,2017)",Pests and diseases,361
"(Dixon et al.,2001)",Finance,362
"(World Bank,2017)",Finance,362
"(Messina. J et al.,2014)",Ecosystem-based,363
,,364
,,365
,,366
"(World Bank,2017)",Institutions and policy,367
"(Dixon et al.,2001)",Capacity building,368
,,369
"(IFAD,2021)",Governance,370
"(Dixon et al.,2001)",Governance,371
,Governance,372
,Governance,373
"(FAO,2016)",Biophysical,374
"(Dixon et al.,2001;DI Rodríguez et al., 2016)",Pests and diseases,375
"(Dixon et al.,2001)",Biophysical,376
"(Dixon et al.,2001)",Biophysical,377
"(Dixon et al.,2001)",Biophysical,378
,Biophysical,379
"(Dixon et al.,2001)",Infrastructure,380
"(DI Rodríguez et al., 2016)",Research and development,381
"(Dixon et al.,2001)",Finance,382
"(World Bank,2017)",Finance,382
"(World Bank, 2021)",Weather and environment,383
"(Verhage et al., 2018); (USAID, 2016); (Thierfelder C., pers. comms., 2021); (CIAT and World Bank, 2017);",Weather and environment,383
,,384
,Research and development,385
,,386
"(World Bank and USAID, 2017)",Agroforestry;  Weather and environment; Community level; Policy level,387
"(D. Perrotti, 2011)","Infrastructure, Partnership required",388
"(Dixon et al.,2001)",Technology,389
"(Akhmouch.A,2012)",Infrastructure; Technology; Community level,390
"(Dixon et al.,2001)",Governance; Network required,391
,,392
"(World Bank andUSAID,2017)",Conservation Agriculture; Farm level; Partnership required,393
"(Dixon et al.,2001)",Technology; Partnership required,394
,Technology,395
"(World Bank, 2012)",Gender; Community level,396
"(Ngigi M. W et al., 2021)",Climate smart agriculture; Farm level,397
"(Dixon et al.,2001)",Climate smart agriculture; Farm level; Policy level,398
"(UNEP, 2010)",Technology; Partnership required,399
,,400
,,401
,,402
"(UNEP,2010)",Capacity building; Networking required,403
"(GOM, 2014a)",Institutions and policy; Policy level,404
"(Dixon et al.,2001)",Institutions and policy; Policy level,405
"(Dixon et al.,2001)",Research and development,406
"(UNEP,2010)",Climate smart agriculture; Network required,407
,,408
,,409
,,410
,,411
"(Dixon et al.,2001)",Governance; Policy level,412
"(Dixon et al.,2001)",Governance; Policy level,413
"(Dixon et al.,2001)",Governance; Partnership required,414
"(Dixon et al.,2001)",,415
"(Dixon et al.,2001)",,416
"(Dixon et al.,2001)",,417
"(Dixon et al.,2001)",,418
"(Dixon et al.,2001)",,419
"(Maeda et al., 2020); (Marengo et al., 2018)",Rainfall related,420
"(IPCC, 2022); (USAID, 2018); (Marengo et al., 2018)",Temperature related,421
"(IPCC, 2022); (USAID, 2018); (Marengo et al., 2018)",Rainfall related,422
"(IPCC, 2022); (USAID, 2018)",Rainfall related,423
"(IPCC, 2022)",Temperature related,424
"(IPCC, 2022); (USAID, 2018); (Marengo et al., 2018)",Biophysical,425
"(IPCC, 2022); (USAID, 2018); (Marengo et al., 2018); (Ministry of Agriculture, Livestock and Food Supply, 2021)",Biophysical,426
"(USAID, 2018)",Biophysical,427
"(WWF, 2007); (USAID, 2018)",Biophysical,428
"(USAID, 2018)",Biophysical; Pests and diseases,429
"(USAID, 2018); (Tapasco et al., 2019)",Biophysical,430
"(IPCC, 2022); (USAID, 2018); (Marengo et al., 2018);  (Pivello et al., 2021)",Biophysical,431
"(IPCC, 2022); (USAID, 2018); (Marengo et al., 2018);  (Pivello et al., 2021)",Biophysical,432
"(USAID, 2018); (WWF, 2007)",Biophysical,433
"(USAID, 2018); (Tapasco et al., 2019)",Biophysical,434
"(USAID, 2018)",Biophysical; Infrastructure,435
"(USAID, 2018); (Tapasco et al., 2019)",Biophysical,436
"(da Silva et al., 2022); (Olsson et al., 2019)",Biophysical,437
"(USAID, 2018)",Socioeconomic,438
"(WWF, 2007)",Socioeconomic,439
"(Tapasco et al., 2019); (Marengo et al., 2018); (Marquardt et al., 2019); (López-Carr, 2021)",Socioeconomic,440
"(Gardner et al., 2016); (USAID, 2018)",Socioeconomic,441
"(Tapasco et al., 2019); (Marengo et al., 2018); (Marquardt et al., 2019); (López-Carr, 2021)",Socioeconomic,442
"(Gardner et al., 2016)",Socioeconomic,443
"(Sellers & Bilsborrow, 2020)",Socioeconomic,444
"(Gardner et al., 2016); (de Andrade et al., 2017)",Socioeconomic,445
"(Nobre et al., 2021); (Marquardt et al., 2019); (Skidmore et al., 2021)",Human capacity,446
"(Skidmore et al., 2021); (Tapasco et al., 2019); (Marquardt et al., 2019); (Nobre et al., 2021)",Human capacity,447
"(Marquardt et al., 2019); (Tapasco et al., 2019); (Marengo et al., 2018)",Institutions and policy,448
"(Tapasco et al., 2019)",Institutions and policy,449
"(Ravikumar et al., 2016)",Institutions and policy,450
"(Tapasco et al., 2019)",Institutions and policy; Finance,451
"(Nobre et al., 2021); (Tapasco et al., 2019)",Institutions and policy; Finance,452
"(FAO, 2019); (Armenteras et al., 2021); (Cohn et al., 2013); (Marengo et al., 2018); (Garrett et al., 2017); (López-Carr, 2021)",Human capacity,453
"(USAID, 2018)",Weather and environment; Human capacity,454
"(Armenteras et al., 2021); (Marengo et al., 2018); (Pivello et al., 2021)",Weather and environment; Human capacity,455
"(Gardner et al., 2016)",Institutions and policy; Infrastructure,456
"(Tapasco et al., 2019); (Ravikumar et al., 2016); (Skidmore et al., 2021)",Research and development; Institutions and policy,457
"(Tapasco et al., 2019)",Institutions and policy,458
"(Gardner et al., 2016)",Institutions and policy; Infrastructure,459
"(Maeda et al., 2020); (Nobre et al., 2021); (Ministry of Agriculture, Livestock and Food Supply, 2021)",Ecosystem-based adaptation; Climate smart agriculture; Farm-level,460
"(Tapasco et al., 2019); (Tapasco et al., 2019); (Marquardt et al., 2019); (Nobre et al., 2021); (Maeda et al., 2020); (Ministry of Agriculture, Livestock and Food Supply, 2021)",Climate smart agriculture; Conservation agriculture; Farm-level,461
"(Garrett et al., 2017)",Farm-level,462
"(Ravikumar et al., 2016); (Skidmore et al., 2021)",Research and development; Institutions and policy,463
"(Skidmore et al., 2021); (Tapasco et al., 2019)",Capacity building; Farm-level,464
"(Ravikumar et al., 2016); (Gardner et al., 2014)",Network dependent; Partnership required; Governance; Institutions and policy,465
"(Maeda et al., 2020); (Ravikumar et al., 2016)",Institutions and policy; Policy-level,466
"(Maeda et al., 2020); (Nobre et al., 2021); (Marquardt et al., 2019); (Ravikumar et al., 2016)",Institutions and policy; Policy-level,467
"(Marquardt et al., 2019); (Tapasco et al., 2019)",Institutions and policy; Governance,468
,Institutions and policy; Governance,469
"(Nobre et al., 2021); (Tapasco et al., 2019)",Institutions and policy; Finance,470
"(Nobre et al., 2021); (Skidmore et al., 2021)",Institutions and policy; Finance,471
"(Gardner et al., 2016); (Nobre et al., 2021)",Infrastructure; Institutions and policy,472
"(Gardner et al., 2016)",,473
"(USAID, 2018)",,474
,,475
"Fiebig-Wittmaack et al., 2011",Rainfall related,476
"Stäubli et al., 2018",Rainfall related,477
"Redhum, 2016",Temperature related,478
"Fiebig-Wittmaack, 2011; World Bank, 2014",Temperature related,479
"Redhum, 2016",Season related,480
"Stäubli et al., 2018; World Bank, 2014; USAID, 2017",Rainfall related,481
"Wold Bank, 2014;  USAID, 2017",Temperature related,482
"USAID, 2017; Bergmann et al., 2021",Temperature related,483
