"Resource","Year","ID","Number"
"Banerjee et al.","2021","327","1"
"Banerjee et al.","2021","431","1"
"Banerjee et al.","2021","457","1"
"Banerjee et al.","2021","463","1"
"Baptista et al.","2022","1836","1"
"Barlow","2015","92","1"
"Baron and Govaerts","2021","796","1"
"Baron and Govaerts","2021","797","1"
"Baron and Govaerts","2021","777","1"
"Bell & Taylor","2015","229",
"Bell & Taylor","2015","269",
"Bell & Taylor","2015","213",
"Bell & Taylor","2015","214",
"Bell & Taylor","2015","209",
"Bell & Taylor","2015","210",
"Bell & Taylor","2015","215",
"Benites-Zapata et al.","2021","350","1"
"Bera and Sarkar","2021","1468","1"
"Bera and Sarkar","2021","1469","1"
"Bera and Sarkar","2021","1484","1"
"Bera and Sarkar","2021","1486","1"
"Bera and Sarkar","2021","1488","1"
"Bera and Sarkar","2021","1518","1"
"Bera and Sarkar","2021","1464","1"
"Bera and Sarkar","2021","1467","1"
"Bera and Sarkar","2021","1461","1"
"Bera and Sarkar","2021","1459","1"
"Bera and Sarkar","2021","1460","1"
"Bera and Sarkar","2021","1450","1"
"Bera and Sarkar","2021","1502","1"
"Bera and Sarkar","2021","1504","1"
"Bera and Sarkar","2021","1503","1"
"Bera and Sarkar","2021","1516","1"
"Bera and Sarkar","2021","1517","1"
"Bera and Sarkar","2021","1463","1"
"Bergmann et al.","2021","709","1"
"Bergmann et al.","2021","705","1"
"Bergmann et al.","2021","707","1"
"Bergmann et al.","2021","637","1"
"Bergmann et al.","2021","695","1"
"Bhatt et al.","2016","1418","1"
"Bhatt et al.","2016","1404","1"
"Bhatt et al.","2016","1446","1"
"Bhatt et al.","2016","1406","1"
"Bhatt et al.","2016","1407","1"
"Bhatt et al.","2016","1408","1"
"Bhatt et al.","2016","1410","1"
"Bhatt et al.","2016","1412","1"
"Bhatt et al.","2016","1390","1"
"Bhatt et al.","2016","1409","1"
"Bhatt et al.","2016","1417","1"
"Bhatt et al.","2016","1441","1"
"Bhatt et al.","2016","1425","1"
"Bhatt et al.","2016","1400","1"
"Bhatt et al.","2016","1402","1"
"Bhatt et al.","2016","1413","1"
"Bhatt et al.","2016","1387","1"
"Bhatt et al.","2016","1389","1"
"Bhatt et al.","2016","1382","1"
"Bhatt et al.","2016","1383","1"
"Bhatt et al.","2016","1370","1"
"Bhatt et al.","2016","1371","1"
"Bhatt et al.","2021","1429","1"
"Bhatt et al.","2021","1406","1"
"Bhatt et al.","2021","1407","1"
"Bhatt et al.","2021","1431","1"
"Bhatt et al.","2021","1417","1"
"Bhatt et al.","2021","1430","1"
"Bhatt et al.","2021","1427","1"
"Bhatt et al.","2021","1436","1"
"Bhatt et al.","2021","1435","1"
"Bhatt et al.","2021","1404","1"
"Bhatt et al.","2021","1400","1"
"Bhatt et al.","2021","1387","1"
"Bhatt et al.","2021","1389","1"
"Bhatt et al.","2021","1401","1"
"Bhattacharya","2021","1262","1"
"Biazin et al.","2012","1791","1"
"Bjornlund et al.","2020","2260","1"
"Bjornlund et al.","2020","2261","1"
"Bjornlund et al.","2020","1726","1"
"Bjornlund et al.","2022","1727",
"Bjornlund et al.","2022","1804",
"Bohn et al.","2018","780","1"
"Bohn et al.","2018","761","1"
"Bohn et al.","2018","762","1"
"Bohn et al.","2018","763","1"
"Bohn et al.","2018","779","1"
"Bohn et al.","2018","729","1"
"Bohn et al.","2018","736","1"
"Bongase","2017","2036","1"
"Bongase","2017","2023","1"
"Bongase","2017","1993","1"
"Bongiwe","2015","2112","1"
"Bordi et al.","2021","355","1"
"Bordi et al.","2021","371","1"
"Borghesi and Ticci","2019","1111","1"
"Borghesi and Ticci","2019","1136","1"
"Botchway et al.","2018","2285","1"
"Bouza et al.","2015","759","1"
"Brown et al.","2022","1790","1"
"Burney et al.","2013","1752","1"
"Burney et al.","2013","1757","1"
"Butler et al.","2020","208","1"
"Cai et al.","2020","655","1"
"Cai et al.","2020","627","1"
"Carandang","2010","311","1"
"Carandang","2010","312","1"
"Carandang","2010","280","1"
"Carandang","2010","281","1"
"Carandang","2010","284","1"
"Carandang","2010","306","1"
"Carandang","2010","279","1"
"Carandang","2010","259","1"
"Carandang","2010","261","1"
"Carandang","2010","260","1"
"Carandang","2010","269","1"
"Carandang","2010","296","1"
"Carandang","2010","303","1"
"Carandang","2010","299","1"
"Carandang","2010","235","1"
"Carandang","2010","253","1"
"Carandang","2010","209","1"
"Carandang","2010","210","1"
"Carandang","2010","302","1"
"Carandang","2010","277","1"
"Carranza et al.","2019","1738","1"
"Carranza et al.","2019","1739","1"
"Carranza et al.","2019","1741","1"
"Carranza et al.","2019","1742","1"
"Carranza et al.","2019","1778","1"
"CASA","2015","1252","1"
"CCAFS","2016","2","1"
"CCAFS","2016","18","1"
"CCAFS","2016","19","1"
"CCAFS","2016","79","1"
"CCAFS","2016","53","1"
"CCAFS","2016","55","1"
"CCAFS","2016","7","1"
"CCAFS","2016","8","1"
"CCAFS","2016","17","1"
"CCAFS","2016","45","1"
"CCAFS","2016","47","1"
"CCAFS","2016","4","1"
"CCAFS","2016","5","1"
"CCAFS","2016","6","1"
"CCAFS","2016","49","1"
"CCAFS","2016","50","1"
"CCAFS","2016","80","1"
"CCAFS","2016","81","1"
"CCAFS","2016","21","1"
"Cedric et al.","2022","2019","1"
"Cedric et al.","2022","2109","1"
"Cedric et al.","2022","2110","1"
"Cerrato et al.","2022","769","1"
"Cerrato et al.","2022","782","1"
"Cerrato et al.","2022","767","1"
"CGIAR","2020","42","1"
"Chandel et al.","2022","1439","1"
"Chandel et al.","2022","1416","1"
"Chandel et al.","2022","1414","1"
"Chapman & Darby","2016","55",
"Chapman & Darby","2016","4",
"Chapman et al.","2020","1747","1"
"Chapman et al.","2020","1723","1"
"Chapman et al.","2020","1728","1"
"Chapman et al.","2020","1753","1"
"Chapman et al.","2020","1758","1"
"Chemura et al.","2020","2339","1"
"Chemura et al.","2020","2352","1"
"Chemura et al.","2020","2338","1"
"Chemura et al.","2020","2347","1"
"Cheruiyot et al.","2007","1950","1"
"Cheruiyot et al.","2007","1951","1"
"Cheserek et al.","2015","1954","1"
"Cheserek et al.","2015","1949","1"
"Cheserek et al.","2015","1950","1"
"Cheserek et al.","2015","1951","1"
"Cheserek et al.","2015","1975","1"
"Cheserek et al.","2015","1956","1"
"Cheserek et al.","2015","1957","1"
"Cheserek et al.","2015","1958","1"
"Cheserek et al.","2015","1973","1"
"Cheserek et al.","2015","1953","1"
"Chinseu et al.","2022","1767","1"
"Chávez and Takahashi","2017","635","1"
"Chávez and Takahashi","2017","636","1"
"CIAT and USAID","2016","2155","1"
"CIAT and USAID","2016","2156","1"
"CIAT and USAID","2016","2248","1"
"CIAT and USAID","2016","2255","1"
"CIAT and USAID","2016","2240","1"
"CIAT and USAID","2016","1540","1"
"CIAT and USAID","2016","1563","1"
"CIAT and USAID","2016","2179","1"
"CIAT and World Bank","2017","2058","1"
"CIAT and World Bank","2017","2059","1"
"CIAT and World Bank","2017","2060","1"
"CIAT and World Bank","2017","2061","1"
"CIAT and World Bank","2017","2080","1"
"CIAT and World Bank","2017","2096","1"
"CIAT and World Bank","2017","2079","1"
"CIAT and World Bank","2017","2062","1"
"CIAT and World Bank","2017","2128","1"
"CIAT and World Bank","2017","2135","1"
"CIAT and World Bank","2017","2139","1"
"CIAT and World Bank","2017","2118","1"
"CIAT and World Bank","2017","2119","1"
"CIAT and World Bank","2017","2121","1"
"CIAT and World Bank","2017","2071","1"
"CIAT and World Bank","2017","2072","1"
"CIAT and World Bank","2017","2073","1"
"CIAT and World Bank","2017","2065","1"
"CIAT and World Bank","2017","2067","1"
"CIAT and World Bank","2017","2068","1"
"CIAT and World Bank","2017","2146","1"
"CIAT and World Bank","2017","2147","1"
"CIAT and World Bank","2017","2148","1"
"CIAT and World Bank","2017","2145","1"
"CIAT and World Bank","2017","2132","1"
"CIAT and World Bank","2017","2120","1"
"CIAT and World Bank","2017","2140","1"
"CIAT and World Bank","2017","2143","1"
"CIAT and World Bank","2017","2144","1"
"CIAT and World Bank","2017","2063","1"
"CIAT and World Bank","2017","2064","1"
"CIAT and World Bank","2017","2069","1"
"CIAT and World Bank","2017","506","1"
"CIAT and World Bank","2017","533","1"
"CIAT and World Bank","2017","2130","1"
"CIAT and World Bank","2017","2131","1"
"CIAT and World Bank","2017","2133","1"
"CIAT and World Bank","2017","2134","1"
"CIMMYT","2022","1358","1"
"CLI","2014","181","1"
"Codjoe et al.","2020","1837","1"
"Codjoe et al.","2020","1838","1"
"Coulibaly et al.","2022","1779","1"
"Coulibaly et al.","2022","1782","1"
"Cramb et al.","2015","62","1"
"Cramb et al.","2015","16","1"
"Crippa et al.","2022","2217","1"
"Daloz et al.","2021","1386","1"
"Dave et al.","2017","2004","1"
"de Andrade et al.","2017","564","1"
"de Andrade et al.","2017","577","1"
"de Andrade et al.","2017","580","1"
"de Andrade et al.","2017","582","1"
"de Andrade et al.","2017","615","1"
"Debela et al.","2015","1644","1"
"Deep et al.","2018","1488","1"
"Deep et al.","2018","1491","1"
"Deep et al.","2018","1500","1"
"Deep et al.","2018","1459","1"
"Deep et al.","2018","1450","1"
"Deep et al.","2018","1521","1"
"Deep et al.","2018","1524","1"
"Deep et al.","2018","1492","1"
"Deep et al.","2018","1525","1"
"Deepak and Prasanta","2017","1718","1"
"Deepak and Prasanta","2017","1312","1"
"Devendra","2012","148","1"
"Devendra","2012","144","1"
"Devendra","2012","168","1"
"Devendra","2012","171","1"
"Devkota and Yigezu","2020","947","1"
"Devkota et al.","2022","922","1"
"Devkota et al.","2022","951","1"
"Devkota et al.","2022","954","1"
"Devkota et al.","2022","952","1"
"Devkota et al.","2022","953","1"
"Devkota et al.","2022","966","1"
"Devkota et al.","2022","949","1"
"Devkota et al.","2022","942","1"
"Dhanda et al.","2022","1447","1"
"Dhanda et al.","2022","1403","1"
"Dhanda et al.","2022","1421","1"
"Dhanda et al.","2022","1429","1"
"Dhanda et al.","2022","1431","1"
"Dhanda et al.","2022","1417","1"
"Dhanda et al.","2022","1430","1"
"Dhanda et al.","2022","1436","1"
"Dhanda et al.","2022","1444","1"
"Dhanda et al.","2022","1425","1"
"Dhanda et al.","2022","1443","1"
"Dhanda et al.","2022","1445","1"
"Dhanda et al.","2022","1432","1"
"Dhanda et al.","2022","1433","1"
"Dhanda et al.","2022","1438","1"
"Dhanda et al.","2022","1442","1"
"DI Rodríguez et al.","2016","458","1"
"DI Rodríguez et al.","2016","460","1"
"DI Rodríguez et al.","2016","464","1"
"DI Rodríguez et al.","2016","466","1"
"Diana et al.","2022","311","1"
"Diana et al.","2022","312","1"
"Diana et al.","2022","279","1"
"Diana et al.","2022","259","1"
"Diana et al.","2022","261","1"
"Diana et al.","2022","260","1"
"Diana et al.","2022","218","1"
"Diana et al.","2022","219","1"
"Diana et al.","2022","271","1"
"Diana et al.","2022","297","1"
"Diana et al.","2022","270","1"
"Diana et al.","2022","296","1"
"Diogo et al.","2022","1989","1"
"Diogo et al.","2022","1990","1"
"Diogo et al.","2022","1743","1"
"Dixon et al.","2001","272","1"
"Dixon et al.","2001","311","1"
"Dixon et al.","2001","312","1"
"Dixon et al.","2001","283","1"
"Dixon et al.","2001","293","1"
"Dixon et al.","2001","780","1"
"Dixon et al.","2001","281","1"
"Dixon et al.","2001","306","1"
"Dixon et al.","2001","279","1"
"Dixon et al.","2001","259","1"
"Dixon et al.","2001","261","1"
"Dixon et al.","2001","290","1"
"Dixon et al.","2001","237","1"
"Dixon et al.","2001","308","1"
"Dixon et al.","2001","288","1"
"Dixon et al.","2001","264","1"
"Dixon et al.","2001","949","1"
"Dixon et al.","2001","285","1"
"Dixon et al.","2001","256","1"
"Dixon et al.","2001","952","1"
"Dixon et al.","2001","953","1"
"Dixon et al.","2001","300","1"
"Dixon et al.","2001","304","1"
"Dixon et al.","2001","302","1"
"Dixon et al.","2001","286","1"
"Dixon et al.","2001","222","1"
"Dixon et al.","2001","232","1"
"Dixon et al.","2001","277","1"
"Dixon et al.","2001","964","1"
"Dixon et al.","2001","960","1"
"Dixon et al.","2001","959","1"
"Dixon et al.","2001","62","1"
"Dixon et al.","2001","968","1"
"Dixon et al.","2001","291","1"
"Dixon et al.","2001","292","1"
"Dixon et al.","2001","1474","1"
"Dixon et al.","2001","53","1"
"Dixon et al.","2001","1523","1"
"Dixon et al.","2001","37","1"
"Dixon et al.","2001","961","1"
"Dixon et al.","2001","962","1"
"Dixon et al.","2001","309","1"
"Dixon et al.","2001","963","1"
"Dixon et al.","2001","55","1"
"Dixon et al.","2001","38","1"
"Dixon et al.","2001","927","1"
"Dixon et al.","2001","939","1"
"Dixon et al.","2001","1514","1"
"Dixon et al.","2001","299","1"
"Dixon et al.","2001","943","1"
"Dixon et al.","2001","247","1"
"Dixon et al.","2001","1500","1"
"Dixon et al.","2001","958","1"
"Dixon et al.","2001","1510","1"
"Dixon et al.","2001","51","1"
"Dixon et al.","2001","52","1"
"Dixon et al.","2001","63","1"
"Dixon et al.","2001","956","1"
"Dixon et al.","2001","955","1"
"Dixon et al.","2001","1368","1"
"Dixon et al.","2001","1347","1"
"Dixon et al.","2001","1341","1"
"Dixon et al.","2001","1324","1"
"Dixon et al.","2001","1204","1"
"Dixon et al.","2001","1328","1"
"Dixon et al.","2001","1333","1"
"Dixon et al.","2001","1316","1"
"Dixon et al.","2001","1300","1"
"Dixon et al.","2001","1031","1"
"Dixon et al.","2001","1032","1"
"Dixon et al.","2001","1307","1"
"Dixon et al.","2001","1308","1"
"Dixon et al.","2001","1306","1"
"Dixon et al.","2001","1309","1"
"Dixon et al.","2001","1331","1"
"Dixon et al.","2001","1201","1"
"Dixon et al.","2001","1348","1"
"Dixon et al.","2001","1366","1"
"Dixon et al.","2001","1367","1"
"Dixon et al.","2001","1369","1"
"Dixon et al.","2001","1229","1"
"Dixon et al.","2001","1232","1"
"Dixon et al.","2001","1318","1"
"Dixon et al.","2001","1327","1"
"Dixon et al.","2001","206","1"
"Dixon et al.","2001","207","1"
"Dixon et al.","2020","2335","1"
"Dixon et al.","2020","1813","1"
"Dixon et al.","2020","1812","1"
"Dixon et al.","2020","2289","1"
"Dixon et al.","2020","2345","1"
"Dixon et al.","2020","2363","1"
"Dixon et al.","2020","2346","1"
"Dixon et al.","2020","2339","1"
"Dixon et al.","2020","2362","1"
"Dixon et al.","2020","2285","1"
"Dixon et al.","2020","1889","1"
"Dixon et al.","2020","1914","1"
"Dixon et al.","2020","2146","1"
"Dixon et al.","2020","2147","1"
"Dixon et al.","2020","2148","1"
"Dixon et al.","2020","1896","1"
"Dixon et al.","2020","2145","1"
"Dixon et al.","2020","1929","1"
"Dixon et al.","2020","2357","1"
"Dixon et al.","2020","2250","1"
"Dixon et al.","2020","2157","1"
"Dixon et al.","2020","2171","1"
"Dixon et al.","2020","2278","1"
"Dixon et al.","2020","2290","1"
"Dixon et al.","2020","2312","1"
"Dixon et al.","2020","2329","1"
"Dixon et al.","2020","2181","1"
"Dixon et al.","2020","2182","1"
"Dixon et al.","2020","2344","1"
"Dixon et al.","2020","2356","1"
"Dixon et al.","2020","2365","1"
"Dixon et al.","2020","2358","1"
"Dixon et al.","2020","2364","1"
"Dixon et al.","2020","2223","1"
"Dixon et al.","2020","2244","1"
"Dixon et al.","2020","2360","1"
"Dixon et al.","2020","2327","1"
"Dixon et al.","2020","2228","1"
"Dixon et al.","2020","2238","1"
"Dixon et al.","2020","2208","1"
"Dixon et al.","2020","2252","1"
"Dixon et al.","2020","2256","1"
"Dixon et al.","2020","2257","1"
"Dixon et al.","2020","2269","1"
"Dixon et al.","2020","2331","1"
"Dixon et al.","2020","2222","1"
"Dixon et al.","2020","2013","1"
"Dixon et al.","2020","2334","1"
"Dixon et al.","2020","2215","1"
"Dixon et al.","2020","2231","1"
"Dixon et al.","2020","2234","1"
"Dixon et al.","2020","2243","1"
"Dixon et al.","2020","2271","1"
"Dixon et al.","2020","2309","1"
"Dixon et al.","2020","2177","1"
"Dixon et al.","2020","1994","1"
"Dixon et al.","2020","2173","1"
"Dixon et al.","2020","2185","1"
"Dixon et al.","2020","2022","1"
"Dixon et al.","2020","2054","1"
"Dixon et al.","2020","2055","1"
"Dixon et al.","2020","2159","1"
"Dixon et al.","2020","2190","1"
"Dixon et al.","2020","2284","1"
"Dixon et al.","2020","2160","1"
"Dixon et al.","2020","2279","1"
"Dixon et al.","2020","2357","1"
"Dixon et al.","2020","1657","1"
"Dixon et al.","2020","1659","1"
"Dixon et al.","2020","1663","1"
"Dixon et al.","2020","1915","1"
"Dixon et al.","2020","1549","1"
"Dixon et al.","2020","1550","1"
"Dixon et al.","2020","1551","1"
"Dixon et al.","2020","1571","1"
"Dixon et al.","2020","1613","1"
"Dixon et al.","2020","1658","1"
"Dixon et al.","2020","1898","1"
"Dixon et al.","2020","1841","1"
"Dixon et al.","2020","1842","1"
"Dixon et al.","2020","1538","1"
"Dixon et al.","2020","1890","1"
"Dixon et al.","2020","1893","1"
"Dixon et al.","2020","2194","1"
"Dixon et al.","2020","1208","1"
"Dixon et al.","2020","1635","1"
"Dixon et al.","2020","1644","1"
"Dixon et al.","2020","1666","1"
"Dixon et al.","2020","1664","1"
"Dixon et al.","2020","1899","1"
"Dixon et al.","2020","1894","1"
"Dixon et al.","2020","1900","1"
"Dixon et al.","2020","1901","1"
"Dixon et al.","2020","1866","1"
"Dixon et al.","2020","1834","1"
"Dixon et al.","2020","1811","1"
"Dixon et al.","2020","1833","1"
"Dixon et al.","2020","1835","1"
"Dixon et al.","2020","1883","1"
"Dixon et al.","2020","1884","1"
"Dixon et al.","2020","1887","1"
"Dixon et al.","2020","1888","1"
"Dixon et al.","2020","1592","1"
"Dixon et al.","2020","1607","1"
"Dixon et al.","2020","1611","1"
"Dixon et al.","2020","1612","1"
"Dixon et al.","2020","1649","1"
"Dixon et al.","2020","1650","1"
"Dixon et al.","2020","1651","1"
"Dixon et al.","2020","1652","1"
"Dixon et al.","2020","1653","1"
"Dixon et al.","2020","1654","1"
"Dixon et al.","2020","1655","1"
"Dixon et al.","2020","1656","1"
"Dixon et al.","2020","1918","1"
"Dixon et al.","2020","1938","1"
"Dixon et al.","2020","1056","1"
"Dixon et al.","2020","1042","1"
"Dixon et al.","2020","1044","1"
"Dixon et al.","2020","1050","1"
"Dixon et al.","2020","1053","1"
"Dixon et al.","2020","1060","1"
"Dixon et al.","2020","1064","1"
"Dixon et al.","2020","1091","1"
"Dixon et al.","2020","1095","1"
"Dixon et al.","2020","1059","1"
"Dixon et al.","2020","1085","1"
"Dixon et al.","2020","1068","1"
"Dixon et al.","2020","1593","1"
"Dixon et al.","2020","1643","1"
"Dixon et al.","2020","1665","1"
"Dixon et al.","2020","2258","1"
"Dixon et al.","2020","2259","1"
"Dixon et al.","2020","1631","1"
"Dixon et al.","2020","1633","1"
"Dixon et al.","2020","1628","1"
"Dixon et al.","2020","1033","1"
"Dixon et al.","2020","1880","1"
"Dixon et al.","2020","1881","1"
"Dixon et al.","2020","1873","1"
"Dixon et al.","2020","1935","1"
"Dixon et al.","2020","2263","1"
"Dixon et al.","2020","2264","1"
"Dixon et al.","2020","1856","1"
"Dixon et al.","2020","1895","1"
"Dixon et al.","2020","1920","1"
"Dixon et al.","2020","1921","1"
"Dixon et al.","2020","1911","1"
"Dixon et al.","2020","1913","1"
"Dixon et al.","2020","1594","1"
"Dixon et al.","2020","1614","1"
"Dixon et al.","2020","1615","1"
"Dixon et al.","2020","1624","1"
"Dixon et al.","2020","1673","1"
"Dixon et al.","2020","1097","1"
"Dixon et al.","2020","1096","1"
"Dixon et al.","2020","1840","1"
"Dixon et al.","2020","1872","1"
"Dixon et al.","2020","970","1"
"Dixon et al.","2020","971","1"
"Dixon et al.","2020","1532","1"
"Dixon et al.","2020","1533","1"
"Dixon et al.","2020","1808","1"
"Dixon et al.","2020","1809","1"
"Dixon et al.","2020","1810","1"
"Dixon et al.","2020","1843","1"
"Dixon et al.","2020","1845","1"
"Dixon et al.","2020","1560","1"
"Dixon et al.","2020","1561","1"
"Dixon et al.","2020","1675","1"
"Dixon et al.","2020","1676","1"
"Dixon et al.","2020","1677","1"
"Dixon et al.","2020","1595","1"
"Dixon et al.","2020","1939","1"
"Dixon et al.","2020","1940","1"
"Dixon et al.","2020","1941","1"
"Dixon et al.","2020","1596","1"
"Dixon et al.","2020","1902","1"
"Dixon et al.","2020","1931","1"
"Dixon et al.","2020","1937","1"
"Dixon et al.","2020","1846","1"
"Dixon et al.","2020","1844","1"
"Dixon et al.","2020","972","1"
"Dixon et al.","2020","1832","1"
"Dixon et al.","2020","1839","1"
"Dixon et al.","2020","1557","1"
"Dixon et al.","2020","1558","1"
"Dixon et al.","2020","1563","1"
"Dixon et al.","2020","977","1"
"Donat et al.","2014","1115","1"
"Donat et al.","2014","1134","1"
"Donatti et al.","2018","831","1"
"Donatti et al.","2018","849","1"
"Donatti et al.","2018","858","1"
"Donatti et al.","2018","855","1"
"Donatti et al.","2018","865","1"
"Donatti et al.","2018","798","1"
"Donatti et al.","2018","810","1"
"Donatti et al.","2018","840","1"
"Donatti et al.","2018","856","1"
"Donoso","2021","762","1"
"Donoso","2021","763","1"
"Donoso","2021","779","1"
"Donoso","2021","780","1"
"Donoso","2021","736","1"
"Donoso","2021","771","1"
"Donoso","2021","786","1"
"Douglas","2006","163","1"
"Douglas","2006","165","1"
"Douglas","2006","1303","1"
"DST","2020","1361","1"
"DST","2020","1298","1"
"DST","2020","1310","1"
"DST","2020","1295","1"
"DST","2020","1286","1"
"DST","2020","1285","1"
"DST","2020","1352","1"
"DST","2020","1322","1"
"DST","2020","1349","1"
"DST","2020","1365","1"
"DST","2020","1321","1"
"DST","2020","1330","1"
"Durrell","2018","968","1"
"Durrell","2018","877","1"
"Durrell","2018","881","1"
"Durrell","2018","882","1"
"Durrell","2018","893","1"
"Durrell","2018","875","1"
"Durrell","2018","885","1"
"Durrell","2018","886","1"
"Durrell","2018","887","1"
"Durrell","2018","889","1"
"Durrell","2018","898","1"
"Durrell","2018","892","1"
"Durrell","2018","888","1"
"Durrell","2018","890","1"
"Durrell","2018","896","1"
"Durrell","2018","894","1"
"Durrell","2018","897","1"
"Dévora-Isiordia et al.","2018","752","1"
"Eash et al.","2019","850","1"
"Eash et al.","2019","851","1"
