"Dependant","Referenced"
"fs_landscapes.csv.Farming system","impact_chain_models.csv.Impact chain model"
"fs_landscapes.csv.Farming system","fs_resources.csv.FS name"
"fs_landscapes.csv.Farming system","fs_livelihood_sources.csv.FS name"
"fs_landscapes.csv.Farming system","fs_factors.csv.FS name"
"fs_landscapes.csv.Farming system","fs_country_assignments.csv.Farming system"
"fs_landscapes.csv.Farming system","farming_systems.csv.Farming system"
"fs_landscapes.csv.Farming system","expert_involvements.csv.FS name"
"fs_landscapes.csv.Farming system","connections.csv.FS name"
"fs_landscapes.csv.Farming system","commodity_resources.csv.FS name"
"fs_landscapes.csv.Farming system","commodities.csv.FS name"
"commodity_soils.csv.Soil type","soils.csv.Soil type"
"fs_landscapes.csv.FS macro region","impact_chain_models.csv.FS macro region"
"fs_landscapes.csv.FS macro region","fs_resources.csv.FS macro region"
"fs_landscapes.csv.FS macro region","fs_livelihood_sources.csv.FS macro region"
"fs_landscapes.csv.FS macro region","fs_factors.csv.FS macro region"
"fs_landscapes.csv.FS macro region","fs_country_assignments.csv.FS macro region"
"fs_landscapes.csv.FS macro region","farming_systems.csv.Macro region"
"fs_landscapes.csv.FS macro region","expert_involvements.csv.FS macro region"
"fs_landscapes.csv.FS macro region","dixon_macro_regions.csv.Label"
"fs_landscapes.csv.FS macro region","connections.csv.FS macro region"
"fs_landscapes.csv.FS macro region","commodity_soils.csv.FS macro region"
"fs_landscapes.csv.FS macro region","commodity_resources.csv.FS macro region"
"fs_landscapes.csv.FS macro region","commodities.csv.FS macro region"
"commodity_soils.csv.Name","commodity_resources.csv.Name"
"commodity_soils.csv.Name","commodity_names.csv.Name"
"commodity_soils.csv.Name","commodities.csv.Name"
"commodity_resources.csv.Livelihood source","livelihood_sources.csv.Dominant livelihood source"
"commodity_resources.csv.Livelihood source","fs_livelihood_sources.csv.Dominant livelihood source"
"commodity_resources.csv.Livelihood source","commodities.csv.Livelihood source"
"fs_factors.csv.FS name","impact_chain_models.csv.Impact chain model"
"fs_factors.csv.FS name","fs_resources.csv.FS name"
"fs_factors.csv.FS name","fs_livelihood_sources.csv.FS name"
"fs_factors.csv.FS name","fs_country_assignments.csv.Farming system"
"fs_factors.csv.FS name","farming_systems.csv.Farming system"
"fs_factors.csv.FS name","expert_involvements.csv.FS name"
"fs_factors.csv.FS name","connections.csv.FS name"
"fs_factors.csv.FS name","commodity_resources.csv.FS name"
"fs_factors.csv.FS name","commodities.csv.FS name"
"icm_resources.csv.FS name","impact_chain_models.csv.Impact chain model"
"icm_resources.csv.FS name","fs_resources.csv.FS name"
"icm_resources.csv.FS name","fs_names.csv.Farming system"
"icm_resources.csv.FS name","fs_livelihood_sources.csv.FS name"
"icm_resources.csv.FS name","fs_landscapes.csv.Farming system"
"icm_resources.csv.FS name","fs_factors.csv.FS name"
"icm_resources.csv.FS name","fs_country_assignments.csv.Farming system"
"icm_resources.csv.FS name","farming_systems.csv.Farming system"
"icm_resources.csv.FS name","expert_involvements.csv.FS name"
"icm_resources.csv.FS name","connections.csv.FS name"
"icm_resources.csv.FS name","commodity_soils.csv.FS name"
"icm_resources.csv.FS name","commodity_resources.csv.FS name"
"icm_resources.csv.FS name","commodities.csv.FS name"
"icm_resources.csv.FS macro region","impact_chain_models.csv.FS macro region"
"icm_resources.csv.FS macro region","fs_resources.csv.FS macro region"
"icm_resources.csv.FS macro region","fs_livelihood_sources.csv.FS macro region"
"icm_resources.csv.FS macro region","fs_landscapes.csv.FS macro region"
"icm_resources.csv.FS macro region","fs_factors.csv.FS macro region"
"icm_resources.csv.FS macro region","fs_country_assignments.csv.FS macro region"
"icm_resources.csv.FS macro region","farming_systems.csv.Macro region"
"icm_resources.csv.FS macro region","expert_involvements.csv.FS macro region"
"icm_resources.csv.FS macro region","dixon_macro_regions.csv.Label"
"icm_resources.csv.FS macro region","connections.csv.FS macro region"
"icm_resources.csv.FS macro region","commodity_soils.csv.FS macro region"
"icm_resources.csv.FS macro region","commodity_resources.csv.FS macro region"
"icm_resources.csv.FS macro region","commodities.csv.FS macro region"
"commodities.csv.Max THI","fs_factors.csv.ID"
"commodities.csv.Max THI","connections.csv.ID"
"commodities.csv.Max THI","connection_tags.csv.ID"
"commodities.csv.Max THI","connection_resources.csv.ID"
"icm_resources.csv.Resource year","resources.csv.Year"
"icm_resources.csv.Resource year","fs_resources.csv.Resource year"
"icm_resources.csv.Resource year","fs_factor_resources.csv.Year"
"icm_resources.csv.Resource year","connections.csv.ID"
"icm_resources.csv.Resource year","connection_tags.csv.ID"
"icm_resources.csv.Resource year","connection_resources.csv.ID"
"icm_resources.csv.Resource year","connection_resources.csv.Year"
"icm_resources.csv.Resource year","commodity_resources.csv.Resource year"
"fs_livelihood_sources.csv.Dominant livelihood source","livelihood_sources.csv.Dominant livelihood source"
"fs_resources.csv.FS name","impact_chain_models.csv.Impact chain model"
"fs_resources.csv.FS name","fs_livelihood_sources.csv.FS name"
"fs_resources.csv.FS name","fs_factors.csv.FS name"
"fs_resources.csv.FS name","fs_country_assignments.csv.Farming system"
"fs_resources.csv.FS name","farming_systems.csv.Farming system"
"fs_resources.csv.FS name","expert_involvements.csv.FS name"
"fs_resources.csv.FS name","connections.csv.FS name"
"fs_resources.csv.FS name","commodity_resources.csv.FS name"
"fs_resources.csv.FS name","commodities.csv.FS name"
"impact_chain_models.csv.FS macro region","fs_resources.csv.FS macro region"
"impact_chain_models.csv.FS macro region","fs_livelihood_sources.csv.FS macro region"
"impact_chain_models.csv.FS macro region","fs_landscapes.csv.FS macro region"
"impact_chain_models.csv.FS macro region","fs_factors.csv.FS macro region"
"impact_chain_models.csv.FS macro region","fs_country_assignments.csv.FS macro region"
"impact_chain_models.csv.FS macro region","farming_systems.csv.Macro region"
"impact_chain_models.csv.FS macro region","expert_involvements.csv.FS macro region"
"impact_chain_models.csv.FS macro region","dixon_macro_regions.csv.Label"
"impact_chain_models.csv.FS macro region","connections.csv.FS macro region"
"impact_chain_models.csv.FS macro region","commodity_soils.csv.FS macro region"
"impact_chain_models.csv.FS macro region","commodity_resources.csv.FS macro region"
"impact_chain_models.csv.FS macro region","commodities.csv.FS macro region"
"commodity_resources.csv.Resource ID","resources.csv.Citation"
"fs_resources.csv.FS macro region","impact_chain_models.csv.FS macro region"
"fs_resources.csv.FS macro region","fs_livelihood_sources.csv.FS macro region"
"fs_resources.csv.FS macro region","fs_landscapes.csv.FS macro region"
"fs_resources.csv.FS macro region","fs_factors.csv.FS macro region"
"fs_resources.csv.FS macro region","fs_country_assignments.csv.FS macro region"
"fs_resources.csv.FS macro region","farming_systems.csv.Macro region"
"fs_resources.csv.FS macro region","expert_involvements.csv.FS macro region"
"fs_resources.csv.FS macro region","dixon_macro_regions.csv.Label"
"fs_resources.csv.FS macro region","connections.csv.FS macro region"
"fs_resources.csv.FS macro region","commodity_soils.csv.FS macro region"
"fs_resources.csv.FS macro region","commodity_resources.csv.FS macro region"
"fs_resources.csv.FS macro region","commodities.csv.FS macro region"
"commodity_soils.csv.Livelihood source","livelihood_sources.csv.Dominant livelihood source"
"commodity_soils.csv.Livelihood source","fs_livelihood_sources.csv.Dominant livelihood source"
"commodity_soils.csv.Livelihood source","commodity_resources.csv.Livelihood source"
"commodity_soils.csv.Livelihood source","commodities.csv.Livelihood source"
"fs_factors.csv.Factor","factors.csv.Label"
"M49_Sub-regions.csv.Sub-region Code","M49_Countries.csv.Sub-region Code"
"M49_Sub-regions.csv.Sub-region Code","fs_factors.csv.ID"
"M49_Sub-regions.csv.Sub-region Code","connections.csv.ID"
"M49_Sub-regions.csv.Sub-region Code","connection_tags.csv.ID"
"dixon_macro_regions.csv.Label","impact_chain_models.csv.FS macro region"
"dixon_macro_regions.csv.Label","fs_resources.csv.FS macro region"
"dixon_macro_regions.csv.Label","fs_livelihood_sources.csv.FS macro region"
"dixon_macro_regions.csv.Label","fs_landscapes.csv.FS macro region"
"dixon_macro_regions.csv.Label","fs_factors.csv.FS macro region"
"dixon_macro_regions.csv.Label","fs_country_assignments.csv.FS macro region"
"dixon_macro_regions.csv.Label","farming_systems.csv.Macro region"
"dixon_macro_regions.csv.Label","expert_involvements.csv.FS macro region"
"dixon_macro_regions.csv.Label","connections.csv.FS macro region"
"dixon_macro_regions.csv.Label","commodity_soils.csv.FS macro region"
"dixon_macro_regions.csv.Label","commodity_resources.csv.FS macro region"
"dixon_macro_regions.csv.Label","commodities.csv.FS macro region"
"commodity_soils.csv.FS name","impact_chain_models.csv.Impact chain model"
"commodity_soils.csv.FS name","fs_resources.csv.FS name"
"commodity_soils.csv.FS name","fs_livelihood_sources.csv.FS name"
"commodity_soils.csv.FS name","fs_factors.csv.FS name"
"commodity_soils.csv.FS name","fs_country_assignments.csv.Farming system"
"commodity_soils.csv.FS name","farming_systems.csv.Farming system"
"commodity_soils.csv.FS name","expert_involvements.csv.FS name"
"commodity_soils.csv.FS name","connections.csv.FS name"
"commodity_soils.csv.FS name","commodity_resources.csv.FS name"
"commodity_soils.csv.FS name","commodities.csv.FS name"
"M49_Intermediate_Regions.csv.Sub-region Code","M49_Sub-regions.csv.Sub-region Code"
"M49_Intermediate_Regions.csv.Sub-region Code","M49_Countries.csv.Sub-region Code"
"M49_Intermediate_Regions.csv.Sub-region Code","fs_factors.csv.ID"
"M49_Intermediate_Regions.csv.Sub-region Code","connections.csv.ID"
"M49_Intermediate_Regions.csv.Sub-region Code","connection_tags.csv.ID"
"connection_tags.csv.Tags","tags.csv.Tags"
"fs_factor_resources.csv.Citation","resources.csv.Citation"
"M49_Countries.csv.M49 Code","fs_factors.csv.ID"
"M49_Countries.csv.M49 Code","connections.csv.ID"
"fs_factor_resources.csv.Number","resources.csv.Number"
"fs_factor_resources.csv.Number","fs_factors.csv.ID"
"fs_factor_resources.csv.Number","fs_factor_type-2_assignments.csv.ID"
"fs_factor_resources.csv.Number","fs_factor_resources.csv.ID"
"fs_factor_resources.csv.Number","connections.csv.ID"
"fs_factor_resources.csv.Number","connection_tags.csv.ID"
"fs_factor_resources.csv.Number","connection_resources.csv.Number"
"farming_systems.csv.Farming system","impact_chain_models.csv.Impact chain model"
"farming_systems.csv.Farming system","fs_resources.csv.FS name"
"farming_systems.csv.Farming system","fs_livelihood_sources.csv.FS name"
"farming_systems.csv.Farming system","fs_factors.csv.FS name"
"farming_systems.csv.Farming system","fs_country_assignments.csv.Farming system"
"farming_systems.csv.Farming system","expert_involvements.csv.FS name"
"farming_systems.csv.Farming system","connections.csv.FS name"
"farming_systems.csv.Farming system","commodity_resources.csv.FS name"
"farming_systems.csv.Farming system","commodities.csv.FS name"
"resources.csv.Number","fs_factors.csv.ID"
"resources.csv.Number","fs_factor_type-2_assignments.csv.ID"
"resources.csv.Number","fs_factor_resources.csv.ID"
"resources.csv.Number","fs_factor_resources.csv.Number"
"resources.csv.Number","connections.csv.ID"
"resources.csv.Number","connection_tags.csv.ID"
"resources.csv.Number","connection_resources.csv.Number"
"expert_involvements.csv.FS macro region","impact_chain_models.csv.FS macro region"
"expert_involvements.csv.FS macro region","fs_resources.csv.FS macro region"
"expert_involvements.csv.FS macro region","fs_livelihood_sources.csv.FS macro region"
"expert_involvements.csv.FS macro region","fs_landscapes.csv.FS macro region"
"expert_involvements.csv.FS macro region","fs_factors.csv.FS macro region"
"expert_involvements.csv.FS macro region","fs_country_assignments.csv.FS macro region"
"expert_involvements.csv.FS macro region","farming_systems.csv.Macro region"
"expert_involvements.csv.FS macro region","dixon_macro_regions.csv.Label"
"expert_involvements.csv.FS macro region","connections.csv.FS macro region"
"expert_involvements.csv.FS macro region","commodity_soils.csv.FS macro region"
"expert_involvements.csv.FS macro region","commodity_resources.csv.FS macro region"
"expert_involvements.csv.FS macro region","commodities.csv.FS macro region"
"expert_involvements.csv.Expert ID","resources.csv.Number"
"expert_involvements.csv.Expert ID","fs_factors.csv.ID"
"expert_involvements.csv.Expert ID","fs_factor_type-2_assignments.csv.ID"
"expert_involvements.csv.Expert ID","fs_factor_resources.csv.ID"
"expert_involvements.csv.Expert ID","fs_factor_resources.csv.Number"
"expert_involvements.csv.Expert ID","experts.csv.ID"
"expert_involvements.csv.Expert ID","connections.csv.ID"
"expert_involvements.csv.Expert ID","connection_tags.csv.ID"
"expert_involvements.csv.Expert ID","connection_resources.csv.Number"
"experts.csv.Organisation","organisations.csv.Organisation"
"connection_resources.csv.Year","resources.csv.Year"
"connection_resources.csv.Year","connections.csv.ID"
"connection_resources.csv.Year","connection_tags.csv.ID"
"connection_resources.csv.Year","connection_resources.csv.ID"
"expert_involvements.csv.Domain","domains.csv.Domain"
"fs_factor_type-2_assignments.csv.Type2","tags.csv.Tags"
"connection_resources.csv.Number","resources.csv.Number"
"connection_resources.csv.Number","fs_factors.csv.ID"
"connection_resources.csv.Number","fs_factor_type-2_assignments.csv.ID"
"connection_resources.csv.Number","fs_factor_resources.csv.ID"
"connection_resources.csv.Number","fs_factor_resources.csv.Number"
"connection_resources.csv.Number","connections.csv.ID"
"connection_resources.csv.Number","connection_tags.csv.ID"
"fs_factor_type-2_assignments.csv.ID","fs_factors.csv.ID"
"fs_factor_tags.csv.ID","fs_factors.csv.ID"
"livelihood_sources.csv.Dominant livelihood source","fs_livelihood_sources.csv.Dominant livelihood source"
"M49_Countries.csv.Intermediate Region Code","M49_Intermediate_Regions.csv.Intermediate Region Code"
"M49_Countries.csv.Intermediate Region Code","fs_factors.csv.ID"
"M49_Countries.csv.Intermediate Region Code","fs_factor_type-2_assignments.csv.ID"
"M49_Countries.csv.Intermediate Region Code","fs_factor_tags.csv.ID"
"M49_Countries.csv.Intermediate Region Code","connections.csv.ID"
"M49_Countries.csv.Intermediate Region Code","connection_tags.csv.ID"
"M49_Countries.csv.Intermediate Region Code","connection_resources.csv.ID"
"connection_resources.csv.Citation","resources.csv.Citation"
"fs_factor_tags.csv.Tags","tags.csv.Tags"
"fs_resources.csv.Resource ID","resources.csv.Citation"
"connection_link_types.csv.Link type","connections.csv.Link type"
"commodity_resources.csv.Resource number","resources.csv.Number"
"commodity_resources.csv.Resource number","fs_factors.csv.ID"
"commodity_resources.csv.Resource number","fs_factor_type-2_assignments.csv.ID"
"commodity_resources.csv.Resource number","fs_factor_resources.csv.ID"
"commodity_resources.csv.Resource number","fs_factor_resources.csv.Number"
"commodity_resources.csv.Resource number","experts.csv.ID"
"commodity_resources.csv.Resource number","expert_involvements.csv.Expert ID"
"commodity_resources.csv.Resource number","connections.csv.ID"
"commodity_resources.csv.Resource number","connection_tags.csv.ID"
"commodity_resources.csv.Resource number","connection_resources.csv.Number"
"fs_factors.csv.Type-1","type-1_labels.csv.Type-1 label"
"commodities.csv.Name","commodity_names.csv.Name"
"commodities.csv.Livelihood source","livelihood_sources.csv.Dominant livelihood source"
"commodities.csv.Livelihood source","fs_livelihood_sources.csv.Dominant livelihood source"
"commodities.csv.FS macro region","impact_chain_models.csv.FS macro region"
"commodities.csv.FS macro region","fs_resources.csv.FS macro region"
"commodities.csv.FS macro region","fs_livelihood_sources.csv.FS macro region"
"commodities.csv.FS macro region","fs_landscapes.csv.FS macro region"
"commodities.csv.FS macro region","fs_factors.csv.FS macro region"
"commodities.csv.FS macro region","fs_country_assignments.csv.FS macro region"
"commodities.csv.FS macro region","farming_systems.csv.Macro region"
"commodities.csv.FS macro region","expert_involvements.csv.FS macro region"
"commodities.csv.FS macro region","dixon_macro_regions.csv.Label"
"commodities.csv.FS macro region","connections.csv.FS macro region"
"commodities.csv.FS macro region","commodity_soils.csv.FS macro region"
"commodities.csv.FS macro region","commodity_resources.csv.FS macro region"
"fs_resources.csv.Field","fs_resource_fields.csv.Resource field"
"commodity_resources.csv.Resource year","resources.csv.Year"
"commodity_resources.csv.Resource year","connections.csv.ID"
"commodity_resources.csv.Resource year","connection_tags.csv.ID"
"commodity_resources.csv.Resource year","connection_resources.csv.ID"
"commodity_names.csv.Name","commodities.csv.Name"
"fs_livelihood_sources.csv.FS macro region","impact_chain_models.csv.FS macro region"
"fs_livelihood_sources.csv.FS macro region","fs_resources.csv.FS macro region"
"fs_livelihood_sources.csv.FS macro region","fs_landscapes.csv.FS macro region"
"fs_livelihood_sources.csv.FS macro region","fs_factors.csv.FS macro region"
"fs_livelihood_sources.csv.FS macro region","fs_country_assignments.csv.FS macro region"
"fs_livelihood_sources.csv.FS macro region","farming_systems.csv.Macro region"
"fs_livelihood_sources.csv.FS macro region","expert_involvements.csv.FS macro region"
"fs_livelihood_sources.csv.FS macro region","dixon_macro_regions.csv.Label"
"fs_livelihood_sources.csv.FS macro region","connections.csv.FS macro region"
"fs_livelihood_sources.csv.FS macro region","commodity_soils.csv.FS macro region"
"fs_livelihood_sources.csv.FS macro region","commodity_resources.csv.FS macro region"
"fs_livelihood_sources.csv.FS macro region","commodities.csv.FS macro region"
"fs_livelihood_sources.csv.FS name","impact_chain_models.csv.Impact chain model"
"fs_livelihood_sources.csv.FS name","fs_resources.csv.FS name"
"fs_livelihood_sources.csv.FS name","fs_factors.csv.FS name"
"fs_livelihood_sources.csv.FS name","fs_country_assignments.csv.Farming system"
"fs_livelihood_sources.csv.FS name","farming_systems.csv.Farming system"
"fs_livelihood_sources.csv.FS name","expert_involvements.csv.FS name"
"fs_livelihood_sources.csv.FS name","connections.csv.FS name"
"fs_livelihood_sources.csv.FS name","commodity_resources.csv.FS name"
"fs_livelihood_sources.csv.FS name","commodities.csv.FS name"
"fs_resource_fields.csv.Resource field","fs_resources.csv.Field"
"fs_resources.csv.Resource number","resources.csv.Number"
"fs_resources.csv.Resource number","fs_factors.csv.ID"
"fs_resources.csv.Resource number","fs_factor_type-2_assignments.csv.ID"
"fs_resources.csv.Resource number","fs_factor_resources.csv.ID"
"fs_resources.csv.Resource number","fs_factor_resources.csv.Number"
"fs_resources.csv.Resource number","experts.csv.ID"
"fs_resources.csv.Resource number","expert_involvements.csv.Expert ID"
"fs_resources.csv.Resource number","connections.csv.ID"
"fs_resources.csv.Resource number","connection_tags.csv.ID"
"fs_resources.csv.Resource number","connection_resources.csv.Number"
"fs_resources.csv.Resource year","resources.csv.Year"
"fs_resources.csv.Resource year","fs_factor_resources.csv.Year"
"fs_resources.csv.Resource year","connections.csv.ID"
"fs_resources.csv.Resource year","connection_tags.csv.ID"
"fs_resources.csv.Resource year","connection_resources.csv.ID"
"fs_resources.csv.Resource year","connection_resources.csv.Year"
"fs_resources.csv.Resource year","commodity_resources.csv.Resource year"
"commodities.csv.FS name","impact_chain_models.csv.Impact chain model"
"commodities.csv.FS name","fs_resources.csv.FS name"
"commodities.csv.FS name","fs_livelihood_sources.csv.FS name"
"commodities.csv.FS name","fs_factors.csv.FS name"
"commodities.csv.FS name","fs_country_assignments.csv.Farming system"
"commodities.csv.FS name","farming_systems.csv.Farming system"
"commodities.csv.FS name","expert_involvements.csv.FS name"
"commodities.csv.FS name","connections.csv.FS name"
"commodities.csv.FS name","commodity_resources.csv.FS name"
"connection_tags.csv.ID","connections.csv.ID"
"commodities.csv.NCBITaxonID","taxonomies.csv.NCBITaxonID"
"commodity_soils.csv.FS macro region","impact_chain_models.csv.FS macro region"
"commodity_soils.csv.FS macro region","fs_resources.csv.FS macro region"
"commodity_soils.csv.FS macro region","fs_livelihood_sources.csv.FS macro region"
"commodity_soils.csv.FS macro region","fs_landscapes.csv.FS macro region"
"commodity_soils.csv.FS macro region","fs_factors.csv.FS macro region"
"commodity_soils.csv.FS macro region","fs_country_assignments.csv.FS macro region"
"commodity_soils.csv.FS macro region","farming_systems.csv.Macro region"
"commodity_soils.csv.FS macro region","expert_involvements.csv.FS macro region"
"commodity_soils.csv.FS macro region","dixon_macro_regions.csv.Label"
"commodity_soils.csv.FS macro region","connections.csv.FS macro region"
"commodity_soils.csv.FS macro region","commodity_resources.csv.FS macro region"
"commodity_soils.csv.FS macro region","commodities.csv.FS macro region"
"commodity_resources.csv.Name","commodity_names.csv.Name"
"commodity_resources.csv.Name","commodities.csv.Name"
"organisations.csv.Organisation","experts.csv.Organisation"
"fs_factors.csv.FS macro region","impact_chain_models.csv.FS macro region"
"fs_factors.csv.FS macro region","fs_resources.csv.FS macro region"
"fs_factors.csv.FS macro region","fs_livelihood_sources.csv.FS macro region"
"fs_factors.csv.FS macro region","fs_landscapes.csv.FS macro region"
"fs_factors.csv.FS macro region","fs_country_assignments.csv.FS macro region"
"fs_factors.csv.FS macro region","farming_systems.csv.Macro region"
"fs_factors.csv.FS macro region","expert_involvements.csv.FS macro region"
"fs_factors.csv.FS macro region","dixon_macro_regions.csv.Label"
"fs_factors.csv.FS macro region","connections.csv.FS macro region"
"fs_factors.csv.FS macro region","commodity_soils.csv.FS macro region"
"fs_factors.csv.FS macro region","commodity_resources.csv.FS macro region"
"fs_factors.csv.FS macro region","commodities.csv.FS macro region"
"farming_systems.csv.Macro region","impact_chain_models.csv.FS macro region"
"farming_systems.csv.Macro region","fs_resources.csv.FS macro region"
"farming_systems.csv.Macro region","fs_livelihood_sources.csv.FS macro region"
"farming_systems.csv.Macro region","fs_landscapes.csv.FS macro region"
"farming_systems.csv.Macro region","fs_factors.csv.FS macro region"
"farming_systems.csv.Macro region","fs_country_assignments.csv.FS macro region"
"farming_systems.csv.Macro region","expert_involvements.csv.FS macro region"
"farming_systems.csv.Macro region","dixon_macro_regions.csv.Label"
"farming_systems.csv.Macro region","connections.csv.FS macro region"
"farming_systems.csv.Macro region","commodity_soils.csv.FS macro region"
"farming_systems.csv.Macro region","commodity_resources.csv.FS macro region"
"farming_systems.csv.Macro region","commodities.csv.FS macro region"
"fs_factor_resources.csv.ID","fs_factors.csv.ID"
"impact_chain_models.csv.Impact chain model","fs_resources.csv.FS name"
"impact_chain_models.csv.Impact chain model","fs_livelihood_sources.csv.FS name"
"impact_chain_models.csv.Impact chain model","fs_factors.csv.FS name"
"impact_chain_models.csv.Impact chain model","fs_country_assignments.csv.Farming system"
"impact_chain_models.csv.Impact chain model","farming_systems.csv.Farming system"
"impact_chain_models.csv.Impact chain model","expert_involvements.csv.FS name"
"impact_chain_models.csv.Impact chain model","connections.csv.FS name"
"impact_chain_models.csv.Impact chain model","commodity_resources.csv.FS name"
"impact_chain_models.csv.Impact chain model","commodities.csv.FS name"
"connection_resources.csv.ID","connections.csv.ID"
"M49_Countries.csv.Sub-region Code","M49_Sub-regions.csv.Sub-region Code"
"M49_Countries.csv.Sub-region Code","fs_factors.csv.ID"
"M49_Countries.csv.Sub-region Code","connections.csv.ID"
"M49_Countries.csv.Sub-region Code","connection_tags.csv.ID"
"fs_factor_resources.csv.Year","resources.csv.Year"
