"From","Link type","To","Description","Bibliographic resources","Tags","Type","Connection"
"Rising sea levels","Leads to","Increase in food insecurity","A predicted sea-level rise of 30 cm by the year 2050 is expected to accelerate salinity intrusion.A rise in the sea level of only 30 cm could see the loss of nearly 200,000 hectares of rice cultivation.nd planted with rice were affected by salinity intrusion and drought at the reproductive stage. Yields were reduced by 50-100%, or total loss.","(OXFAM, 2016),(CCAFS,2016),(Akam & Gruere, 2018)(Yen et al., 2019)","Maritime related","EAP_Lowland_Rice",
"Increase in drought events","Leads to","Increase in food insecurity","The Lower Mekong River basin (LMB) has experienced droughts in recent decades, causing detrimental economic losses and food security conundrums.","H Kang  et al.,2021","Temperature-related; rainfall related;Socio-economic"," ",
"Increase in drought events","Leads to","Dependence on food aid","Vietnam recorded an extreme drought event in 2019 in 5 of 13 provinces in the Mekong Delta, and an emergency was declared. New Zealand Embassy announced humanitarian aid, totalling US$50,000, to communities in Ben Tre Province affected by drought and saltwater intrusion.","(CCAFS,2016); (OXFAM, 2016); (Dinh, T., & Dang, T, 2022) ","Temperature related and rainfall related","EAP_Lowland_Rice",
"Water scarcity","Leads to","Reduced crop productivity/failure","Rice production is increasingly constrained by water scarcity during drought events. Water scarcity is a contributing barrier to adoption of technology in the lowland system","(Thuy Le Toan, et al, 2021); (Akam & Gruere, 2018); (Yen et al., 2019);(Nguyen et al., 2017);(CCAFS 2016)","Biophysical","EAP_Lowland_Rice",
"Soil salinisation","Leads to","Reduced crop productivity/failure"," The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050. Acid sulfate soils are forming as salty crusts on the soil surface in some
areas, because of high salinity levels of the water causing unfavourable condition for rice production.","(Nguyen et al., 2017); (Thuy Le Toan, et al, 2021); (Yen et al., 2019); (Smajgl et al , 2015)","Biophysical","EAP_Lowland_Rice",
"Saline intrusion","Leads to","Reduced crop productivity/failure","It was shown that seawater intrusion was the major factor leading to regional differences in rice cropping systems and land use patterns. In the Mekong Delta region, the worst saline intrusion occurs in rice production due to failed monsoons, and climate change leading to reduced yields."," Kotera, Akihiko et al., 2008","Biophysical"," ",
"Land degradation","Leads to","Sediment starvation","Soil erosion due to land degradation has led to high levels of sediments starvations in the coastal zones of of Asia.","EU, 2006","Biophysical"," ",
"Water scarcity","Leads to","Increase in food insecurity"," Low yields due to rain-fed lowlands experiencing drought is a common problem throughout Asia, with an estimated 45% of the total rice area, leading to food insecurity.","Haefele, Stephan and  Bouman, Bas, 2009","Biophysical"," ",
"Reduced crop productivity/failure","Leads to","Increase in food insecurity","Low rice yields due to rain-fed lowlands have led to increased food insecurity, Considering that rice production plays an important role in food security in East and Southeast Asia, based on historical data.","Hen-I Lin et al., 2022","Biophysical; Socio-economic"," ",
"Soil salinisation","Leads to","Increase in food insecurity","In rice fields, soil salinity is often caused by inappropriate irrigation, mainly when saline water is directly used for irrigation, causing poor yields and hence food insecurity.","P Schneider et al.,2020","Biophysical; Socio-economic"," ",
"Saline intrusion","Leads to","Increase in food insecurity","One particular severe salinity intrusion in 2016 affected 270,000 hectares of rice, leading to increased food insecurity."," Kotera, Akihiko et al., 2008","Biophysical; Socio-economic"," ",
"Land degradation","Leads to","Increase in food insecurity","Soil erosion due to land degradation has led to high levels of sediments starvations in the coastal zones of of Asia which causes poor yields and hence food insecurity.","EU, 2006","Biophysical; Socio-economic"," ",
"Reduced crop productivity/failure","Leads to","Increase in food imports","Rice land is shrinking owing to industrialization, urbanization, crop diversification and other economic factors, leading to increase in imports.","Kotera, Akihiko et al., 2008","Biophysical; Socio-economic"," ",
"Coastal inundation","Leads to","Increased flooding
","In South and Southeast Asia, where the majority of the world's rice farmers live, flooding is a major limitation on yield caused by inundation.","Thuy Le Toan, et al, 2021)","Biophysical; Socio-economic"," ",
"Elevation loss","Leads to","Damage to infrastructure","According to the IPCC's simulations, Asia, for example, is expected to experience damage to urban infrastructure due to flooding caused by elevation loss.","T Sekiyama et al., 2022","Biophysical; Socio-economic"," ",
"Coastal inundation","Leads to","Damage to infrastructure","The area's coastal regions are also susceptible to inundation associated with sea level rise and destruction of infrastructure from flooding and storm surges.","NIC, 2009","Biophysical; Socio-economic"," ",
"Elevation loss","Leads to","Increased flooding
","Elevation loss increases the vulnerability to flooding and storm surges, and ultimately threatens the Delta with permanent inundation. Without adaptation, land that will be below sea level may be permanently inundated and no longer suitable for agriculture."," (Thuy Le Toan, et al, 2021)","Biophysical","EAP_Lowland_Rice",
"Major component of local diet","Leads to","Dependence on food aid","The emergence of severe droughts in the Mekong Delta has resulted in huge crop failures, with 90% of sowed fields perishing in the drought-impacted regions.This devastating drought damaged up to 30% of 29,900 ha rice in2019","(OXFAM, 2016)","Socialeconomic ","EAP_Lowland_Rice",
"Unsustainable land management practices","Leads to","Land degradation"," Continuous rice cultivation, using unbalanced mineral fertilisers and only low inputs of organic manure, is in some situations seriously deteriorating the physical and chemical properties of the soil with adverse consequences on crop yields. ","(Dixon et al., 2001)","Governance, research and development","EAP_Lowland_Rice",
"Limited uptake of modern technologies","Leads to","Reduced produce quality","On-farm deterioration in the quality of rice for sale, due to poor post-harvest management practices and inadequate storage conditions, is very significant in many areas and leads to reduced revenues from crop sales. ","(Dixon et al., 2001)","Infrastructure, human capacity","EAP_Lowland_Rice",
"Major component of local diet","Leads to","Increase in food insecurity","Rice is the major staple food of Asia, and an important source of employment, however its vulnerable to climatical conditions leading to increased food insecurity.","HI Lin et al., 2022 ","Socialeconomic "," ",
"Unsustainable land management practices","Leads to","Reduced crop productivity/failure","Unsustainable land management practices in rice leads to reduced yields. ","N Kumar et al., 2021","Biophysical; Socio-economic"," ",
"Limited uptake of modern technologies","Leads to","Increase in food spoilage/wastage","Limited uptake of modern rice technologies leads to increase rice waste.For example, the PATBO SUPER is a special rice cultivation technology package for rainfed rice fields based on water management.","S Yuan et al., 2022","Technology;human capacity; Socio-economic"," ",
"Dependence on groundwater","Leads to","Reduced groundwater tables","Overdependence of ground water tables results in falling groundwater tables, deteriorating water quality, environmental degradation, rising pumping costs, and lower crop yields.","CGIAR, 2020","Infrastructure; Socio-economic"," ",
"Dependence on groundwater","Leads to","Saline intrusion","The main threats for rice cultivation in the Deltas are relative sea level rise and increased saline intrusions, and that both phenomena arise mainly from groundwater pumping and sand mining.","(Yen et al., 2019); (Thuy Le Toan, et al, 2021)","Infrastructure","EAP_Lowland_Rice",
"Inadequate climate information services","Leads to","Crop stress/damage/mortality","Information on lternative planting practices is lacking and farmers are only eligible for subsidies if they plant rice. Therefore, many farmers planted rice even though they know that it was risky. Hence, the competition for scarce water increased and resources, like seeds and fertilizer, were wasted.","(CCAFS, 2016)","Research and development, technology","EAP_Lowland_Rice",
"Low access to markets","Leads to","Increase in food spoilage/wastage","Poor infrastructure causes delays leading to increase in food damage.","(CCAFS,2016)","Market, finance","EAP_Lowland_Rice",
"Large contributor to national/regional GDP","Leads to","Increase in food prices","The Mekong River Delta (MRD) is the rice basket of Vietnam producing 56% of the total domestic rice production and accounting for 90% of Vietnam’s rice export. However, since it's vulnerable to climatical conditions, it can lead to increased food prices.. ","(Yen et al., 2019)","Economic, finance and markets","EAP_Lowland_Rice",
"Low access to markets","Leads to","Delays in transportation","Poor infrastructure causes delays, and delays at borders are another major concern.","(CCAFS,2016)","Market, finance","EAP_Lowland_Rice",
"Large contributor to national/regional GDP","Leads to","Increase in food imports","Since the Mekong River Delta (MRD) is the rice basket of Vietnam producing 56% of the total domestic rice production and accounting for 90% of Vietnam’s rice export, decline in its production can lead to increase in food imports.","(Yen et al., 2019)","Economic, finance and markets","EAP_Lowland_Rice",
" ","Leads to"," "," "," "," ","EAP_Lowland_Rice",
"Water scarce area","Leads to","Reduced crop productivity/failure","Water scarcity in many eregions has resulted to  ground water pumping for irrigation","(CCAFS,2016);(Nguyen et al., 2017); (Akam & Gruere, 2018); (Yen et al., 2019)","Sensitivity/
susceptibility to harm ","EAP_Lowland_Rice",
"Water scarce area","Leads to","Reduced groundwater tables","Elicited by the El Niño, the drought has resulted in effects, such as reduced agricultural production, which limit the livelihoods and aggravates food insecurity in poor and vulnerable communities.These water risks are not only the result of climate change but involve a range of factors, including farming itself, that cause water shortages, floods and degradation of water quality, extensive dam-building and ground water pumping.","(CCAFS,2016); (OXFAM, 2016); (Akam & Gruere, 2018); (Yen et al., 2019)","Sensitivity/
susceptibility to harm ","EAP_Lowland_Rice",
"Unfavourable soil conditions","Leads to","Reduced crop productivity/failure","The adoption of intensive methods of crop production, based on high levels of inorganic fertilisers and pesticides, has in many cases lowered the quality of soil and water resources. Continuous rice cultivation, using unbalanced mineral fertilisers and only low inputs of organic manure, is in some situations seriously deteriorating the physical and chemical properties of the soil with adverse consequences on crop yields.","(Dixon et al., 2001)","Sensitivity/
susceptibility to harm ","EAP_Lowland_Rice",
"Fragmented landscapes","Leads to","Increase in food insecurity","If land fragmentation is not reversed, an increasing proportion of farmers will be unable to rely on agriculture to ensure adequate food security and income levels thus leading to reduced on-farm employemnt migration to urban areas. ","(Dixon et al., 2001)","Sensitivity/
susceptibility to harm ","EAP_Lowland_Rice",
"Lack of access to improved crop varieties","Leads to","Reduced crop productivity/failure","High-yielding varieties are used in all countries, but some still have significant areas of lower yielding, traditional varieties because of their perceived higher grain quality and acceptability. ","(CCAFS,2016); (Nguyen et al., 2017);(Dixon et al., 2001)","Capacity building, technology","EAP_Lowland_Rice",
"Barrier to natural flows due to  infrastructure ","Leads to","Sediment starvation","Water holding strategy of upstream provinces may lead towater shortages in downstream regions. The water discharge in upstream of Mekong river declined by 900m3/s. Meanwhile, water levels in middle and downstream of Mekong River increased by 0.1 – 1.5m due to tidal rise. Salinity intrusion led to increased salinity of water in rivers and irrigation canals.","(CCFAS, 2016); (Yen et al., 2019)","Infrastructure","EAP_Lowland_Rice",
"Lack of irrigation infrastructure ","Leads to","Reduced crop productivity/failure","There is limited scope for further expansion of irrigation systems. Only a few countries are in the fortunate position of under-exploiting their water resources. In some areas, serious shortages of irrigation water occur in the dry season. However, water use efficiencies are often low.","(CCAFS,2016); (Nguyen et al., 2017); (Chapman & Darby, 2016);(Dixon et al., 2001)","Human capacity, infrastructure, technology","EAP_Lowland_Rice",
"Lack of irrigation infrastructure ","Leads to","Increase in food insecurity","Rice is the major staple food of Asia, and an important source of food security , however, without irrigation its vulnerable to climate change conditions.","P Schneider et al.,2020","Infrastructure; Socio-economic"," ",
"Poor efficiency of farming","Leads to","Reduced crop productivity/failure","Poor farming efficiency is a breeding ground for Weeds which reduce rice yield by competing for space, nutrients, light, and water, and by serving as hosts for pests and diseases.","M.K. Papademetriou","Fram level; Biophysical"," ",
"Lack of access to improved crop varieties","Leads to","Increase in food insecurity"," Lack of stress-tolerant varieties in Asia significantly reduce rice yield and income leading to increased food insecurity.","Ashok K. Mishra et al., 2022","Technology; Socio-economic"," ",
"Inadequate climate information services","Leads to","Unpredictable planting period","The crippling impacts of climate change are leaving rice farming systems at a critical state, causing unpredictable planting seasons.","R Segal ,2019","Seasons related"," ",
"Dependent on a single crop type","Leads to","Increase in food insecurity","Rice is the most important crop in Asia, providing a major portion of dietary contents, however, it's very vulnerable leading to increased food insecurity in the region.","Baird et al,. 2021","Socio-economic"," ",
"Small farm size","Leads to","Increase in food insecurity","Small-scale producers grow most of the rice in Asia, playing a significant role in providing food security, jobs and income across the region. However, a combination of worsening inequality in food value chains and the crippling impacts of climate change is leaving rice farming systems at a critical juncture. These challenges threaten the future viability of rice production that underpins the livelihoods and primary food source for millions of people","R Segal ,2019","Farm level; Diversification;Institutions and policy"," ",
"Poor efficiency of farming","Leads to","Reduced produce quality","On-farm deterioration in the quality of rice for sale, due to poor post-harvest management practices and inadequate storage conditions, is very significant in many areas and leads to reduced revenues from crop sales. There is limited scope for further expansion of irrigation systems. For instance Paddy produced in Myanmar is of extremely low quality because of labour shortages, the lack of mechanized options for harvesting, and field drying for up to 4 weeks before threshing","(Cramb et al., 2015; Dixon et al., 2001)","Infrastructure, technology","EAP_Lowland_Rice",
"Dependent on a single crop type","Is mitigated by","Diversify livelihoods","ome of the practices in diversifying farming systems included livestock, horticulture, annual and perennial trees combined with livestock. These however depend on a stable supply of water for irrigation.  Some farmers have shifted from rice farming to coconut/fruit tree farming and growing fodder grasses. ","(Thuy Le Toan, et al, 2021); (Akam & Gruere, 2018); (Yen et al., 2019);(Dixon et al., 2001)","Socialeconomic, climate smart agriculture","EAP_Lowland_Rice",
"Unsustainable land management practices","Is mitigated by","Implement climate smart agriculture practices





","Rice production contributes to greenhouse gas emissions.In 2010, paddy rice production emitted 44.61 million tons carbon dioxide equivalents (MtCO2e), 18% of total national GHG emissions. Alternate wetting and drying (AWD)a technique in which fields are allowed to dry out to a certain point before irrigation instances is proposed as a mitigation measure with a co-benefit of increasing income compared to conventional rice cultivation.","(Tran et al., 2019)","Human capacity, community level","EAP_Lowland_Rice",
"Inability to interpret climate information","Is mitigated by","Develop policies for building climate change resilience","The governments of East Asia should strengthen policies and build institutional capacity for the national and local levels to respond to climate change and help interpret climate information.","S. Redfern, 2012","Institutions and policy;Human capacity"," ",
"Inability to interpret climate information","Is mitigated by","Build capacity on usage of climate information","Analysis of rice yield gaps is needed to better understand how to sustainably increase rice production across Southeast Asia by adapting to climate change should be put in place. East Asia uses a modeling approach to map rice yield gaps and assess production potential and net exports by 2040.","S Yuan et al., 2022 ","Institutions and policy;Human capacity"," ",
"Limited uptake of modern technologies","Is mitigated by","Improve access to modern processing technologies","The lack of uptake of scientifically recommended production technologies by many rice smallholders should be mitigated by improving access to modern processing technologies.","Ashok K. Mishra et al., 2022","Technology; Human capacity; Partnership required"," ",
"Poor efficiency of farming","Is mitigated by","Build the capacity of agricultural extension agents","It is expected that extension programs will help increase farm productivity, and farm revenue, reduce poverty and minimize food insecurity in the case of poor farming efficiency."," G Danso-Abbeam  et al.,2018 ","Human capacity; Farm level"," ",
"Unsustainable land management practices","Is mitigated by","Implement climate smart agriculture practices





","Unsustainable farming practices, such as the use of pesticides and intensive monocultures, can deplete soil nutrients, therefore  Climate-smart agriculture (CSA) should be adopted to manage landscapes—cropland, livestock, forests, and fisheries.","World Bank, 2021","Capacity building, technology; Climate Smart Agriculture"," ",
"Major component of local diet","Is mitigated by","Adjust crop calendar
","Cropping calendar optimization contributes to an increase in rice yield because it’s a major component for the local diet.","X. Wang, 2020","Human capacity, agri knowledge, farm level"," ",
"Dependence on groundwater","Is mitigated by","Invest in water harvesting and storage infrastructure","Equipping households and institutions with water harvesting tanks and underground-borehole-like storage cisterns will help maximize on water harvesting and mitigate dependence on groundwater.","D. Ginting, 2022","Infrastructure; Community level"," ",
" ","Is mitigated by"," "," "," "," ","EAP_Lowland_Rice",
"Inadequate climate information services","Is mitigated by","Improve climate change awareness
"," Participatory weather monitoring system to help farmers pick up weather data at various crop stages and link it to crop calendars. This forecasts will offers potential scenarios to proactively adapt to expected weather conditions","(CCAFS, 2016); (SNV, 2022)","Institutions and policy, weather and environment","EAP_Lowland_Rice",
"Inadequate climate information services","Is mitigated by","Improve access to climate information services","Access to extension and weather and climate information services has been shown to increase the abilities of farmers to adopt better management practices.","RS Friedman et al.,2022 ","Institutions and policy, weather and environment"," ",
"Inadequate climate information services","Is mitigated by","Develop/improve early warning systems","A new tool - the South Asia Drought Monitoring System (SADMS) – is expected to provide comprehensive information about drought onset and progression. It will help improve early warning and management of a serious natural hazard which has a severe impact on agricultural production and livelihoods.","WMO, 2017","Institutions and policy, weather and environment"," ",
"Inconsistencies in policy implementation","Is mitigated by","Improve networking and knowledge exchange","For instance, Inconsistencies were observed in subsidy policies being implemented. During the winter-spring season, farmers were recommended to reduce their planted areas to avoid losses, therefore, networking and knowledge exchange will help mitigate this. ","(CCAFS, 2016)","Institutions and policy, weather and environment"," ",
"Inconsistencies in policy implementation","Is mitigated by","Build capacity on advocacy","Strengthen the capacity to gather evidence, and to design and implement policies on climate change efficacy.","(CCAFS, 2016)","Institutions and policy, weather and environment"," ",
"Inadequate climate information services","Is mitigated by","Improve interprovincial interventions","Agricultural production of adjacent provinces is interlinked to each other through their land use decisions, water sharing scheme, and farming practices so that they can enlighten each other on matters climate information.","(Yen et al., 2019)","Institutions and policy, weather and environment"," ",
"Large contributor to national GDP","Is mitigated by","Plant multiple varieties","Most of the salinity intrusion occurred during the late vegetative or early reproductive periods of the rice crop. This rendered salinity-tolerant varieties ineffective, as their tolerance to salinity is only during the seedling/vegetative stage. Farmers who irrigated their fields with saline water suffered “burnt” fields, and those that did not suffered from drought. Adopting new and adapted rice varieties is identified as one of the ways of sustaining productivity in the region","(CCAFS, 2016); (Akam & Gruere, 2018)","Finance , human capacity, research and development","EAP_Lowland_Rice",
"Unfavourable soil conditions","Is mitigated by","Plant multiple varieties","High salinity during the late stage of rice growth (around maturity) was also a major problem
during the 2016 salinity crisis. Early cut-off dates for harvesting rice can help avoid stretching the
crop into periods of high salinity by late March and April. Suitable short-duration varieties for
the adjusted growth window thus need to be identified and promoted. Additional investments
should be made to further improve those varieties, and to improve late-stage salinity tolerance","(CCAFS,2016); (Yen et al., 2019);(Akam & Gruere, 2018)"," ","EAP_Lowland_Rice",
"Water scarce area","Is mitigated by","Adopt drought tolerant varieties






","High salinity during the late stage of rice growth (around maturity) was also a major problem
during the 2016 salinity crisis. Early cut-off dates for harvesting rice can help avoid stretching the
crop into periods of high salinity by late March and April. Suitable short-duration varieties for
the adjusted growth window thus need to be identified and promoted. Additional investments
should be made to further improve those varieties, and to improve late-stage salinity tolerance","(CCAFS,2016); (Akam & Gruere, 2018); (Yen et al., 2019)","susceptibility to harm to adaptation, biophysical, technology, research and development","EAP_Lowland_Rice",
"Water scarce area","Is mitigated by","Implement water conservation irrigation","Ground-water for sprinkler irrigation without schedule is unsustainable. Salinization reduces
the amount of freshwater in many areas and the prolonged drought results in the 17 exhaustion of underground water sources. In many areas, farmers have to drill wells up to 90-100m in depth to get freshwater. ","(CCAFS,2016); (Akam & Gruere, 2018); (Yen et al., 2019)","Susceptibility to harm to adaptation, biophysical, technology, research and development","EAP_Lowland_Rice",
"Small farm size","Is mitigated by","Diversify livelihoods","Some farmers may be able to diversify into different crops, or off-farm income earning activities.","R Segal ,2019","Farm level; Diversification;Institutions and policy","EAP_Lowland_Rice",
"Low access to markets","Is mitigated by","Invest in road infrastructure","South Asia needs to invest up to $2.5 trillion to bridge its infrastructure gap over the next ten years to ensure there is market accessibility from the remote areas.","World Bank, 2014","Infrastructure; Partnership required; Network","EAP_Lowland_Rice",
"Small farm size","Is mitigated by","Invest in agricultural research and development","Adoption of an integrated farming system (IFS) is essential to achieve food and nutritional security in small and marginal holdings.","A Innazent et al, 2022","Farm level; Diversification;Institutions and policy"," ",
"Low access to markets","Is mitigated by","Establish farmer organisations","Farmer organizations such as women's saving clubs, producers' organizations, and farmers' fields should be established to help the rural poor mitigate risks and market their produce. ","IFAD, 2011","Network; Partnerships required"," ",
"Small farm size","Is mitigated by","Structural adjustments","To ensure that the modernization of the rice sector benefits small-scale farmers, we call on governments, the private sector and civil society to address the structural inequalities.","R Segal ,2019","Farm level; Diversification;Institutions and policy"," ",
"Lack of irrigation infrastructure ","Is mitigated by","Invest in irrigation infrastructure","The development of new irrigated rice systems in lowland environments and intensification of lowland rice productivity to mitigate the lack of infrastructure.","P Schmitter et al.,  2015","Infrastructure; Technology; Network; Partnership required","EAP_Lowland_Rice",
"Farmers engaged in agri system","Exposed to","Chronic poverty 
","The drought and saltwater intrusion has made hundreds of thousands of families more serious, while most of them are already living under poverty line.","(Thuy Le Toan, et al, 2021); (CCAFS, 2016); (Akam & Gruere, 2018)","socio-economic","EAP_Lowland_Rice",
"Farmers engaged in agri system","Exposed to","Loss of livelihoods ","Coastal induction and saline intrusion accelerating due to sea level rise and coastal erosion are leading to contamination of surface water and groundwater reserves, wetlands loss, and various public health risks. It makes the livelihoods of many people dependent on fisheries and agriculture increasingly uncertain.","CCAFS, 2016","socio-economic"," ",
"Farmers engaged in agri system","Exposed to","Food insecurity","Farmers engaged in this agrysystem are exposed to food insecurity, because, the rice production system in the Mekong River Delta contributes more than half of the total domestic rice production and more than 90% of Vietnam’s rice export annually, and has a significant role in food security of the country, is increasingly under pressure from climatical related factors. ","Yen et al., 2019","socio-economic"," ",
"Area of land used","Exposed to","Food insecurity","About 71 million ha, or almost one third of the total area of the system, are estimated to be cultivated","(Dixon et al.,2001)","socio-economic","EAP_Lowland_Rice",
"Increase in frost events","Leads to","Reduced crop productivity/failure","Increasein frost events leads to reduced crop productivity.Frost is associated with sterility and the abortion of formed grains in wheat.","(K.M. Barlow., 2015)","Temperature related","EAP Temperate Mixed","Connection-1"
"Shorter growing season","Leads to","Reduced crop productivity/failure","Shorter growing leads to reduced crop productivity in especially in Maize and wheat which are the two important staple crops.","(Hen-I Lin et al., 2022)","Season Related","EAP Temperate Mixed","Connection-2"
"Increase in extreme rainfall events","Leads to","Increased flooding
","Heavy rainfalls leads to increased flooding.","(Nithin Coca, 2020)","Rainfall Related","EAP Temperate Mixed","Connection-3"
" "," "," "," "," "," ","EAP Temperate Mixed","Connection-4"
"Rising sea levels","Leads to","Flash floods","WMO reported that sea level rise is already having a major impact on society, economies and ecosystems in Pacific islands, and increases vulnerability to flash floods.","(WMO,2021)","Maritime Related","EAP Temperate Mixed","Connection-5"
"Increase in tropical cyclones/hurricanes","Leads to","Reduced crop productivity/failure","Between 2000 and 2019, extreme weather events such as tropical cyclones caused around 1,500 fatalities and led to reduced crop productivity.","Basconcillo, J., Moon, IJ, (2022)","Maritime Related","EAP Temperate Mixed","Connection-6"
