"Label","Type-1","Type-2","Description","Tags","Bibliographic resource","Developer and name of external database","Link to external database","Type"
"Soil salinisation","Impact","Biophysical"," ","Biophysical"," "," "," ","EAP_Lowland_Rice"
"Siltation/sedimentation of rivers","Impact","Biophysical"," ","Biophysical"," "," "," ","EAP_Lowland_Rice"
"Change in production zone suitability","Impact","Biophysical"," ","Biophysical"," "," "," ","EAP_Lowland_Rice"
"Reduced water quality","Impact","Biophysical"," ","Biophysical"," "," "," ","EAP_Lowland_Rice"
"Elevation loss","Impact","Biophysical"," ","Biophysical"," "," "," ","EAP_Lowland_Rice"
"Land degradation","Impact","Biophysical"," ","Biophysical"," "," "," ","EAP_Lowland_Rice"
"Reduced produce quality","Impact","Biophysical"," ","Biophysical"," "," "," ","EAP_Lowland_Rice"
"Sediment starvation","Impact","Biophysical"," ","Biophysical"," "," "," ","EAP_Lowland_Rice"
"Coastal inundation","Impact","Biophysical","A rise in the sea level of only 30 cm could see the loss of nearly 200,000 hectares of rice cultivation.","Biophysical","(Akam & Gruere, 2018)"," "," ","EAP_Lowland_Rice"
"Increase in food spoilage/wastage","Impact","Socioeconomic","The emergence of severe droughts in the Mekong Delta has resulted in huge crop failures, with 90% of sowed fields perishing in the drought-impacted regions.This devastating drought damaged up to 30% of 29,900 ha rice in2019","socioeconomic","(OXFAM, 2016); (CCAFS,2016); (Akam & Gruere, 2018); (Thuy Le Toan, et al, 2021); (Smajgl et al , 2015)"," "," ","EAP_Lowland_Rice"
"Increase in food insecurity","Impact","Socioeconomic","Frequent droughts and reduced crop productivity in various countries is increasing the threats of food insecurity.","socioeconomic","(OXFAM, 2016),(CCAFS,2016),(Akam & Gruere, 2018)(Yen et al., 2019)"," "," ","EAP_Lowland_Rice"
" "," "," "," "," "," "," "," ",""
"Dependence on food aid","Impact","Socioeconomic","Vietnam recorded an extreme drought event in 2019 in 5 of 13 provinces in the Mekong Delta, and an emergency was declared. New Zealand Embassy announced humanitarian aid, totalling US$50,000, to communities in Ben Tre Province affected by drought and saltwater intrusion.","socioeconomic","(CCAFS,2016); (OXFAM, 2016); (Dinh, T., & Dang, T, 2022) "," "," ","EAP_Lowland_Rice"
"Limited uptake of modern technologies","Vulnerability","Human capital, gender and agricultural knowledge","The capacity of agencies to provide accurate information for drought and salinity forecasting and early warning systems is limited. The distribution of updated information on salinity levels is slow. In Vietnam, it takes a long time until salinity measurements reach the farmers. Collected information has to first be elevated to and approved by high-level decision makers before it is distributed to the local level. Thus, farmers get outdated information on salinity. It would be beneficial if the process would be smoother and the information flow more direct without passing many entities.","Human capacity, agri knowledge,weather and environment","(CCAFS,2016); (Chapman & Darby, 2016)"," "," ","EAP_Lowland_Rice"
"Unsustainable natural resource use","Vulnerability","Human capital, gender and agricultural knowledge","Sand mining is commonly practiced in along Mekong Delta","Agricultural knowledge, infrastructure, location specific","(Thuy Le Toan et al., 2021)"," "," ","EAP_Lowland_Rice"
"Unsustainable land management practices","Vulnerability","Human capital, gender and agricultural knowledge","On-farm deterioration in the quality of rice for sale, due to poor post-harvest management practices and inadequate storage conditions, is very significant in many areas and leads to reduced revenues from crop sales","Human capacity, agri knowledge, farm level","(Dixon et al., 2001)"," "," ","EAP_Lowland_Rice"
"Dependence on groundwater","Vulnerability","Human capital, gender and agricultural knowledge"," "," "," "," "," ","EAP_Lowland_Rice"
"Major component of local diet","Vulnerability","Human capital, gender and agricultural knowledge","Rice, the main staple of the Vietnamese diet, occupies 94% of arable land, is cultivated in all regions, and is the top crop in terms of planted area in 5 of the regions. Lowland rice farmin is also the main occupation for rural people in Savannakhet Province in Laos.","Human capacity, agri knowledge, farm level","(CCAFS,2016); (Yen et al., 2019); (Thuy Le Toan et al., 2021);(Baird et al,. 2021)"," "," ","EAP_Lowland_Rice"
"Inconsistencies in policy implementation","Vulnerability","Institutions and policies","Inconsistencies were observed in subsidy policies being implemented. During the winter spring season, farmers were recommended to reduce their planted areas to avoid losses. However, subsidies were only provided to farmers who had planted rice regardless of the warnings. The farmers who followed the recommendations did not receive any subsidy and/or support.","Institutions and policy, weather and environment","(CCAFS, 2016)"," "," ","EAP_Lowland_Rice"
"Large contributor to national GDP","Vulnerability","Economic, financial and markets","The Mekong River Delta (MRD) is the rice basket of Vietnam producing 56% of the total domestic rice production and accounting for 90% of Vietnam’s rice export. Over 1.7 million hectares of land, more than half of the total arable land in the region, are being used for rice production. ","Economic, finance and markets","(Yen et al., 2019)"," "," ","EAP_Lowland_Rice"
"Low access to markets","Vulnerability","Economic, financial and markets"," Developing markets for by-products  such as rice straws could be one option to reduce
vulnerability of the farmers to salinity intrusion. ","Market, finance","(CCAFS,2016)"," "," ","EAP_Lowland_Rice"
"Unfavourable soil conditions","Vulnerability","Sensitivity/
susceptibility to harm","Elicited by the El Niño, the drought has resulted in effects, such as reduced agricultural production, which limit the livelihoods and aggravates food insecurity in poor and vulnerable communities.","Sensitivity/
susceptibility to harm","(OXFAM, 2016)"," "," ","EAP_Lowland_Rice"
"Water scarce area","Vulnerability","Sensitivity/
susceptibility to harm","Elicited by the El Niño, the drought has resulted in effects, such as reduced agricultural production, which limit the livelihoods and aggravates food insecurity in poor and vulnerable communities.","Sensitivity/
susceptibility to harm","(OXFAM, 2016)"," "," ","EAP_Lowland_Rice"
"Fragmented landscapes","Vulnerability","Sensitivity/
susceptibility to harm","Increasing fragmentation of farmland has resulted from a growing agricultural population and the absence of primogeniture to maintain the integrity of holdings. In many instances farm sizes are now uneconomic, and even with the adoption of best practices would still only be marginal in terms of livelihood. If this trend is not reversed, an increasing proportion of farmers will be unable to rely on agriculture to ensure adequate food security and income levels. As a consequence, on-farm employment, and even complete exit from the system (e.g. permanent migration to urban areas), is likely to occur on a much larger scale.","Sensitivity/susceptibility to harm","(Dixon et al., 2001)"," "," ","EAP_Lowland_Rice"
" "," "," "," "," "," "," "," ","EAP_Lowland_Rice"
" "," "," "," "," "," "," "," ","EAP_Lowland_Rice"
" "," "," "," "," "," "," "," ","EAP_Lowland_Rice"
" "," "," "," "," "," "," "," ","EAP_Lowland_Rice"
"Lack of irrigation infrastructure ","Vulnerability","Lack of capacity to cope and adapt","Lack of irrigation water is affecting productivity in the lowland system. For instance, the low yield in Winter-Spring rice in Tra Vinh could be linked to the lack of irrigation water and saline intrusion during the dry season.","biophysical and technology","(Thuy Le Toan, et al, 2021); (Chapman & Darby, 2016); (Claudia& Renaud, 2012); (Dixon et al., 2001)"," "," ","EAP_Lowland_Rice"
"Barrier to natural flows due to  infrastructure ","Vulnerability","Lack of capacity to cope and adapt","Hydropower dam construction forms barrier to flow of water and sediment. "," ","(CCFAS, 2016); (Yen et al., 2019)"," "," ","EAP_Lowland_Rice"
"Lack of access to improved crop varieties","Vulnerability","Lack of capacity to cope and adapt","Farmers’ knowledge and adoption of salinity- and drought-tolerant rice varieties is also limited, as these have seedling stage tolerance and are appropriate for the spring-summer cropping.","Human capacity, climate awareness","(CCAFS,2016); (Akam & Gruere, 2018)"," "," ","EAP_Lowland_Rice"
"Lack of access to improved crop varieties","Vulnerability","Lack of capacity to cope and adapt","In most countries, seed is generally of poor quality and not necessarily of the most recently recommended variety, because most farmers retain their own seed for replanting for many seed generations. While research services and private companies have developed new crop varieties - including hybrids - with higher yield potential and better local adaptability, they are often unavailable to the majority of farmers or are unsuited to their production practices. Production of seed of improved rice varieties is undertaken in many countries by government services, but quantities are generally much less than required by farmers. This situation has a serious adverse effect on crop yield and overall crop production.","Human capacity, climate awareness","(Dixon et al., 2001)"," "," ","EAP_Lowland_Rice"
"Inadequate climate information services","Vulnerability","Lack of capacity to cope and adapt"," ",""," "," "," ","EAP_Lowland_Rice"
"Poor efficiency of farming","Vulnerability","Lack of capacity to cope and adapt"," ",""," "," "," ","EAP_Lowland_Rice"
"Dependent on a single crop type","Vulnerability","Lack of capacity to cope and adapt"," ",""," "," "," ","EAP_Lowland_Rice"
"Small farm size","Vulnerability","Lack of capacity to cope and adapt"," Farm sizes are becoming uneconomic, and even with the adoption of best practices would still only be marginal in terms of livelihood. If the trend continues, an increasing proportion of farmers will be unable to rely on agriculture to ensure adequate food security and income levels.","Lack of capacity to cope and adapt","(Dixon et al., 2001)"," "," ","EAP_Lowland_Rice"
" ","Adaptation option","Natural capital"," "," "," "," "," ","EAP_Lowland_Rice"
" ","Adaptation option","Natural capital"," "," "," "," "," ","EAP_Lowland_Rice"
" ","Adaptation option","Natural capital"," "," "," "," "," ","EAP_Lowland_Rice"
" ","Adaptation option","Natural capital"," "," "," "," "," ","EAP_Lowland_Rice"
" ","Adaptation option","Natural capital"," "," "," "," "," ","EAP_Lowland_Rice"
"Invest in irrigation infrastructure","Adaptation option","Physical capital","Promote appropriate water management practices during periods of high salinity (i.e. based on EC testing of irrigation water) in addition to use of salt tolerant, short maturing rice varieties. Manage upstream flow of the Mekong River. It is very important to maintain upstream flows in the future through upstream flow management.","Infrastructure","(CCAFS,2016); (Chapman & Darby, 2016)"," "," ","EAP_Lowland_Rice"
"Structural adjustments","Adaptation option","Physical capital","Resident are adjusting house conditions to cope with the floods. The adaptation measures include construction of storey buildings and elevation above ground level.  Construction of dykes to control the floods and saline water intrusion.","Infrastructure","(Ling et al., 2015); (Chapman & Darby, 2016)"," "," ","EAP_Lowland_Rice"
"Invest in water harvesting and storage infrastructure","Adaptation option","Physical capital","Explore the method of underground taming of floods for irrigation (UTFI) proposed by IWMI (http://utfi.iwmi.org/) as an alternative for increasing the groundwater volume for irrigation in the dry season and reducing the damage by floods during heavy rains.","Technology, infrastructure","(CCAFS,2016)"," "," ","EAP_Lowland_Rice"
"Diversify livelihoods","Adaptation option","Human capital","Traditional rice-based farming systems in the region have always been diversified but cropping intensity was mostly low. Farmers have grown various food and non-food crops and raised livestock mainly to meet
their domestic needs  Some of the practices in diversifying farming systems included livestock, horticulture, annual and perennial trees combined with livestock. These however depend on a stable supply of water for irrigation.  ","socioeconomic, farm level","(Thuy Le Toan, et al, 2021); (Yen et al., 2019); (CCAFS 2016);(Cramb et al., 2015)"," "," ","EAP_Lowland_Rice"
"Implement water conservation irrigation","Adaptation option","Human capital","Promote appropriate water management practices during periods of high salinity (i.e. based on EC testing of irrigation water) in addition to use of salt tolerant, short maturing rice varieties. Manage upstream flow of the Mekong River. It is very important to maintain upstream flows in the future through upstream flow management. Explore the method of underground taming of floods for irrigation (UTFI) proposed by IWMI (http://utfi.iwmi.org/) as an alternative for increasing the groundwater volume for irrigation in the dry season and reducing the damage by floods during heavy rains.","Technology, Governance","(CCAFS,2016); (Claudia& Renaud, 2012)"," "," ","EAP_Lowland_Rice"
"Implement climate smart agriculture practices





","Adaptation option","Human capital","Up-scale of CSA and CSV concepts to improve the resilience and adaptive capacities of local communities to extreme climate events. This should also be considered part of medium- and long-term measures. Improve/adopt sustainable resource management practices (water, soil, and crop management). In the three provinces visited, farmers extracted and over-used freshwater illegally, which can reduce freshwater availability for vulnerable communities in coastal areas. Trial, and if successful, out-scale insurance (e.g. weather-index based, remote sensing-based) programmes to protect smallholder farmers and agricultural businesses.","Capacity building, research, climate smart agriculture","(CCAFS,2016)"," "," ","EAP_Lowland_Rice"
"Adopt drought tolerant varieties






","Adaptation option","Human capital","Farmers’ knowledge and adoption of salinity- and drought-tolerant rice varieties is also limited, as these have seedling stage tolerance and are appropriate for the spring-summer cropping. Design a forward-looking breeding program for the development of new ‛designer’ varieties that fit the new cropping systems and carry the package of traits required for  climate resilience. These varieties should have optimum maturing periods (duration) based on available windows of opportunities and should also combine tolerance of current and foreseen abiotic stresses, such as salinity, drought and heat stress.","Capacity building, conservation agriculture","(CCAFS,2016)"," "," ","EAP_Lowland_Rice"
"Improve climate change awareness
","Adaptation option","Human capital","Many local farmers do not follow warnings and instructions of local authorities based on rice cultivation calendars, climate and weather forecasts. This requires building mutual trust between farmers, local officers and researchers, providing consistent agro-advisories and supporting policies, and integrating local knowledge in response scenarios to seasonal weather forecasts.","Technology, capacity building, research and development","(CCAFS,2016); (Cramb et al., 2015);(Nguyen et al., 2017);Tran et al., 2019)"," "," ","EAP_Lowland_Rice"
"Adjust crop calendar
","Adaptation option","Human capital","Determine the cut-off date for Dong Xuan season (i.e. the latest date of harvest of Dong Xuan) to avoid late season salinity. Vietnam has successfully implemented the cut-off date to avoid flooding/submergence in flood prone area, and a similar approach should be applied to saline areas.","Partnerships required, community level, capacity building","(CCAFS,2016); (Cramb et al., 2015);(Nguyen et al., 2017);Tran et al., 2019)"," "," ","EAP_Lowland_Rice"
"Invest in agricultural research and development","Adaptation option","Human capital","Integrated form of participatory research and extension should be developed and promoted, with less emphasis on single-crop research. This would benefit from synergies between productive activities, and would consider the whole-farm production system - including the sustainability of natural resources and the protection of the environment. Specific support should be given to the development of research resources, both equipment and human resources, to take advantage of new techniques in biotechnology and genetic engineering.","Human capacity, research and development","(Dixon et al., 2001;Cramb et al., 2015; CCAFS,2016))"," "," ","EAP_Lowland_Rice"
"Plant multiple varieties","Adaptation option","Human capital"," "," "," "," "," ","EAP_Lowland_Rice"
"Implement efficient water management","Adaptation option","Human capital","Implement water-saving technologies in upstream provinces (e.g. An Giang, Can Tho, Dong Thap) to reduce water withdrawal and allow for higher water flow to coastal provinces. This would reduce salinity intrusion in the region. ","Technology, infrastructure, partnership required, network dependent","(CCAFS,2016); (Chapman & Darby, 2016)"," "," ","EAP_Lowland_Rice"
" ","Adaptation option","Social capital"," "," "," "," "," ","EAP_Lowland_Rice"
" ","Adaptation option","Social capital"," "," "," "," "," ","EAP_Lowland_Rice"
" ","Adaptation option","Social capital"," "," "," "," "," ","EAP_Lowland_Rice"
" ","Adaptation option","Social capital"," "," "," "," "," ","EAP_Lowland_Rice"
" ","Adaptation option","Social capital"," "," "," "," "," ","EAP_Lowland_Rice"
"Build the capacity of agricultural extension agents","Adaptation option","Political capital ","The capacity of  agencies to provide accurate information for drought and salinity forecasting and early warning systems is limited. This is aggravated by poor mechanisms for coordination, sharing of data and standardization of collected data among relevant ministries, line departments, local authorities, farmers and water users. For example, different teams from provincial departments are doing the  monitoring of water quality in the provinces, but data from these teams could not combined with salinity monitoring at commune levels because of problems in coordination and inconsistence in monitoring methods. ","Technology, capacity building","(CCAFS,2016); (Claudia& Renaud, 2012)"," "," ","EAP_Lowland_Rice"
"Improve access to climate information services","Adaptation option","Political capital ","Existing national, regional and provincial salinity information systems are effective for managing irrigation infrastructure to access both saline and fresh water at the macro level. However information is insufficient to warn rice growers in time when water management infrastructure fails or is unable to protect their fields. If farmers measure and disseminate information about salinity variability in their immediate environment in cooperation with local authorities, communities can make collective decisions and put strategies in place to minimize the risks of salinity intrusion in their rice fields. A real-time salinity monitoring and advisory service in selected salinity-affected communities is needed.","Institutions and policy, research and development, community level, network dependent","(CCAFS,2016);"," "," ","EAP_Lowland_Rice"
"Develop/improve early warning systems","Adaptation option","Political capital ","The development of an improved climate monitoring and early warning system should be prioritized to help mitigate negative impacts induced by climate change in the Mekong Delta. These can also be used to disseminate technical advisories for drought and salinity preparedness, and recommended adaptation measures (e.g. cut-off dates for rice transplanting/sowing or rearing shrimp, suitable drought and saline tolerant varieties, appropriate farming techniques and practices).","Research and development, technology","(CCAFS,2016); (Claudia& Renaud, 2012); (Thuy Le Toan, et al, 2021)"," "," ","EAP_Lowland_Rice"
"Build capacity on usage of climate information","Adaptation option","Political capital ","The capacity of agencies to provide accurate information for drought and salinity forecasting and early warning systems is limited. This is aggravated by poor mechanisms for coordination, sharing of data and standardization of collected data among relevant ministries, line departments, local authorities, farmers and water users. For example, different teams from provincial departments are doing the roving monitoring of water quality in the provinces, but data from these teams could not combined with salinity monitoring at commune levels because of problems in coordination and inconsistence in monitoring methods. ","Capacity building, research and development, community level, network dependent","(CCAFS, 2016);(Dixon et al., 2001)"," "," ","EAP_Lowland_Rice"
"Improve interprovincial interventions","Adaptation option","Political capital ","In the MRD, agriculture production of adjacent provinces is interlinked to each other through their land use decisions, water sharing scheme, and farming practice. For example, water holding strategy of upstream provinces may lead to water shortages in downstream regions, or improper shrimp farming techniques of coastal regions may result in intrusion of saline water in rice lands."," ","(Yen et al., 2019)"," "," ","EAP_Lowland_Rice"
"Develop policies for building climate change resilience","Adaptation option","Political capital "," For sustainable rice production in the system, changing cropping calendar and system cannot be done alone but have to be implemented together with structural measures, water saving technologies, tolerant varieties, and policy and institution. ","climate smart agriculture, institutions and policy","(Yen et al., 2019)"," "," ","EAP_Lowland_Rice"
"Improve access to input/output markets","Adaptation option","Financial capital","Maintaining rice production under the increasing impact of climate change, reducing input costs through large scale mechanization and irrigation management and ensuring the stable market price are the major priorities of the farmers, managers and policy makers.","Finance, technology "," (Yen et al., 2019)"," "," ","EAP_Lowland_Rice"
"Farmers engaged in agri system","Exposure "," ","The MRD covers an area of about 39,000 km. With a total population of 17.5 million people (about 19% of the national population). The total area of agricultural land in the MRD is 2.6 million hectares. With this land resource, the region produces about 50% of the total amount of food in Vietnam and ensures food security and livelihoods for approximately 70% of the region’s population.","Area of land ","(CCAFS, 2016)"," "," ","EAP_Lowland_Rice"
"Area of land used","Exposure "," ","The MRD covers an area of about 39,000 km. With a total population of 17.5 million people (about 19% of the national population). The total area of agricultural land in the MRD is 2.6 million hectares. With this land resource, the region produces about 50% of the total amount of food in Vietnam and ensures food security and livelihoods for approximately 70% of the region’s population.","Area of land ","(CCAFS, 2016)"," "," ","EAP_Lowland_Rice"
"Food insecurity","Risk"," ","The rice production system that has a significant role in food security of the country, is increasingly under pressure from climatic related impacts. The Mekong River Delta contributes more than a half of the total domestic rice production and more than 90% of Vietnam’s rice export annually.","Food insecurity,socioeconomic","(Yen et al., 2019); (OXFAM, 2016)"," "," ","EAP_Lowland_Rice"
"Loss of livelihoods ","Risk"," "," Coastal induction and saline intrusion are increasing the putting the framers at risks of losing harvests thus impacting on their livelihood","socioeconomic","(CCAFS, 2016); (OXFAM, 2016)"," "," ","EAP_Lowland_Rice"
"Chronic poverty 
","Risk"," ","Average household incomes are low and poverty is extensive and severe in many areas.The drought and saltwater intrusion has made hundreds of thousands of families more serious, while most of them are already living under poverty line.","socioeconomic","(Dixon et al., 2001);(OXFAM, 2016)"," "," ","EAP_Lowland_Rice"
"Increase in frost events","Hazard","Maritime related","Northern Subsystem is characterized by severe frosts in winter.","(J.Dixon et al.,2001)","Maritime Related"," "," ","EAP Temperate Mixed"
"Shorter growing season","Hazard","Season related","","","Season Related"," "," ","EAP Temperate Mixed"
"Increase in extreme rainfall events","Hazard","Rainfall related","Both the Loess Plateau and the Northern Sub-System are characterised by rainfall being concentrated in the summer months.","(J.Dixon et al.,2001)","Rainfall Related"," "," ","EAP Temperate Mixed"
"Increase in hailstorms","Hazard","Maritime related","Most storms form in the summer between June and November and the islands of the Philippines are generally the hardest hit.","(Finlayson .C. et al.,2019)","Maritime Related"," "," ","EAP Temperate Mixed"
"Increase in tropical cyclones/hurricanes","Hazard","Maritime related","The region actually has more tropical cyclone activity than anywhere else on Earth.","(Finlayson .C. et al.,2019)","Maritime Related"," "," ","EAP Temperate Mixed"
"Rising sea levels","Hazard","Maritime related","The region including contries with this agri system experience sea level rise.","(WMO,2021)","Maritime Related"," "," ","EAP Temperate Mixed"
"Increase in drought events","Hazard","Season related","Most parts of East Asia including those with temperate mixed systems are regularly hit by droughts. Though starting slowly, droughts can have devastating cumulative impacts – striking hardest at the poor and heightening inequality, as well as degrading land and reduced crop production.Following the 2015–2016 El Niño-induced drought, the total rice production fell to 27 million tonnes, the lowest since 2000.","(K. Zahedi et al ., 2020)","Season Related"," "," ","EAP Temperate Mixed"
"Increase in strong winds","Hazard","Wind related","Most parts of the region experiences an important climatic phenomenon  called monsoon which is generated by a reversal of winds.","(ICRC,2021)","Wind related"," "," ","EAP Temperate Mixed"
"Increase in average temperatures","Hazard"," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
"Land degradation","Impact","Biophysical","Shifting cultivation throughout Asia is coming under increasing population  resulting in shortened fallow cycles and resulting resource degradation.","(J.Dixon et al.,2001)","Biophysical"," "," ","EAP Temperate Mixed"
"Reduced crop productivity/failure","Impact","Biophysical","There is reduced crop productivity in the Northern Sub-System, because cropping is possible only during the summer.Wheat and other cereals are grown concurrently and compete for cultivated land,leading to lower Yields. ","(J.Dixon et al.,2001)","Biophysical"," "," ","EAP Temperate Mixed"
"Shorter growing seasons","Impact","Biophysical","Shorter growing season especiall in the Northern Sub-System, because climate only permit cropping during summer.","(J.Dixon et al.,2001)","Biophysical"," "," ","EAP Temperate Mixed"
"Increase in crop productivity/yields","Impact","Biophysical","In the Loess Plateau subsystem, wheat is the main winter crop and its Yields have risen dramatically since 1970 and even in the last decade have achieved 2.7 percent annual growth.Also, maize is projected to double by 2030.","(J.Dixon et al.,2001)","Biophysical"," "," ","EAP Temperate Mixed"
"Increased flooding
","Impact","Biophysical","2011 Bangkok flood caused 41 billion USD damage. In Vietnam, floods significantly affect rice production, the economy, and people's lives. ","(Nithin Coca, 2020)","Biophysical"," "," ","EAP Temperate Mixed"
"Increased incidence of bushfires","Impact","Biophysical","The region experienced an unprecedented 2019-2020 wildfire season in eastern Australia that led to severe smoke pollution.  More than 10 million hectares of land were burned, and some 33 people killed, along with millions of animals, while over 3,000 homes were destroyed. ","(WMO,2021)","Biophysical"," "," ","EAP Temperate Mixed"
"Flash floods","Impact","Biophysical"," "," ","Biophysical"," "," ","EAP Temperate Mixed"
"Reduced livestock productivity","Impact","Biophysical"," "," ","Biophysical"," "," ","EAP Temperate Mixed"
"Livestock mortalities","Impact","Biophysical"," "," ","Biophysical"," "," ","EAP Temperate Mixed"
"Unpredictable planting period","Impact","Biophysical"," "," ","Biophysical"," "," ","EAP Temperate Mixed"
"Shorter growing seasons","Impact","Biophysical","Northern Subsystem only permits growing of crops during summer, hence the shorter growing season.","(J.Dixon et al.,2001)","Biophysical"," "," ","EAP Temperate Mixed"
"Increase in diseases","Impact","Biophysical"," "," "," "," "," ","EAP Temperate Mixed"
"Crop stress/damage/mortality","Impact","Biophysical"," "," "," "," "," ","EAP Temperate Mixed"
"Soil erosion","Impact","Biophysical"," "," "," "," "," ","EAP Temperate Mixed"
