"FS name",FS macro region,"From","Link type","To","Description"
"Lowland Rice",EAP,"Inadequate climate information services","Is mitigated by","Improve climate change awareness
"," Participatory weather monitoring system to help farmers pick up weather data at various crop stages and link it to crop calendars. This forecasts will offers potential scenarios to proactively adapt to expected weather conditions"
"Lowland Rice",EAP,"Inadequate climate information services","Is mitigated by","Improve access to climate information services","Access to extension and weather and climate information services has been shown to increase the abilities of farmers to adopt better management practices."
"Lowland Rice",EAP,"Inadequate climate information services","Is mitigated by","Develop/improve early warning systems","A new tool - the South Asia Drought Monitoring System (SADMS) – is expected to provide comprehensive information about drought onset and progression. It will help improve early warning and management of a serious natural hazard which has a severe impact on agricultural production and livelihoods."
"Lowland Rice",EAP,"Inconsistencies in policy implementation","Is mitigated by","Improve networking and knowledge exchange","For instance, Inconsistencies were observed in subsidy policies being implemented. During the winter-spring season, farmers were recommended to reduce their planted areas to avoid losses, therefore, networking and knowledge exchange will help mitigate this. "
"Lowland Rice",EAP,"Inconsistencies in policy implementation","Is mitigated by","Build capacity on advocacy","Strengthen the capacity to gather evidence, and to design and implement policies on climate change efficacy."
"Lowland Rice",EAP,"Inadequate climate information services","Is mitigated by","Improve interprovincial interventions","Agricultural production of adjacent provinces is interlinked to each other through their land use decisions, water sharing scheme, and farming practices so that they can enlighten each other on matters climate information."
"Lowland Rice",EAP,"Large contributor to national GDP","Is mitigated by","Plant multiple varieties","Most of the salinity intrusion occurred during the late vegetative or early reproductive periods of the rice crop. This rendered salinity-tolerant varieties ineffective, as their tolerance to salinity is only during the seedling/vegetative stage. Farmers who irrigated their fields with saline water suffered “burnt” fields, and those that did not suffered from drought. Adopting new and adapted rice varieties is identified as one of the ways of sustaining productivity in the region"
"Lowland Rice",EAP,"Unfavourable soil conditions","Is mitigated by","Plant multiple varieties","High salinity during the late stage of rice growth (around maturity) was also a major problem
during the 2016 salinity crisis. Early cut-off dates for harvesting rice can help avoid stretching the
crop into periods of high salinity by late March and April. Suitable short-duration varieties for
the adjusted growth window thus need to be identified and promoted. Additional investments
should be made to further improve those varieties, and to improve late-stage salinity tolerance"
"Lowland Rice",EAP,"Water scarce area","Is mitigated by","Adopt drought tolerant varieties






","High salinity during the late stage of rice growth (around maturity) was also a major problem
during the 2016 salinity crisis. Early cut-off dates for harvesting rice can help avoid stretching the
crop into periods of high salinity by late March and April. Suitable short-duration varieties for
the adjusted growth window thus need to be identified and promoted. Additional investments
should be made to further improve those varieties, and to improve late-stage salinity tolerance"
"Lowland Rice",EAP,"Water scarce area","Is mitigated by","Implement water conservation irrigation","Ground-water for sprinkler irrigation without schedule is unsustainable. Salinization reduces
the amount of freshwater in many areas and the prolonged drought results in the 17 exhaustion of underground water sources. In many areas, farmers have to drill wells up to 90-100m in depth to get freshwater. "
"Lowland Rice",EAP,"Small farm size","Is mitigated by","Diversify livelihoods","Some farmers may be able to diversify into different crops, or off-farm income earning activities."
"Lowland Rice",EAP,"Low access to markets","Is mitigated by","Invest in road infrastructure","South Asia needs to invest up to $2.5 trillion to bridge its infrastructure gap over the next ten years to ensure there is market accessibility from the remote areas."
"Lowland Rice",EAP,"Small farm size","Is mitigated by","Invest in agricultural research and development","Adoption of an integrated farming system (IFS) is essential to achieve food and nutritional security in small and marginal holdings."
"Lowland Rice",EAP,"Low access to markets","Is mitigated by","Establish farmer organisations","Farmer organizations such as women's saving clubs, producers' organizations, and farmers' fields should be established to help the rural poor mitigate risks and market their produce. "
"Lowland Rice",EAP,"Small farm size","Is mitigated by","Structural adjustments","To ensure that the modernization of the rice sector benefits small-scale farmers, we call on governments, the private sector and civil society to address the structural inequalities."
"Lowland Rice",EAP,"Lack of irrigation infrastructure ","Is mitigated by","Invest in irrigation infrastructure","The development of new irrigated rice systems in lowland environments and intensification of lowland rice productivity to mitigate the lack of infrastructure."
"Lowland Rice",EAP,"Farmers engaged in agri system","Exposed to","Chronic poverty 
","The drought and saltwater intrusion has made hundreds of thousands of families more serious, while most of them are already living under poverty line."
"Lowland Rice",EAP,"Farmers engaged in agri system","Exposed to","Loss of livelihoods ","Coastal induction and saline intrusion accelerating due to sea level rise and coastal erosion are leading to contamination of surface water and groundwater reserves, wetlands loss, and various public health risks. It makes the livelihoods of many people dependent on fisheries and agriculture increasingly uncertain."
"Lowland Rice",EAP,"Farmers engaged in agri system","Exposed to","Food insecurity","Farmers engaged in this agrysystem are exposed to food insecurity, because, the rice production system in the Mekong River Delta contributes more than half of the total domestic rice production and more than 90% of Vietnam’s rice export annually, and has a significant role in food security of the country, is increasingly under pressure from climatical related factors. "
"Lowland Rice",EAP,"Area of land used","Exposed to","Food insecurity","About 71 million ha, or almost one third of the total area of the system, are estimated to be cultivated"
"Temperate Mixed",EAP,"Increase in frost events","Leads to","Reduced crop productivity/failure","Increasein frost events leads to reduced crop productivity.Frost is associated with sterility and the abortion of formed grains in wheat."
"Temperate Mixed",EAP,"Shorter growing season","Leads to","Reduced crop productivity/failure","Shorter growing leads to reduced crop productivity in especially in Maize and wheat which are the two important staple crops."
"Temperate Mixed",EAP,"Increase in extreme rainfall events","Leads to","Increased flooding
","Heavy rainfalls leads to increased flooding."
"Temperate Mixed",EAP," "," "," "," "
"Temperate Mixed",EAP,"Rising sea levels","Leads to","Flash floods","WMO reported that sea level rise is already having a major impact on society, economies and ecosystems in Pacific islands, and increases vulnerability to flash floods."
"Temperate Mixed",EAP,"Increase in tropical cyclones/hurricanes","Leads to","Reduced crop productivity/failure","Between 2000 and 2019, extreme weather events such as tropical cyclones caused around 1,500 fatalities and led to reduced crop productivity."
"Temperate Mixed",EAP,"Increase in drought events","Leads to","Increased incidence of bushfires","Increased droughts leads to increased incidence of bushfires i.e  the unprecedented 2019-2020 wildfire season."
"Temperate Mixed",EAP,"Increase in drought events","Leads to","Land degradation","Increased Drought events leads to increased land degradation in East Asia."
"Temperate Mixed",EAP,"Increase in strong winds","Leads to","Increased flooding
","Increase in strong winds causes Monsoon season which brings very heavy rains causing massive flooding and landslides,which can lead to a high number of casualties. "
"Temperate Mixed",EAP,"Increase in average temperatures","Leads to","Increase in diseases","Increasing temperatures will lead to an increase in diseases and pests that will eventually impact crop yields and livestock production."
"Temperate Mixed",EAP,"Increase in frost events","Leads to","Reduced livestock productivity","Increased in frost events can cause important drops in forage production, such as the 60 percent deficit of green fodder during the 2003."
"Temperate Mixed",EAP,"Increase in frost events","Leads to","Crop stress/damage/mortality","The projected increase in the frost event causes sensitivity in plant reproduction and plant structure vegetation leading to crop stress or damage. "
"Temperate Mixed",EAP,"Shorter growing season","Leads to","Unpredictable planting period"," Changes in the length of the growing season can have both positive and negative effects on the yield and prices of particular crops, by causing unpredictable planting periods. "
"Temperate Mixed",EAP,"Increase in extreme rainfall events","Leads to","Soil erosion","The potential impacts of heavy precipitation include crop damage, soil erosion, and an increase in flood risk due to heavy rains."
"Temperate Mixed",EAP,"Increase in extreme rainfall events","Leads to","Reduced crop productivity/failure","Changes in rainfall patterns can increase the likelihood of crop failure and result in production declines."
"Temperate Mixed",EAP,"Rising sea levels","Leads to","Landslide events","Dangers of sea-level rise include, land loss from the permanent inundation of low-lying coastal areas."
"Temperate Mixed",EAP,"Rising sea levels","Leads to","Damage to infrastructure","Sea level rise, coupled with storm surge, will continue to increase the risk of major coastal impacts on transportation infrastructure, including both temporary and permanent flooding of airports, ports and harbors, roads, rail lines, tunnels, and bridges."
"Temperate Mixed",EAP,"Increase in tropical cyclones/hurricanes","Leads to","Landslide events","Tropical cyclones, also known as typhoons or hurricanes, are among the most destructive weather phenomena."
"Temperate Mixed",EAP,"Increase in hailstorms","Leads to","Landslide events","More frequent and intense rainfall events such as hailstorms due to climate change could cause  landslide events. "
"Temperate Mixed",EAP,"Increase in hailstorms","Leads to","Damage to infrastructure","The probability of reported hail damage to roofs, windows, and vehicles strongly increases as hail size exceeds 5 cm."
"Temperate Mixed",EAP,"Increase in hailstorms","Leads to","Reduced crop productivity/failure","Hailstorm can damage the various plant parts, including foliage, branches, stems, fruits, and seeds, and extensive damage to forests, leading to reduced crop production."
"Temperate Mixed",EAP,"Increase in strong winds","Leads to","Damage to infrastructure","According to the IPCC's simulations, Asia, for example, is expected to experience damage to urban infrastructure due to increase in strong winds."
"Temperate Mixed",EAP,"Increase in strong winds","Leads to","Landslide events","Strong winds increase turbulence in the atmosphere and also cause soil erosion leading to landslide events."
"Temperate Mixed",EAP,"Increase in strong winds","Leads to","Reduced crop productivity/failure","Strong winds damage crops by flattening small grain  through lodging, hence reducing productivity."
"Temperate Mixed",EAP," "," "," "," "
"Temperate Mixed",EAP,"Increase in frost events","Leads to","Increase in food insecurity","Maize and wheat production will be impaired by increasing frost events leading to increased food insecurity."
"Temperate Mixed",EAP,"Shorter growing season","Leads to","Loss of income","Shorter growing seasons could indicate reduced productivity, hence loss of income."
"Temperate Mixed",EAP,"Increase in hailstorms","Leads to","Increase in food prices","Climate stimuli such as hailstorms leads to increased wheat and maize prices due to increase in the prices of fertilizers."
"Temperate Mixed",EAP,"Increase in extreme rainfall events","Leads to","Increase in poverty","Extreme rainfall causes flooding that destroys crops and livestock leading to increase in poverty."
"Temperate Mixed",EAP,"Rising sea levels","Leads to","Increase in migration","In 2018, the total number of IDP due to natural hazards were 2.4 million, out of which 590,000 were refugees and 1.8 million were IDP."
"Temperate Mixed",EAP,"Increase in tropical cyclones/hurricanes","Leads to","Increase in food insecurity","Tropical cyclones wash saltwater onto agricultural land making it unproductive, which causes short term food shortage and long term food insecuriy in the region."
"Temperate Mixed",EAP,"Increase in drought events","Leads to","Increase in food insecurity","Drought affects the four dimension of food security; availability, stability, access and utilization."
"Temperate Mixed",EAP,"Shorter growing season","Leads to","Increase in food insecurity","Shorter growing seasons due to climate impacts leads to increased food insecurity."
"Temperate Mixed",EAP,"Increase in tropical cyclones/hurricanes","Leads to","Increase in migration","Different migration responses emerge from sudden-onset disasters – such as cyclones, which immediately displace people."
"Temperate Mixed",EAP,"Increase in drought events","Leads to","Increase in poverty","The report the world bank found that the poorest people are more exposed than the average population to climate-related shocks such as floods, droughts."
"Temperate Mixed",EAP,"Increase in average temperatures","Leads to","Loss of income","East Asia is expected to have the least loss from higher temperature, with a lower per capita income by around 2.9% in 2100."
"Temperate Mixed",EAP,"Increase in average temperatures","Leads to","Increase in livestock mobility","Changing weather patterns and warming temperatures could contribute to shifting pest and disease distribution and could increase stress on livestock leading increased livestock mobility."
"Temperate Mixed",EAP,"Increase in extreme rainfall events","Leads to","Increase in food insecurity","Extreme rainfall causes flooding that destroys crops causing reduced crop productivity, which in turn leads to increased food insecurity."
"Temperate Mixed",EAP,"Increase in average temperatures","Leads to","Increase in food insecurity","Extremely high temperatures lead to crop stress and increased livestock mortality thus leading to increased food insecurity. "
"Temperate Mixed",EAP," "," "," "," "
"Temperate Mixed",EAP," "," "," "," "
"Temperate Mixed",EAP," "," "," "," "
"Temperate Mixed",EAP,"Land degradation","Leads to","Reduced livestock productivity","Livestock production and yields are likely to suffer a decrease, due to diminishing grassland and overgrazing."
"Temperate Mixed",EAP,"Increased flooding
","Leads to","Increase in malnutrition","Climate change impacts such as floods,  negatively impact agriculture and livestock causing crop failures, decreasing food security and significantly impacting human health and nutrition, especially for those who are immunocompromised as a result of tuberculosis and HIV/AIDS ."
