ID,"Label","Type","Type-1","Type-2","Tags","Description"
25,"Unsustainable land management practices","EAP_Lowland_Rice","Vulnerability","Human capital, gender and agricultural knowledge","Human capacity, agri knowledge, farm level","On-farm deterioration in the quality of rice for sale, due to poor post-harvest management practices and inadequate storage conditions, is very significant in many areas and leads to reduced revenues from crop sales"
26,"Dependence on groundwater","EAP_Lowland_Rice","Vulnerability","Human capital, gender and agricultural knowledge",,
27,"Major component of local diet","EAP_Lowland_Rice","Vulnerability","Human capital, gender and agricultural knowledge","Human capacity, agri knowledge, farm level","Rice, the main staple of the Vietnamese diet, occupies 94% of arable land, is cultivated in all regions, and is the top crop in terms of planted area in 5 of the regions. Lowland rice farmin is also the main occupation for rural people in Savannakhet Province in Laos."
28,"Inconsistencies in policy implementation","EAP_Lowland_Rice","Vulnerability","Institutions and policies","Institutions and policy, weather and environment","Inconsistencies were observed in subsidy policies being implemented. During the winter spring season, farmers were recommended to reduce their planted areas to avoid losses. However, subsidies were only provided to farmers who had planted rice regardless of the warnings. The farmers who followed the recommendations did not receive any subsidy and/or support."
29,"Large contributor to national GDP","EAP_Lowland_Rice","Vulnerability","Economic, financial and markets","Economic, finance and markets","The Mekong River Delta (MRD) is the rice basket of Vietnam producing 56% of the total domestic rice production and accounting for 90% of Vietnam’s rice export. Over 1.7 million hectares of land, more than half of the total arable land in the region, are being used for rice production."
30,"Low access to markets","EAP_Lowland_Rice","Vulnerability","Economic, financial and markets","Market, finance"," Developing markets for by-products  such as rice straws could be one option to reduce vulnerability of the farmers to salinity intrusion. "
31,"Unfavourable soil conditions","EAP_Lowland_Rice","Vulnerability"," ""Sensitivity/susceptibility to harm"""," ""Sensitivity/susceptibility to harm""","Elicited by the El Niño, the drought has resulted in effects, such as reduced agricultural production, which limit the livelihoods and aggravates food insecurity in poor and vulnerable communities."
32,"Water scarce area","EAP_Lowland_Rice","Vulnerability"," ""Sensitivity/susceptibility to harm"""," ""Sensitivity/susceptibility to harm""","Elicited by the El Niño, the drought has resulted in effects, such as reduced agricultural production, which limit the livelihoods and aggravates food insecurity in poor and vulnerable communities."
33,"Fragmented landscapes","EAP_Lowland_Rice","Vulnerability"," ""Sensitivity/susceptibility to harm"""," ""Sensitivity/susceptibility to harmsusceptibility to harm""","Increasing fragmentation of farmland has resulted from a growing agricultural population and the absence of primogeniture to maintain the integrity of holdings. In many instances farm sizes are now uneconomic, and even with the adoption of best practices would still only be marginal in terms of livelihood. If this trend is not reversed, an increasing proportion of farmers will be unable to rely on agriculture to ensure adequate food security and income levels. As a consequence, on-farm employment, and even complete exit from the system (e.g. permanent migration to urban areas), is likely to occur on a much larger scale."
34,"Lack of irrigation infrastructure ","EAP_Lowland_Rice","Vulnerability","Lack of capacity to cope and adapt","biophysical and technology","Lack of irrigation water is affecting productivity in the lowland system. For instance, the low yield in Winter-Spring rice in Tra Vinh could be linked to the lack of irrigation water and saline intrusion during the dry season."
35,"Barrier to natural flows due to  infrastructure ","EAP_Lowland_Rice","Vulnerability","Lack of capacity to cope and adapt",,"Hydropower dam construction forms barrier to flow of water and sediment. "
36,"Lack of access to improved crop varieties","EAP_Lowland_Rice","Vulnerability","Lack of capacity to cope and adapt","Human capacity, climate awareness","Farmers’ knowledge and adoption of salinity- and drought-tolerant rice varieties is also limited, as these have seedling stage tolerance and are appropriate for the spring-summer cropping."
37,"Lack of access to improved crop varieties","EAP_Lowland_Rice","Vulnerability","Lack of capacity to cope and adapt","Human capacity, climate awareness","In most countries, seed is generally of poor quality and not necessarily of the most recently recommended variety, because most farmers retain their own seed for replanting for many seed generations. While research services and private companies have developed new crop varieties - including hybrids - with higher yield potential and better local adaptability, they are often unavailable to the majority of farmers or are unsuited to their production practices. Production of seed of improved rice varieties is undertaken in many countries by government services, but quantities are generally much less than required by farmers. This situation has a serious adverse effect on crop yield and overall crop production."
38,"Inadequate climate information services","EAP_Lowland_Rice","Vulnerability","Lack of capacity to cope and adapt",,
39,"Poor efficiency of farming","EAP_Lowland_Rice","Vulnerability","Lack of capacity to cope and adapt",,
40,"Dependent on a single crop type","EAP_Lowland_Rice","Vulnerability","Lack of capacity to cope and adapt",,
41,"Small farm size","EAP_Lowland_Rice","Vulnerability","Lack of capacity to cope and adapt","Lack of capacity to cope and adapt"," Farm sizes are becoming uneconomic, and even with the adoption of best practices would still only be marginal in terms of livelihood. If the trend continues, an increasing proportion of farmers will be unable to rely on agriculture to ensure adequate food security and income levels."
42,"Invest in irrigation infrastructure","EAP_Lowland_Rice","Adaptation option","Physical capital","Infrastructure","Promote appropriate water management practices during periods of high salinity (i.e. based on EC testing of irrigation water) in addition to use of salt tolerant, short maturing rice varieties. Manage upstream flow of the Mekong River. It is very important to maintain upstream flows in the future through upstream flow management."
43,"Structural adjustments","EAP_Lowland_Rice","Adaptation option","Physical capital","Infrastructure","Resident are adjusting house conditions to cope with the floods. The adaptation measures include construction of storey buildings and elevation above ground level.  Construction of dykes to control the floods and saline water intrusion."
44,"Invest in water harvesting and storage infrastructure","EAP_Lowland_Rice","Adaptation option","Physical capital","Technology, infrastructure","Explore the method of underground taming of floods for irrigation (UTFI) proposed by IWMI (http://utfi.iwmi.org/) as an alternative for increasing the groundwater volume for irrigation in the dry season and reducing the damage by floods during heavy rains."
45,"Diversify livelihoods","EAP_Lowland_Rice","Adaptation option","Human capital","socioeconomic, farm level","Traditional rice-based farming systems in the region have always been diversified but cropping intensity was mostly low. Farmers have grown various food and non-food crops and raised livestock mainly to meet their domestic needs  Some of the practices in diversifying farming systems included livestock, horticulture, annual and perennial trees combined with livestock. These however depend on a stable supply of water for irrigation.  "
46,"Implement water conservation irrigation","EAP_Lowland_Rice","Adaptation option","Human capital","Technology, Governance","Promote appropriate water management practices during periods of high salinity (i.e. based on EC testing of irrigation water) in addition to use of salt tolerant, short maturing rice varieties. Manage upstream flow of the Mekong River. It is very important to maintain upstream flows in the future through upstream flow management. Explore the method of underground taming of floods for irrigation (UTFI) proposed by IWMI (http://utfi.iwmi.org/) as an alternative for increasing the groundwater volume for irrigation in the dry season and reducing the damage by floods during heavy rains."
47,"Implement climate smart agriculture practices","EAP_Lowland_Rice","Adaptation option","Human capital","Capacity building, research, climate smart agriculture","Up-scale of CSA and CSV concepts to improve the resilience and adaptive capacities of local communities to extreme climate events. This should also be considered part of medium- and long-term measures. Improve/adopt sustainable resource management practices (water, soil, and crop management). In the three provinces visited, farmers extracted and over-used freshwater illegally, which can reduce freshwater availability for vulnerable communities in coastal areas. Trial, and if successful, out-scale insurance (e.g. weather-index based, remote sensing-based) programmes to protect smallholder farmers and agricultural businesses."
48,"Adopt drought tolerant varieties","EAP_Lowland_Rice","Adaptation option","Human capital","Capacity building, conservation agriculture","Farmers’ knowledge and adoption of salinity- and drought-tolerant rice varieties is also limited, as these have seedling stage tolerance and are appropriate for the spring-summer cropping. Design a forward-looking breeding program for the development of new ‛designer’ varieties that fit the new cropping systems and carry the package of traits required for  climate resilience. These varieties should have optimum maturing periods (duration) based on available windows of opportunities and should also combine tolerance of current and foreseen abiotic stresses, such as salinity, drought and heat stress."
49,"Improve climate change awareness","EAP_Lowland_Rice","Adaptation option","Human capital","Technology, capacity building, research and development","Many local farmers do not follow warnings and instructions of local authorities based on rice cultivation calendars, climate and weather forecasts. This requires building mutual trust between farmers, local officers and researchers, providing consistent agro-advisories and supporting policies, and integrating local knowledge in response scenarios to seasonal weather forecasts."
50,"Adjust crop calendar","EAP_Lowland_Rice","Adaptation option","Human capital","Partnerships required, community level, capacity building","Determine the cut-off date for Dong Xuan season (i.e. the latest date of harvest of Dong Xuan) to avoid late season salinity. Vietnam has successfully implemented the cut-off date to avoid flooding/submergence in flood prone area, and a similar approach should be applied to saline areas."
51,"Invest in agricultural research and development","EAP_Lowland_Rice","Adaptation option","Human capital","Human capacity, research and development","Integrated form of participatory research and extension should be developed and promoted, with less emphasis on single-crop research. This would benefit from synergies between productive activities, and would consider the whole-farm production system - including the sustainability of natural resources and the protection of the environment. Specific support should be given to the development of research resources, both equipment and human resources, to take advantage of new techniques in biotechnology and genetic engineering."
52,"Plant multiple varieties","EAP_Lowland_Rice","Adaptation option","Human capital",,
53,"Implement efficient water management","EAP_Lowland_Rice","Adaptation option","Human capital","Technology, infrastructure, partnership required, network dependent","Implement water-saving technologies in upstream provinces (e.g. An Giang, Can Tho, Dong Thap) to reduce water withdrawal and allow for higher water flow to coastal provinces. This would reduce salinity intrusion in the region. "
54,"Build the capacity of agricultural extension agents","EAP_Lowland_Rice","Adaptation option","Political capital ","Technology, capacity building","The capacity of  agencies to provide accurate information for drought and salinity forecasting and early warning systems is limited. This is aggravated by poor mechanisms for coordination, sharing of data and standardization of collected data among relevant ministries, line departments, local authorities, farmers and water users. For example, different teams from provincial departments are doing the  monitoring of water quality in the provinces, but data from these teams could not combined with salinity monitoring at commune levels because of problems in coordination and inconsistence in monitoring methods. "
55,"Improve access to climate information services","EAP_Lowland_Rice","Adaptation option","Political capital ","Institutions and policy, research and development, community level, network dependent","Existing national, regional and provincial salinity information systems are effective for managing irrigation infrastructure to access both saline and fresh water at the macro level. However information is insufficient to warn rice growers in time when water management infrastructure fails or is unable to protect their fields. If farmers measure and disseminate information about salinity variability in their immediate environment in cooperation with local authorities, communities can make collective decisions and put strategies in place to minimize the risks of salinity intrusion in their rice fields. A real-time salinity monitoring and advisory service in selected salinity-affected communities is needed."
56,"Develop/improve early warning systems","EAP_Lowland_Rice","Adaptation option","Political capital ","Research and development, technology","The development of an improved climate monitoring and early warning system should be prioritized to help mitigate negative impacts induced by climate change in the Mekong Delta. These can also be used to disseminate technical advisories for drought and salinity preparedness, and recommended adaptation measures (e.g. cut-off dates for rice transplanting/sowing or rearing shrimp, suitable drought and saline tolerant varieties, appropriate farming techniques and practices)."
57,"Build capacity on usage of climate information","EAP_Lowland_Rice","Adaptation option","Political capital ","Capacity building, research and development, community level, network dependent","The capacity of agencies to provide accurate information for drought and salinity forecasting and early warning systems is limited. This is aggravated by poor mechanisms for coordination, sharing of data and standardization of collected data among relevant ministries, line departments, local authorities, farmers and water users. For example, different teams from provincial departments are doing the roving monitoring of water quality in the provinces, but data from these teams could not combined with salinity monitoring at commune levels because of problems in coordination and inconsistence in monitoring methods. "
58,"Improve interprovincial interventions","EAP_Lowland_Rice","Adaptation option","Political capital ",,"In the MRD, agriculture production of adjacent provinces is interlinked to each other through their land use decisions, water sharing scheme, and farming practice. For example, water holding strategy of upstream provinces may lead to water shortages in downstream regions, or improper shrimp farming techniques of coastal regions may result in intrusion of saline water in rice lands."
59,"Develop policies for building climate change resilience","EAP_Lowland_Rice","Adaptation option","Political capital ","climate smart agriculture, institutions and policy"," For sustainable rice production in the system, changing cropping calendar and system cannot be done alone but have to be implemented together with structural measures, water saving technologies, tolerant varieties, and policy and institution. "
60,"Improve access to input/output markets","EAP_Lowland_Rice","Adaptation option","Financial capital","Finance, technology ","Maintaining rice production under the increasing impact of climate change, reducing input costs through large scale mechanization and irrigation management and ensuring the stable market price are the major priorities of the farmers, managers and policy makers."
61,"Farmers engaged in agri system","EAP_Lowland_Rice","Exposure ",,"Area of land ","The MRD covers an area of about 39,000 km. With a total population of 17.5 million people (about 19% of the national population). The total area of agricultural land in the MRD is 2.6 million hectares. With this land resource, the region produces about 50% of the total amount of food in Vietnam and ensures food security and livelihoods for approximately 70% of the region’s population."
62,"Area of land used","EAP_Lowland_Rice","Exposure ",,"Area of land ","The MRD covers an area of about 39,000 km. With a total population of 17.5 million people (about 19% of the national population). The total area of agricultural land in the MRD is 2.6 million hectares. With this land resource, the region produces about 50% of the total amount of food in Vietnam and ensures food security and livelihoods for approximately 70% of the region’s population."
63,"Food insecurity","EAP_Lowland_Rice","Risk",,"Food insecurity,socioeconomic","The rice production system that has a significant role in food security of the country, is increasingly under pressure from climatic related impacts. The Mekong River Delta contributes more than a half of the total domestic rice production and more than 90% of Vietnam’s rice export annually."
64,"Loss of livelihoods ","EAP_Lowland_Rice","Risk",,"socioeconomic"," Coastal induction and saline intrusion are increasing the putting the framers at risks of losing harvests thus impacting on their livelihood"
65,"Chronic poverty ","EAP_Lowland_Rice","Risk",,"socioeconomic","Average household incomes are low and poverty is extensive and severe in many areas.The drought and saltwater intrusion has made hundreds of thousands of families more serious, while most of them are already living under poverty line."
66,"Increase in frost events","EAP Temperate Mixed","Hazard","Maritime related","Maritime Related","Northern Subsystem is characterized by severe frosts in winter."
67,"Shorter growing season","EAP Temperate Mixed","Hazard","Season related","Season Related",
68,"Increase in extreme rainfall events","EAP Temperate Mixed","Hazard","Rainfall related","Rainfall Related","Both the Loess Plateau and the Northern Sub-System are characterised by rainfall being concentrated in the summer months."
69,"Increase in hailstorms","EAP Temperate Mixed","Hazard","Maritime related","Maritime Related","Most storms form in the summer between June and November and the islands of the Philippines are generally the hardest hit."
70,"Increase in tropical cyclones/hurricanes","EAP Temperate Mixed","Hazard","Maritime related","Maritime Related","The region actually has more tropical cyclone activity than anywhere else on Earth."
71,"Rising sea levels","EAP Temperate Mixed","Hazard","Maritime related","Maritime Related","The region including contries with this agri system experience sea level rise."
72,"Increase in drought events","EAP Temperate Mixed","Hazard","Season related","Season Related","Most parts of East Asia including those with temperate mixed systems are regularly hit by droughts. Though starting slowly, droughts can have devastating cumulative impacts – striking hardest at the poor and heightening inequality, as well as degrading land and reduced crop production.Following the 2015–2016 El Niño-induced drought, the total rice production fell to 27 million tonnes, the lowest since 2000."
73,"Increase in strong winds","EAP Temperate Mixed","Hazard","Wind related","Wind related","Most parts of the region experiences an important climatic phenomenon  called monsoon which is generated by a reversal of winds."
74,"Increase in average temperatures","EAP Temperate Mixed","Hazard",,,
75,"Land degradation","EAP Temperate Mixed","Impact","Biophysical","Biophysical","Shifting cultivation throughout Asia is coming under increasing population  resulting in shortened fallow cycles and resulting resource degradation."
76,"Reduced crop productivity/failure","EAP Temperate Mixed","Impact","Biophysical","Biophysical","There is reduced crop productivity in the Northern Sub-System, because cropping is possible only during the summer.Wheat and other cereals are grown concurrently and compete for cultivated land,leading to lower Yields. "
77,"Shorter growing seasons","EAP Temperate Mixed","Impact","Biophysical","Biophysical","Shorter growing season especiall in the Northern Sub-System, because climate only permit cropping during summer."
78,"Increase in crop productivity/yields","EAP Temperate Mixed","Impact","Biophysical","Biophysical","In the Loess Plateau subsystem, wheat is the main winter crop and its Yields have risen dramatically since 1970 and even in the last decade have achieved 2.7 percent annual growth.Also, maize is projected to double by 2030."
79,"Increased flooding","EAP Temperate Mixed","Impact","Biophysical","Biophysical","2011 Bangkok flood caused 41 billion USD damage. In Vietnam, floods significantly affect rice production, the economy, and people's lives."
80,"Increased incidence of bushfires","EAP Temperate Mixed","Impact","Biophysical","Biophysical","The region experienced an unprecedented 2019-2020 wildfire season in eastern Australia that led to severe smoke pollution.  More than 10 million hectares of land were burned, and some 33 people killed, along with millions of animals, while over 3,000 homes were destroyed."
81,"Flash floods","EAP Temperate Mixed","Impact","Biophysical","Biophysical",
82,"Reduced livestock productivity","EAP Temperate Mixed","Impact","Biophysical","Biophysical",
83,"Livestock mortalities","EAP Temperate Mixed","Impact","Biophysical","Biophysical",
84,"Unpredictable planting period","EAP Temperate Mixed","Impact","Biophysical","Biophysical",
85,"Shorter growing seasons","EAP Temperate Mixed","Impact","Biophysical","Biophysical","Northern Subsystem only permits growing of crops during summer, hence the shorter growing season."
86,"Increase in diseases","EAP Temperate Mixed","Impact","Biophysical",,
87,"Crop stress/damage/mortality","EAP Temperate Mixed","Impact","Biophysical",,
88,"Soil erosion","EAP Temperate Mixed","Impact","Biophysical",,
89,"Landslide events","EAP Temperate Mixed","Impact","Biophysical",,
90,"Damage to infrastructure","EAP Temperate Mixed","Impact","Biophysical",,
91,"Increase in food insecurity","EAP Temperate Mixed","Impact","Socioeconomic","Socio-economic","Food insecurity-In the Northern Sub-System  because cropping is possible only during the summer, wheat  and other cereals are grown concurrently and compete for cultivated land leading to  lower yields due to adverse climatic conditions.Low wheat and ceareal production leads to food insecurity."
92,"Increase in food prices","EAP Temperate Mixed","Impact","Socioeconomic","Socio-economic","Increase in food prices due to competition from imported goods."
93,"Loss of income","EAP Temperate Mixed","Impact","Socioeconomic","Socio-economic","Households in the region have small farm size , leading to low family income."
94,"Increase in poverty","EAP Temperate Mixed","Impact","Socioeconomic","Socio-economic","The region experience modest poverty levels due to low average incomes. East Asia & Pacific poverty rate for 2019 was 22.60%, a 2.1% decline from 2018."
95,"Increase in migration","EAP Temperate Mixed","Impact","Socioeconomic","Socio-economic","Increasing migration to cities in China has created labour shortages at crucial times in the farming calendar."
96,"Increase in malnutrition","EAP Temperate Mixed","Impact","Socioeconomic","Socio-economic",
97,"Competition for resources","EAP Temperate Mixed","Impact","Socioeconomic","Socio-economic",
98,"Increase in livestock mobility","EAP Temperate Mixed","Impact","Socioeconomic",,
99,"High poverty levels ","EAP Temperate Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Finance","The agrisystem is vulnerable to  moderate poverty levels."
100,"Crop is highly susceptible to diseases ","EAP Temperate Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Pest and diseases","Maize and wheat are vulnerable to diseases which affect reproduction."
101,"Animal/breed is highly susceptible to diseases ","EAP Temperate Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Pest and diseases","The animals are showing clinical signs of disease and are more susceptible to heat stress in East Asia and Pacific"
102,"Reliance on rainfed agriculture","EAP Temperate Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Weather and environment","12 to 93% of the people live in rainfed areas, and 26 to 84% of the arable land and 5 to 41% of the agricultural output comes from these areas. It is estimated that 70 to 90% of the ruminant livestock (buffaloes, cattle, goats and sheep) are found in the rainfed mixed farms."
103,"Inadequate climate information services","EAP Temperate Mixed","Vulnerability","Institutions and policies","Capacity Building","Smallholder farmers especially in the rural areas do not have adequate information on climate change. "
104,"Low access to markets","EAP Temperate Mixed","Vulnerability","Economic, financial and markets","Infrastructure","Pacific island countries need to invest in niche markets, upgrade their transport infrastructure, and improve access to trade to foster sustainable economic growth."
105,"Unstable commodity prices","EAP Temperate Mixed","Vulnerability","Economic, financial and markets","Governance","Demand pressure for pulses led to the  increase in their relative price index. In East Asia, the relative increase in the prices of pulses was much higher than of other basic food, such as cereals and beef. For example, during 1981-2001, pulses price index in India drifted 32% higher compared to wheat prices index."
106,"High prevalence of land degradation","EAP Temperate Mixed","Vulnerability"," ""Sensitivity/susceptibility to harm""","Weather and environment","The capacity of the regions environment to sustain economic growth and livelihoods across the region is under serious threat from wasteful resource use and depletion, widespread ecosystem degradation and pollution, and human-made climate change. "
107," ""Cultivation area prone to frost""","EAP Temperate Mixed","Vulnerability"," ""Sensitivity/susceptibility to harm""","Weather and environment","Climate calamities often live in areas prone to natural disasters such as frost. More frequent extreme events will create both a humanitarian and a food crisis."
108," ""Frequent bushfires""","EAP Temperate Mixed","Vulnerability"," ""Sensitivity/susceptibility to harm""",,
109,"Lack of irrigation infrastructure ","EAP Temperate Mixed","Vulnerability","Lack of capacity to cope and adapt","Infrastructure","The region is vulnerable to inadequate irrigation facilities."
110,"High poverty levels ","EAP Temperate Mixed","Vulnerability","Lack of capacity to cope and adapt","Finance: Location specific","Seventy-five percent of the people living in rural East Asia and the Pacific are poor and struggling to afford food."
111,"Reliance on rainfed agriculture","EAP Temperate Mixed","Vulnerability","Lack of capacity to cope and adapt","Weather and environment","About 43 to 88% of the human population depends on agriculture for their livelihoods, of which 12 to 93% of the people live in rainfed areas in the region."
112,"Low access to credit","EAP Temperate Mixed","Vulnerability","Lack of capacity to cope and adapt","Finance","Financial inclusion is relatively low in Asian communities."
113,"Lack of willingness to invest in sustainable agricultural practices","EAP Temperate Mixed","Vulnerability","Lack of capacity to cope and adapt",,
114,"Animal/breed is highly susceptible to pests","EAP Temperate Mixed","Vulnerability","Lack of capacity to cope and adapt",,
115,"Implement reforestation practices","EAP Temperate Mixed","Adaptation option","Natural capital","Ecosystem; Community level; Policy level","The Asia–Pacific region is particularly vulnerable to climate change given its large population, high biodiversity, and large number of forest-dependent communities and therefore the need for reforestation practices."
116,"Structural adjustments","EAP Temperate Mixed","Adaptation option","Physical capital","Institutions and policy; Policy level;  Partnership required","Developing economies across East Asia and Pacific are undergoing an important set of structural and demographic changes i.e fast growth rates have coincided with urbanization, population ageing and accelerated structural transformation out of agriculture."
117,"Invest in road infrastructure","EAP Temperate Mixed","Adaptation option","Physical capital","Infrastructure; Network dependent","Developing Asia will need to invest $26 trillion from 2016 to 2030,  per year, if the region is to maintain its growth momentum,levels of investment in infrastructure are not sufficient, and additional resources for infrastructure investments need to be found."
118,"Invest in irrigation infrastructure","EAP Temperate Mixed","Adaptation option","Physical capital",,
119,"Invest in water harvesting and storage infrastructure","EAP Temperate Mixed","Adaptation option","Physical capital",,
120,"Improve climate change awareness","EAP Temperate Mixed","Adaptation option","Human capital","Capacity Building; Community level; Network dependent","Monitoring systems have been put in place in the region for several decades and have helped to minimize the impacts from these powerful storm systems caused by climate change."
121,"Diversify livelihoods","EAP Temperate Mixed","Adaptation option","Human capital","Finance: Farmer level","Diversification of farmers’ income sources beyond agriculture can be an effective way to cope with the adverse impacts of environmental chane."
