"Farming system",Macro region,"Agro-ecological zone","Total area (m ha) ","Cultivated area (m ha)","Cattle population (m head)","Irrigated area (m ha)","Total population (m)","Agricultural population (m)","Farm size (ha)","Irrigated/rainfed","Description"
"Highland Mixed (MENA)",,"Semiarid - subhumid","74",,,,,,"4","Rainfed","The highland mixed farming system  covers an area of 74 million ha. The annual rainfall experienced is between 200 and 800mm and the agrisystem falls under the semiarid - subhumid agroecological zone. The system depends upon the exploitation of high altitude arable and common grazing lands where cold winters lead to dormancy or very slow growth of crops and fodder species. There is a strong interaction between crop and livestock production (Dixon et al., 2001)

Climate change and increased temperatures impact the agrisystem and the associated water towers would become more fragile, with reduced water yield, recurrent drought and extreme events. There is a need for collective action for coordinated management of upstream and downstream systems for mutual benefit. Investment is required to enhance productivity to feed the growing population while maintaining/improving the ecosystem services. Targeted support is needed for system integration and resilience, including policies and strategies to add value and link mountain produce with niche markets, thereby facilitating positive livelihood change (Dixon et al., 2001)

The highland mixed farming system contains very fragile ecosystems, where rural poverty is high and about 37 per cent of the population lives on a daily income of less than $1.25USD per day. The mountainous areas are usually far away from government power and receive limited policy attention. Besides climate change risks, the system is prone to water erosion. Deforestation has been a major cause of resource degradation, reduced crop and livestock productivity, and reduced water yields. On the other hand, this system has high potential, with high rainfall, a favourable climate, distinct biodiversity and opportunities for green energy. A well-managed highland system would benefit downstream communities and beyond: economic growth and sustainability of downstream systems depend hugely on resources coming from the mountains (Dixon et al., 2001)"
"Rainfed Mixed (MENA)",,"Dry-moist subhumid","17"," "," "," "," "," ","5","Rainfed ","The rainfed mixed farming system in Middle East and North Africa supports one fifth of all farm households within the region covering an area of 17 million ha, giving rise to population densities similar to those of the irrigated system. Producers are typically owner-occupiers or tenants. Annual rainfall is between 300 and 1000 mm and the growing period ranges from 180 to 365 days. A wide diversity of crops and trees are grown in well-established patterns around settlements. The rainfed mixed farming system falls under the dry-moist subhumid agro-ecological zone (Dixon et al., 2001).

Many farms are intensively capitalised with a high level of inputs, and farmers are very sensitive to market opportunities. There are a number of specialised dairy and poultry enterprises within the system. In the drier areas, cereals become more dominant and there is often a greater interdependence among farming families who frequently share resources and equipment. Farm systems are diversified and there is a seasonal interaction with livestock (mainly sheep and goat) owners in the use of crop residues and other fodder (Dixon et al., 2001).

A typical system farm manages about five ha in several parcels of land of different quality around the village. Cereals (about three ha) and legumes are managed collectively in blocks to aid mechanisation of operations and post-harvest grazing management. The farm has small areas of olives, fruits and vines. A cow and a few sheep are kept around the village. Off-farm income is substantial, mostly from seasonal employment in the city (Dixon et al., 2001).

The principal trends and issues concern the poor access to quality land faced by increasing numbers of small farmers; soil erosion on slopes during rainstorms and erosion by wind on light, over-cultivated, exposed soils; and increasing attempts by farmers to diversify crops. Strategies and policies of research and extension institutions are not addressing the main needs of small farmers. Other trends include the decreasing proportion of wheat and the greater use of legumes in the rotation, increasing farm size and mechanisation (including the rapidly rising use of supplementary irrigation), migration to urban areas and growing dependence on off-farm income to secure food and livelihood security. Women are becoming increasingly marginalised in the production process and their labour is being progressively displaced, as men dominate the mechanisation processes for all the main crops (Dixon et al., 2001)."
"Rainfed Mixed ",,"Dry Subhumid",,,," "," "," ","3","rainfed","The Rainfed Mixed Farming System covers nearly 30 percent of the land in South Asia, almost entirely within Central and Southern India, although there is a small area in Northern Sri Lanka. The total area under the rainfed mixed farming system is 147 m ha. The system is under the dry subhumid agroecological zone. The system is not supported by any large irrigation system, but in many instances relatively small areas irrigated from tanks reduce vulnerability to drought and permit dry season cropping. This traditional tank-based supplemental system has been further enlarged in recent decades by the use of tubewells (Dixon et l., 2001)

Livestock are an important part of the farming system - which supports the largest share of cattle, sheep and goats in the region - and they usually provide the major part of the farm family's cash income, particularly through sales of adult animals or young stock, since most areas are too remote for commercial milk production. As infrastructure improves, however, dairy production is becoming more important in some areas. There is also production of cereals, legumes and fodder which is also dominant in the Agrisystem (Dixon et al., 2001)

Since the farming system depends for its survival on rainfall and possibly groundwater, appropriate measures are required in the upper catchments to make sure that tree cover is adequate to reduce run-off and to encourage infiltration and percolation that can recharge local aquifers. Improvements to the system will require inputs from a spectrum of disciplines, including irrigation engineering, forestry, fodder production, livestock husbandry and horticulture, in addition to traditional arable crop agronomy. The introduction of horticulture and fruit crops has historically been constrained by remoteness from markets. This can be overcome in areas where there is some comparative advantage for fruit and vegetable production, if private sector interest in establishing processing plants can be generated (Dixon et al., 2001)

Some research stations claim to have developed packages of practices suitable for this rainfed farming system. In general, adoption of these recommendations is disappointingly low, but this can be explained by farmer's aversion to risk, or by shortage of labour or other resources to implement improvements. Successful projects or programmes of assistance need to have a wider focus, rather than merely being concentrated on agriculture-related measures. Provision of reliable drinking water is generally the first priority need in these areas. Other social services including health clinics and primary schools, are also normally lacking (Dixon et al., 2001)"
"Rice-wheat (SA)",,"Dry subhumid","97"," "," "," "," "," ","5,6","Irrigated ","The rice–wheat agricultural system extends from Northern Pakistan, through the Indo-Gangetic Plain and the Terai region of Nepal, the Gangetic Plain in Uttar Pradesh, Bihar and West Bengal, and culminates in Northwest Bangladesh (Dixon et al., 2001). Around 85% of the agricultural system is located within the Indo-Gangetic Plain (Dhanda et al., 2022). It is the largest agricultural system in the world, occupying around 12.3M ha in India, 0.5M ha in Nepal, 2.2M ha in Pakistan and 0.8M ha in Bangladesh (Bhatt et al., 2016; Mishra et al., 2021).  The system is characterised by a summer (monsoon-season) wetland rice crop and a winter (cool, dry season) wheat crop, which is occasionally followed by a short springtime vegetable crop. The agricultural system also contains large populations of cattle, sheep and goats which graze on crop residues and return to the uplands during the cropping season (Dixon et al., 2001). Rice-wheat production is an important livelihood source for millions of farmers in the region and feeds over a billion people (Arshad et al., 2016).

Rice is conventionally grown by manually transplanting seedlings (aged 25–30 days) into puddled soil during the wet season (June to October). Puddling requires 200-250 mm of water (Rashid et al., 2018).  In winter (November-March), wheat is grown with repeated dry tillage and broadcasting of wheat seeds (Paudel et al., 2020). After the wheat crop is harvested, fields are left fallow for summer (April-June). Summer ploughing is undertaken to destroy weeds (Mishra et al., 2021). Residue from the rice crop interferes with tillage and sowing operations of
the successive wheat crop, and so farmers tend to burn it. Irrigation using groundwater is common in the agricultural system. The rapid expansion in the number of private tubewells in conjunction with difficulties surrounding the regulation of water use has led to depleted aquifers and the lowering of groundwater tables (Bhatt et al., 2021; Dixon et al., 2001; Mishra et al., 2021).  For example, in some parts of Pakistan and India, groundwater tables are declining by 1.0–3.5 m and 6 m/ annum, respectively. The rice-wheat agricultural system is water, labour and energy intensive (Ullah et al., 2021). 

Within the agricultural system, poverty and food insecurity are widespread, affecting mainly landless agricultural workers and sharecroppers (Dixon et al., 2001). For example, smallholder farmers in the Indo-Gangetic Plain generate per capita incomes of USD 835 per household per annum (national (India) average of USD 1,256)(Mishra et al., 2021). Poverty and food insecurity are expected to worsen as the yields of the rice-wheat agricultural system are declining. The declining yields have been attributed to unsustainable farming practices, slow maturing traditional varieties, soil degradation, decreasing groundwater levels, increasing average temperatures, high prevalence of invasive plant species and outbreaks of pests and diseases. Due to the high demand for labour, water, and energy, the sustainability of the rice-wheat agricultural system is now under question.
"
"Rice (SA)",,"Humid","36"," "," "," "," "," ","0,65","Rainfed and irrigated","The rice agricultural system covers approximately 7% of South Asia, comprising areas in Southern Bangladesh and South Punjab, coastal zones in Tamil Nadu and Kerala and Sri Lanka. The system is diverse, transitioning to the rice-wheat system to the north, and the southern areas integrate aquaculture, and large numbers of cattle and poultry. Most farmers are tenants and sharecroppers who farm small areas of land (0.3 ha to 1 ha), with a few medium to large owner-operated farms ranging from between 4 ha to greater than 10 ha in size (Dixon et al., 2001). 

Rice is grown in the wet season, with a second rice crop, or a less water-intensive crop such as coarse grains, oil seeds, legumes or vegetables cultivated in the dry season (Dixon et al., 2001). Supplementary irrigation is applied in the monsoon season and full irrigation in the dry season.
 
Off-farm employment is common due to proximity to urban areas and is important for ensuring household food security. In general, extension services are well established due to the importance of rice as a food staple and production areas being easily accessible (Dixon et al., 2001). The uptake of improved seed has been slow, this is mainly due to its poorer taste, inaccessibility, lower tolerance to early or late transplanting, and only marginal increases in yield. The agricultural system also integrates significant numbers of cattle including dairy animals (due to the proximity to large urban centres). Fodder is limited so cattle are fed paddy straw (Dixon et al., 2001).

Households tend to depend on incomes from rice production, and so are vulnerable to fluctuating yields and losses in flood and cyclone prone areas. The vulnerability of smallholder farmers is high due to a lack of access to government safety nets and inadequate employment guarantee schemes. Poor smallholder farmers are often as vulnerable as landless rural workers (Dixon et al., 2001)."
"Agropastoral",,"Tropical warm semi-arid","443","66,45","72,1","8,86","193,9","98,4"," ","Rainfed;Irrigated","The agropastoral farming system is predominant in the semi-arid regions of western, central, eastern and southern Africa covering twenty-five African countries. The system extends over 443 million ha and hosts a population of about 193 million people (Dixon et al., 2020). The sub systems support extensive livestock production, game ranching and drought tolerant crops such as sorghum and millets (Dixon et al., 2020).
The system is characterized by high climate variabilities including high temperatures, unpredictable rainfall and prolonged drought (Dixon et al., 2020; CIAT and USAID, 2016; Tremblay, 2016; UNHCR, 2022; Herrero et al., 2016; Kandji et al., 2006; Kirby, 2022).  These climatic risks significantly increase crop failure and reduced livestock productivity (Thornton et al., 2009; Dixon et al., 2020; Herrero et al., 2016). The climate risks coupled with other vulnerabilities increase competition for and this shapes local land management systems and livelihoods (Dixon et al., 2020; Herrero et al., 2016). 
 Other challenges affecting the system include high population growth rates, land use saturation, decline of fallowing practices, large youth employment gaps, climate change, as well as land and resource access and tenure constraints especially for women (Thornton et al., 2009; Dixon et al., 2020; Herrero et al., 2016).  "
"Cereal-root crop mixed (SSA)",,"Tropical warm subhumid","202","33,6","29","0,27","85","43","4.3","Rainfed","The cereal-root crop mixed farming system  extends in a band across central Africa from Senegal and Guinea through northern Côte d’Ivoire to Ghana, Togo, Benin, Nigeria, northern Cameroon, the southern part of Chad, across the northern part of Central African Republic and southern Sudan (Amir Kassam et al., 2022).
The farming system has a warm tropical climate, an annual rainfall of 800 to 1200 mm, and a length of growing period ranging from 150 to 240 days. There is considerable excess of rainfall over evapotranspiration during the growing period so that the risk of severe drought is relatively low. However, devastating droughts have occurred in the past in the dry sub-humid parts of the zone, such as in 1930, 1972 and more recently.
The farming system is located between the agropastoral farming system to the north with rainfall less than 800 mm, and the root crop farming system to the south with more than 1200 mm rainfall. In Dixon et al., (2001), the cereal-root crop mixed farming system occurred in parts of southern, central and eastern Africa. However, as farmers increased the area of maize in the system during the period 2000–2015, in some areas the cereal-root crop mixed farming system has evolved into the maize mixed farming system while still retaining some small pockets with cassava, sweet potato, sorghum and millet (Dixon et al., 2001; FAO 2008) .
In 2015 the total population of the cereal-root mixed farming system was 84.8 million, representing rapid annual growth since 2000, and estimated to grow to about 168 million by 2040. Approximately 50 per cent of the population were involved in agriculture. Total cultivated area was 33.6 million ha, of which cereals (sorghum, millet, maize and rice) constituted two-thirds of the total, while root and tuber crops (cassava, sweet potato, yam) amounted to nearly 3 million ha.
In most of the countries, the farming system is regarded as the ‘grain’ belt and is often referred to as the ‘bread basket’. This is because the system has high agroecological potential for crop and livestock production, with the best moisture, solar radiation and thermal regime for tropical cereals such as maize, sorghum and millet (Amir Kassam et al., 2022). "
"Highland temperate mixed",,"Sub humid","53","13","28","0,2","73","44,5","1,6","Rainfed","The highland mixed farming system is predominant in the north-western, eastern, south-western and southern African highlands at an elevation of more than 1700 m above sea level. It covers regions in Morocco, Algeria and Tunisia, Ethiopia, Lesotho, Cameroon, Nigeria, Angola, Eritrea, Mozambique, South Africa and Zimbabwe (Dixon et al., 2020). The highlands are home to 73 million people on about 53 million hectares of land (Dixon et al., 2020). The average farm size is about 1.6 ha per household and about 0.3 ha per person, however the farm size varies with Lesotho and Cameroon reaching 3 ha per head (Shiferaw et al. 2013; Dixon et al., 2020).
The system is characterised by sub humid climate and mountainous and rugged terrain.  The average annual rainfall is 1155 mm and temperatures range from 8–22°C in the lower elevations and 10–12°C in the higher elevations (Dixon et al., 2020).  However Lesotho in the south has a temperate climate with temperatures ranging from −12 to +35°C(Dixon et al., 2020). The highlands are considered good for agricultural production owing to the good soils which are mostly young, well drained and deep.
 Crop and livestock production are the dominant livelihood practices across all the highlands. Subsistence crop and livestock practices are common in most areas and only few pockets are commercially oriented (Dixon et al., 2020). The system is sub-divided into four sub-systems namely; highland livestock-cereal, highland wheat-pulse, highland maize-based and highland mixed North African which are majorly differentiated by socioeconomic and agroecological factors (Dixon et al., 2020). 
Despite the high agricultural potential, the system is characterised by limited human and financial capital, low input use, poor market access and inadequate infrastructure (Dixon et al., 2020; Herrero and Thornton 2011). Other constraining factors include; high population density and growth, severe soil erosion, farm fragmentation, a declining land holding per capita, declining soil fertility and overstocking (Dixon et al., 2020)."
"Highland Perennial",,"Tropical cool subhumid","39,3","8"," ","0,77","82,5","61","0,7","Rainfed;Irrigated","The highland perennial system is characterised by a mountainous terrain. The system is essentially located in tropical cool subhumid zones in East Africa covering Congo (DRC), Rwanda, Burundi, Uganda, Tanzania, Kenya and Ethiopia.  The system is suitable for crops such as horticulture, floriculture, coffee and tea, as well as for dairy (CIAT, 2011; Dixon et al., 2020).  The system is divided into six sub-systems namely; southern Ethiopia, Albertine Rift, northern Tanzania and southern Tanzania, central Kenya and western Kenya.
The average farm size per household is 0.7 ha but this varies across the subsystems. Human population is over 80 million and the population density is associated with the declining average farm size (Dixon et al., 2020). Southern Ethiopia is the most densely populated while Southern Tanzania is the least populated (Dixon et al., 2020). Over 50% of the population is classified as poor and is highly vulnerable to climate change impacts (Dixon et al., 2020; FAO, 2015).
  The system contributes significantly to rural economy, but its growth is limited by declining farm sizes. Potential pathways for the system include intensification and as well market integration and commercialisation (Dixon et al., 2020; FAO, 2015). Thus, there are opportunities for improving productivity in the highland perennial system although the system will continue being largest source of rural-urban migration in East Africa (Dixon et al., 2020)."
"Mixed Maize",,"Tropical subhumid","361","40","36","1,9","181","107","2,1","rainfed; irrigated","The maize mixed farming system is predominant in the sub-humid agroecological zone of eastern, central and southern Africa.  The system extends across plateau and highland areas at altitudes of approximately 800 to 1500 metres, from Ethiopia, Kenya and Tanzania to Zambia, Malawi, Zimbabwe, South Africa, Swaziland and Lesotho with low altitude extensions into central Africa (including the Democratic Republic of Congo (DRC)) and Madagascar.
In addition to maize, the sub-humid agroecological system supports livestock production, trees, tuber crops and cash crops (Dixon et al., 2020).  Cash crops include coffee, tobacco, cotton, groundnuts, vegetables and livestock products. The system hosts an agricultural population of over over 100 million with an average holding of 2.1 ha. (Dixon et al., 2020). Despite the system being referred as the food basket and a driver of rural economic growth, poverty prevalence is higher than in other farming systems in Africa.
Market access is reasonable for many areas, and this supports commercialisation of the surplus produce. Cultivation is also increasingly becoming mechanised even though use of hands hoes and animal draught are also common practices (Dixon et al., 2020).
 The system is affected by land degradation due to poor management practices and prolonged use of inorganic fertilisers.  Climatic hazards particularly increase in temperatures and decline in precipitation are associated with reduced yields of maize and other crops, especially in southern Africa (Dixon et al., 2020; Verhage et al., 2018; USAID, 2016). Agricultural intensification and diversification as well as improve policy and institution environment can potentially improve the productivity of this system ((Dixon et al., 2020).; CIAT and World Bank, 2017)"
"Pastoral ",,"Tropical warm arid","488","34,16",,"0,0976","77","38","2","Rainfed","The Africa pastoral system is found in the Sahel, eastern africa, southern Africa and northern Africa in Moroccco, Tunisia, Egypt, Libya, Senegal, N.Nigeria,N. Cameroon, Mauritania, Mali, Niger,Sudan, Eritrea, Djibouti,Somalia, Ethiopia, Kenya,Namibia, Botswana and South Africa.
 The system consists of livestock and drylands crop-based production that supports an agricultural population of 38 million (Dixon et al., 2020). Poverty affects about 40% of the average per capita livestock holdings is TLU 0.97 in the Sahel, 0.61 in eastern Africa and 1.50 in southern Africa (Dixon et al., 2020; Zougmore et al., 2016).
In addition, human population growth drives pastoral poverty, as many pastoralists have insufficient livestock to sustain a livelihood based on livestock only (Dixon et al., 2020). Intensification, market opportunities and opportunities outside the system such as education and job creation could benefit the poor. 
Climate change impacts the system in various ways and extreme drought events exacerbate the vulnerability of the pastoral populations (Funk et al., 2012; Zougmore et al., 2016; Thornton et al., 2009; Filho et al., 2020).  Other non-climatic factors include underdeveloped markets, weak land tenure and water management policies (Dixon et al., 2020; OECD, 2008). "
"Root Crop",,"Tropical warm humid","236","22,5",,"0,15","112","50",,"irrigated; rainfed","The root and tuber crop farming system found in humid and sub-humid areas of west and central Africa covering Sierra Leone, Côte d’Ivoire, Ghana, Togo, Benin, Nigeria, Cameroon, Central African Republic, Gabon, the Republic of Congo, Democratic Republic of Congo (DRC), Angola and Tanzania.  The dominant crops are cassava and yam, but also has some tree crops (e.g. oil palm, cocoa, rubber, cashew and mangoes), cereals (e.g. rice, maize, sorghum and millet) but few livestock (Dixon et al., 2020). 
Approximately 30 per cent of all cassava grown and marketed in Africa is cultivated in the root and tuber crop farming system and it’s the most important food staple in nearly two-thirds of the countries in Africa (Sagoe, 2006; USAID, 2017; Dixon et al., 2020; Ferraro et al., 2015).

Though in early stage of development, the farming system is highly diverse and complex with stable and relatively high potential food productivity (Dixon et al., 2020).  The system mainly focused on subsistence farming household food security.  Total cultivated area is nearly 23 million ha, of which little is irrigated. Markets are generally poorly developed and farm sizes are usually less than 2 ha (Dixon et al., 2020).  The root and tuber crops are mainly produced and processed by women.  Land tenure security for especially women limits credit and investments in the system.
The root and tuber crop farming system occupies a total estimated area of 236 million ha,and supports about 112 million people. Population growth is high and extreme poverty is relatively high; about half the rural population live on less than US$1.25 per day (Sagoe, 2006; Dixon et al., 2020)."
