"Farming system",FS macro region,"Location: Countries (M49-code)"
"Coastal plantation and mixed ",LAC,"862"
"Dryland mixed",LAC,"76"
"Dryland mixed",LAC,"484"
"Forest based Livestock ",LAC,"862"
"Forest based Livestock ",LAC,"328"
"Forest based Livestock ",LAC,"076"
"Forest based Livestock ",LAC,"068"
"Forest based Livestock ",LAC,"604"
"Forest based Livestock ",LAC,"218"
"Forest based Livestock ",LAC,"170"
"High Altitude Mixed (C. Andes)",LAC,"32"
"High Altitude Mixed (C. Andes)",LAC,"68"
"High Altitude Mixed (C. Andes)",LAC,"152"
"High Altitude Mixed (C. Andes)",LAC,"218"
"High Altitude Mixed (C. Andes)",LAC,"604"
"Irrigated",LAC,"484"
"Irrigated",LAC,"152"
"Irrigated",LAC,"604"
"Irrigated",LAC,"032"
"Maize Mixed ",LAC,"320"
"Maize Mixed ",LAC,"188"
"Maize Mixed ",LAC,"558"
"Maize Mixed ",LAC,"340"
"Maize Mixed ",LAC,"222"
"Maize Mixed ",LAC,"484"
"Maize Mixed ",LAC,"591"
"Maize Mixed ",LAC,"084"
"Dryland mixed",MENA,"504"
"Dryland mixed",MENA,"012"
"Dryland mixed",MENA,"788"
"Dryland mixed",MENA,"434"
"Dryland mixed",MENA,"400"
"Dryland mixed",MENA,"760"
"Dryland mixed",MENA,"368"
"Dryland mixed",MENA,"364"
"Highland Mixed",MENA,"887"
"Highland Mixed",MENA,"788"
"Highland Mixed",MENA,"364"
"Highland Mixed",MENA,"504"
"Rainfed Mixed",MENA,"012"
"Rainfed Mixed",MENA,"422"
"Rainfed Mixed",MENA,"504"
"Rainfed Mixed",MENA,"760"
"Rainfed Mixed",MENA,"368"
"Rainfed Mixed ",SA,"356"
"Rainfed Mixed ",SA,"144"
"Rice-Wheat",SA,"356"
"Rice-Wheat",SA,"586"
"Rice-Wheat",SA,"524"
"Rice-Wheat",SA,"050"
"Rice",SA,"050"
"Rice",SA,"144"
"Rice",SA,"356"
"Agro-Pastoral Millet/Sorghum",SSA,"24"
"Agro-Pastoral Millet/Sorghum",SSA,"72"
"Agro-Pastoral Millet/Sorghum",SSA,"854"
"Agro-Pastoral Millet/Sorghum",SSA,"120"
"Agro-Pastoral Millet/Sorghum",SSA,"148"
"Agro-Pastoral Millet/Sorghum",SSA,"232"
"Agro-Pastoral Millet/Sorghum",SSA,"231"
"Agro-Pastoral Millet/Sorghum",SSA,"270"
"Agro-Pastoral Millet/Sorghum",SSA,"404"
"Agro-Pastoral Millet/Sorghum",SSA,"466"
"Agro-Pastoral Millet/Sorghum",SSA,"478"
"Agro-Pastoral Millet/Sorghum",SSA,"516"
"Agro-Pastoral Millet/Sorghum",SSA,"562"
"Agro-Pastoral Millet/Sorghum",SSA,"566"
"Agro-Pastoral Millet/Sorghum",SSA,"686"
"Agro-Pastoral Millet/Sorghum",SSA,"706"
"Agro-Pastoral Millet/Sorghum",SSA,"710"
"Agro-Pastoral Millet/Sorghum",SSA,"729"
"Agro-Pastoral Millet/Sorghum",SSA,"834"
"Agro-Pastoral Millet/Sorghum",SSA,"894"
"Agro-Pastoral Millet/Sorghum",SSA,"716"
"Cereal-root crop mixed (SSA)",SSA,"24"
"Cereal-root crop mixed (SSA)",SSA,"204"
"Cereal-root crop mixed (SSA)",SSA,"854"
"Cereal-root crop mixed (SSA)",SSA,"120"
"Cereal-root crop mixed (SSA)",SSA,"140"
"Cereal-root crop mixed (SSA)",SSA,"148"
"Cereal-root crop mixed (SSA)",SSA,"384"
"Cereal-root crop mixed (SSA)",SSA,"180"
"Cereal-root crop mixed (SSA)",SSA,"231"
"Cereal-root crop mixed (SSA)",SSA,"270"
"Cereal-root crop mixed (SSA)",SSA,"288"
"Cereal-root crop mixed (SSA)",SSA,"324"
"Cereal-root crop mixed (SSA)",SSA,"624"
"Cereal-root crop mixed (SSA)",SSA,"450"
"Cereal-root crop mixed (SSA)",SSA,"454"
"Cereal-root crop mixed (SSA)",SSA,"466"
"Cereal-root crop mixed (SSA)",SSA,"508"
"Cereal-root crop mixed (SSA)",SSA,"562"
"Cereal-root crop mixed (SSA)",SSA,"566"
"Cereal-root crop mixed (SSA)",SSA,"178"
"Cereal-root crop mixed (SSA)",SSA,"686"
"Cereal-root crop mixed (SSA)",SSA,"728"
"Cereal-root crop mixed (SSA)",SSA,"729"
"Cereal-root crop mixed (SSA)",SSA,"768"
"Cereal-root crop mixed (SSA)",SSA,"894"
"Highland Mixed",SSA,"24"
"Highland Mixed",SSA,"120"
"Highland Mixed",SSA,"232"
"Highland Mixed",SSA,"231"
"Highland Mixed",SSA,"426"
"Highland Mixed",SSA,"508"
"Highland Mixed",SSA,"566"
"Highland Mixed",SSA,"710"
"Highland Mixed",SSA,"834"
"Highland Mixed",SSA,"716"
"Highland Perennial ",SSA,"108"
"Highland Perennial ",SSA,"180"
"Highland Perennial ",SSA,"231"
"Highland Perennial ",SSA,"404"
"Highland Perennial ",SSA,"646"
"Highland Perennial ",SSA,"834"
"Highland Perennial ",SSA,"800"
"Maize Mixed ",SSA,"72"
"Maize Mixed ",SSA,"140"
"Maize Mixed ",SSA,"180"
"Maize Mixed ",SSA,"231"
"Maize Mixed ",SSA,"404"
"Maize Mixed ",SSA,"454"
"Maize Mixed ",SSA,"508"
"Maize Mixed ",SSA,"516"
"Maize Mixed ",SSA,"729"
"Maize Mixed ",SSA,"728"
"Maize Mixed ",SSA,"748"
"Maize Mixed ",SSA,"834"
"Maize Mixed ",SSA,"800"
"Maize Mixed ",SSA,"710"
"Maize Mixed ",SSA,"894"
"Maize Mixed ",SSA,"716"
"Pastoral",SSA,"24"
"Pastoral",SSA,"72"
"Pastoral",SSA,"148"
"Pastoral",SSA,"232"
"Pastoral",SSA,"231"
"Pastoral",SSA,"404"
"Pastoral",SSA,"466"
"Pastoral",SSA,"478"
"Pastoral",SSA,"516"
"Pastoral",SSA,"562"
"Pastoral",SSA,"566"
"Pastoral",SSA,"706"
"Pastoral",SSA,"729"
"Pastoral",SSA,"834"
"Pastoral",SSA,"732"
"Root Crop",SSA,"24"
"Root Crop",SSA,"204"
"Root Crop",SSA,"854"
"Root Crop",SSA,"108"
"Root Crop",SSA,"120"
"Root Crop",SSA,"140"
"Root Crop",SSA,"384"
"Root Crop",SSA,"180"
"Root Crop",SSA,"288"
"Root Crop",SSA,"324"
"Root Crop",SSA,"508"
"Root Crop",SSA,"566"
"Root Crop",SSA,"646"
"Root Crop",SSA,"694"
"Root Crop",SSA,"728"
"Root Crop",SSA,"834"
"Root Crop",SSA,"768"
"Root Crop",SSA,"894"
