"Resource ID","Resource year","ID"
"['Bell & Taylor","2015","192"
"['Bell & Taylor","2015","199"
"['Bera and Sarkar","2021","1141"
"['Bera and Sarkar","2021","1143"
"['Bera and Sarkar","2021","1145"
"['Bera and Sarkar","2021","1146"
"['Bergmann et al.","2021","483"
"['Bergmann et al.","2021","519"
"['Bergmann et al.","2021","520"
"['Bergmann et al.","2021","521"
"['Bergmann et al.","2021","527"
"['Bergmann et al.","2021","528"
"['Bergmann et al.","2021","559"
"['Bergmann et al.","2021","515"
"['Bergmann et al.","2021","529"
"['Bergmann et al.","2021","530"
"['Bergmann et al.","2021","539"
"['Bergmann et al.","2021","557"
"['Bergmann et al.","2021","558"
"['Bhatla et al.","2019","1026"
"['Bhatla et al.","2019","1027"
"['Bhatla et al.","2019","1028"
"['Bhatt et al.","2016","1050"
"['Bhatt et al.","2016","1051"
"['Bhatt et al.","2016","1066"
"['Bhatt et al.","2016","1029"
"['Bhatt et al.","2016","1031"
"['Bhatt et al.","2016","1037"
"['Bhatt et al.","2016","1039"
"['Bhatt et al.","2016","1041"
"['Bhatt et al.","2016","1045"
"['Bhatt et al.","2016","1046"
"['Bhatt et al.","2016","1052"
"['Bhatt et al.","2016","1053"
"['Bhatt et al.","2016","1054"
"['Bhatt et al.","2016","1056"
"['Bhatt et al.","2016","1058"
"['Bhatt et al.","2016","1067"
"['Bhatt et al.","2016","1071"
"['Bhatt et al.","2016","1084"
"['Bhatt et al.","2016","1085"
"['Bhatt et al.","2021","1072"
"['Bhatt et al.","2021","1031"
"['Bhatt et al.","2021","1051"
"['Bhatt et al.","2021","1053"
"['Bhatt et al.","2021","1056"
"['Bhatt et al.","2021","1067"
"['Bhatt et al.","2021","1073"
"['Bhatt et al.","2021","1074"
"['Bhatt et al.","2021","1075"
"['Biasutti","2019","1570"
"['Biasutti","2019","1571"
"['Biasutti","2019","1573"
"['Biasutti","2019","1163"
"['Bjornlund et al.","2020","1282"
"['Bjornlund et al.","2022","1287"
"['Bjornlund et al.","2022","1340"
"['Bohn et al.","2018","594"
"['Bohn et al.","2018","572"
"['Bohn et al.","2018","573"
"['Bohn et al.","2018","579"
"['Bohn et al.","2018","583"
"['Bongase","2017","1440"
"['Borghesi and Ticci","2019","850"
"['Botchway et al.","2018","1665"
"['Carandang","2010","149"
"['Carandang","2010","151"
"['Carandang","2010","184"
"['Carandang","2010","192"
"['Carandang","2010","212"
"['Carandang","2010","214"
"['Carandang","2010","220"
"['Carandang","2010","222"
"['Carandang","2010","209"
"['CCAFS","2016","2"
"['CCAFS","2016","3"
"['CCAFS","2016","4"
"['CCAFS","2016","9"
"['CCAFS","2016","10"
"['CCAFS","2016","20"
"['CCAFS","2016","51"
"['CCAFS","2016","22"
"['CCAFS","2016","23"
"['CCAFS","2016","27"
"['CCAFS","2016","30"
"['CCAFS","2016","36"
"['CCAFS","2016","37"
"['CCAFS","2016","42"
"['CCAFS","2016","44"
"['CCAFS","2016","46"
"['CCAFS","2016","47"
"['CCAFS","2016","48"
"['CCAFS","2016","49"
"['CCAFS","2016","50"
"['CCAFS","2016","53"
"['CCAFS","2016","54"
"['CCAFS","2016","55"
"['CCAFS","2016","56"
"['CCAFS","2016","21"
"['CDKN","2014","616"
"['CDKN","2014","617"
"['CDKN","2014","618"
"['CDKN","2014","622"
"['CDKN","2014","634"
"['CDKN","2014","648"
"['Cerrato et al.","2022","588"
"['Cerrato et al.","2022","592"
"['Cerrato et al.","2022","607"
"['Chandel et al.","2022","1060"
"['Chapman & Darby","2016","23"
"['Chapman & Darby","2016","34"
"['Chapman & Darby","2016","42"
"['Chapman & Darby","2016","43"
"['Chapman & Darby","2016","53"
"['Chapman et al.","2020","1293"
"['Chapman et al.","2020","1309"
"['Chemura et al.","2020","1650"
"['Chemura et al.","2020","1651"
"['Chemura et al.","2020","1654"
"['Chemura et al.","2020","1680"
"['Chemura et al.","2020","1712"
"['Chemura et al.","2020","1656"
"['Chemura et al.","2020","1700"
"['Chemura et al.","2020","1718"
"['Chemura et al.","2020","1733"
"['Cheserek et al.","2015","1441"
"['Cheserek et al.","2015","1425"
"['Cheserek et al.","2015","1427"
"['Cheserek et al.","2015","1428"
"['Cheserek et al.","2015","1429"
"['Cheserek et al.","2015","1431"
"['Cheserek et al.","2015","1439"
"['Cheserek et al.","2015","1440"
"['Chimhowu","2019","1333"
"['Chinseu et al.","2022","1325"
"['Chávez and Takahashi","2017","484"
"['Chávez and Takahashi","2017","494"
"['CIAT and USAID","2016","1571"
"['CIAT and USAID","2016","1573"
"['CIAT and USAID","2016","1574"
"['CIAT and USAID","2016","1583"
"['CIAT and USAID","2016","1592"
"['CIAT and USAID","2016","1607"
"['CIAT and USAID","2016","1622"
"['CIAT and USAID","2016","1624"
"['CIAT and USAID","2016","1631"
"['CIAT and USAID","2016","1632"
"['CIAT and USAID","2016","1635"
"['CIAT and USAID","2016","1637"
"['CIAT and USAID","2016","1643"
"['CIAT and USAID","2016","1162"
"['CIAT and USAID","2016","1163"
"['CIAT and USAID","2016","1164"
"['CIAT and USAID","2016","1175"
"['CIAT and World Bank","2017","358"
"['CIAT and World Bank","2017","383"
"['CIAT and World Bank","2017","1526"
"['CIAT and World Bank","2017","1527"
"['CIAT and World Bank","2017","1528"
"['CIAT and World Bank","2017","1545"
"['CIAT and World Bank","2017","1546"
"['CIAT and World Bank","2017","1548"
"['CIAT and World Bank","2017","1549"
"['CIAT and World Bank","2017","1550"
"['CIAT and World Bank","2017","1551"
"['CIAT and World Bank","2017","1553"
"['CIAT and World Bank","2017","1552"
"['CIAT","2011","1425"
"['CIAT","2011","1428"
"['CIAT","2011","1429"
"['CIAT","2011","1433"
"['CIAT","2011","1441"
"['CIAT","2011","1477"
"['CIAT","2011","1485"
"['CIMMYT","2013","293"
"['CIMMYT","2013","300"
"['Claudia & Renaud","2012","6"
"['Claudia & Renaud","2012","8"
"['Claudia & Renaud","2012","34"
"['Claudia & Renaud","2012","46"
"['Claudia & Renaud","2012","54"
"['Claudia & Renaud","2012","56"
"['Cohn et al.","2013","453"
"['Connolly-Boutin et al.","2016","1341"
"['Coulibaly et al.","2022","1304"
"['Coulibaly et al.","2022","1304"
"['Coulibaly et al.","2022","1314"
"['Coulibaly et al.","2022","1314"
"['Coulibaly et al.","2022","1336"
"['Cramb et al.","2015","49"
"['Cramb et al.","2015","50"
"['Cramb et al.","2015","2"
"['Cramb et al.","2015","8"
"['Cramb et al.","2015","10"
"['Cramb et al.","2015","45"
"['Cramb et al.","2015","51"
"['Curran et al.","2018","1300"
"['Daloz et al.","2021","1024"
"['Daloz et al.","2021","1026"
"['Daloz et al.","2021","1027"
"['Daloz et al.","2021","1028"
"['Davis et al.","2012","1438"
"['Davis et al.","2012","1441"
"['de Andrade et al.","2017","445"
"['Debela et al.","2015","1254"
"['Deep et al.","2018","1118"
"['Deep et al.","2018","1145"
"['Deep et al.","2018","1151"
"['Deep et al.","2018","1155"
"['Deep et al.","2018","1119"
"['Deep et al.","2018","1142"
"['Deep et al.","2018","1144"
"['Deep et al.","2018","1153"
"['Devendra","2012","102"
"['Devendra","2012","102"
"['Devendra","2012","111"
"['Devendra","2012","111"
"['Devkota and Yigezu","2020","748"
"['Devkota et al.","2022","711"
"['Devkota et al.","2022","719"
"['Devkota et al.","2022","725"
"['Devkota et al.","2022","742"
"['Devkota et al.","2022","753"
"['Devkota et al.","2022","754"
"['Devkota et al.","2022","739"
"['Devkota et al.","2022","743"
"['Dhanda et al.","2022","1031"
"['Dhanda et al.","2022","1050"
"['Dhanda et al.","2022","1057"
"['Dhanda et al.","2022","1067"
"['Dhanda et al.","2022","1068"
"['Dhanda et al.","2022","1071"
"['Dhanda et al.","2022","1072"
"['Dhanda et al.","2022","1073"
"['Dhanda et al.","2022","1074"
"['Dhanda et al.","2022","1075"
"['Dhanda et al.","2022","1078"
"['Dhanda et al.","2022","1080"
"['Dhanda et al.","2022","1086"
"['DI Rodríguez et al.","2016","381"
"['DI Rodríguez et al.","2016","375"
"['Diana et al.","2022","161"
"['Diana et al.","2022","178"
"['Diana et al.","2022","184"
"['Diana et al.","2022","199"
"['Diana et al.","2022","178"
"['Diana et al.","2022","183"
"['Diana et al.","2022","193"
"['Diana et al.","2022","194"
"['Diana et al.","2022","195"
"['Diana et al.","2022","199"
"['Diana et al.","2022","205"
"['Diana et al.","2022","206"
"['Diana et al.","2022","219"
"['Diana et al.","2022","220"
"['Diana et al.","2022","221"
"['Dixon et al.","2001","232"
"['Dixon et al.","2001","34"
"['Dixon et al.","2001","167"
"['Dixon et al.","2001","175"
"['Dixon et al.","2001","176"
"['Dixon et al.","2001","177"
"['Dixon et al.","2001","178"
"['Dixon et al.","2001","181"
"['Dixon et al.","2001","183"
"['Dixon et al.","2001","186"
"['Dixon et al.","2001","195"
"['Dixon et al.","2001","196"
"['Dixon et al.","2001","198"
"['Dixon et al.","2001","199"
"['Dixon et al.","2001","201"
"['Dixon et al.","2001","203"
"['Dixon et al.","2001","206"
"['Dixon et al.","2001","207"
"['Dixon et al.","2001","209"
"['Dixon et al.","2001","212"
"['Dixon et al.","2001","213"
"['Dixon et al.","2001","226"
"['Dixon et al.","2001","231"
"['Dixon et al.","2001","580"
"['Dixon et al.","2001","594"
"['Dixon et al.","2001","733"
"['Dixon et al.","2001","740"
"['Dixon et al.","2001","742"
"['Dixon et al.","2001","743"
"['Dixon et al.","2001","754"
"['Dixon et al.","2001","1043"
"['Dixon et al.","2001","1093"
"['Dixon et al.","2001","51"
"['Dixon et al.","2001","25"
"['Dixon et al.","2001","33"
"['Dixon et al.","2001","36"
"['Dixon et al.","2001","37"
"['Dixon et al.","2001","41"
"['Dixon et al.","2001","57"
"['Dixon et al.","2001","65"
"['Dixon et al.","2001","170"
"['Dixon et al.","2001","197"
"['Dixon et al.","2001","202"
"['Dixon et al.","2001","204"
"['Dixon et al.","2001","214"
"['Dixon et al.","2001","225"
"['Dixon et al.","2001","230"
"['Dixon et al.","2001","613"
"['Dixon et al.","2001","692"
"['Dixon et al.","2001","731"
"['Dixon et al.","2001","732"
"['Dixon et al.","2001","736"
"['Dixon et al.","2001","737"
"['Dixon et al.","2001","741"
"['Dixon et al.","2001","750"
"['Dixon et al.","2001","751"
"['Dixon et al.","2001","755"
"['Dixon et al.","2001","756"
"['Dixon et al.","2001","757"
"['Dixon et al.","2001","759"
"['Dixon et al.","2001","760"
"['Dixon et al.","2001","1110"
"['Dixon et al.","2001","1113"
"['Dixon et al.","2001","1147"
"['Dixon et al.","2001","1151"
"['Dixon et al.","2001","1154"
"['Dixon et al.","2001","66"
"['Dixon et al.","2001","68"
"['Dixon et al.","2001","75"
"['Dixon et al.","2001","76"
"['Dixon et al.","2001","77"
"['Dixon et al.","2001","77"
"['Dixon et al.","2001","78"
"['Dixon et al.","2001","85"
"['Dixon et al.","2001","85"
"['Dixon et al.","2001","91"
"['Dixon et al.","2001","92"
"['Dixon et al.","2001","93"
"['Dixon et al.","2001","95"
"['Dixon et al.","2001","556"
"['Dixon et al.","2001","769"
"['Dixon et al.","2001","770"
"['Dixon et al.","2001","771"
"['Dixon et al.","2001","774"
"['Dixon et al.","2001","786"
"['Dixon et al.","2001","787"
"['Dixon et al.","2001","790"
"['Dixon et al.","2001","800"
"['Dixon et al.","2001","804"
"['Dixon et al.","2001","828"
"['Dixon et al.","2001","856"
"['Dixon et al.","2001","863"
"['Dixon et al.","2001","884"
"['Dixon et al.","2001","885"
"['Dixon et al.","2001","889"
"['Dixon et al.","2001","904"
"['Dixon et al.","2001","905"
"['Dixon et al.","2001","906"
"['Dixon et al.","2001","907"
"['Dixon et al.","2001","908"
"['Dixon et al.","2001","910"
"['Dixon et al.","2001","915"
"['Dixon et al.","2001","918"
"['Dixon et al.","2001","919"
"['Dixon et al.","2001","920"
"['Dixon et al.","2001","963"
"['Dixon et al.","2001","964"
"['Dixon et al.","2001","971"
"['Dixon et al.","2001","974"
"['Dixon et al.","2001","977"
"['Dixon et al.","2001","978"
"['Dixon et al.","2001","979"
"['Dixon et al.","2001","982"
"['Dixon et al.","2001","987"
"['Dixon et al.","2001","988"
"['Dixon et al.","2001","990"
"['Dixon et al.","2001","990"
"['Dixon et al.","2001","1006"
"['Dixon et al.","2001","1006"
"['Dixon et al.","2020","1678"
"['Dixon et al.","2020","1652"
"['Dixon et al.","2020","1657"
"['Dixon et al.","2020","1665"
"['Dixon et al.","2020","1681"
"['Dixon et al.","2020","1685"
"['Dixon et al.","2020","1690"
"['Dixon et al.","2020","1691"
"['Dixon et al.","2020","1696"
"['Dixon et al.","2020","1705"
"['Dixon et al.","2020","1708"
"['Dixon et al.","2020","1722"
"['Dixon et al.","2020","1723"
"['Dixon et al.","2020","1726"
"['Dixon et al.","2020","1567"
"['Dixon et al.","2020","1452"
"['Dixon et al.","2020","1453"
"['Dixon et al.","2020","1453"
"['Dixon et al.","2020","1460"
"['Dixon et al.","2020","1461"
"['Dixon et al.","2020","1467"
"['Dixon et al.","2020","1471"
"['Dixon et al.","2020","1471"
"['Dixon et al.","2020","1491"
"['Dixon et al.","2020","1495"
"['Dixon et al.","2020","1498"
"['Dixon et al.","2020","1579"
"['Dixon et al.","2020","1580"
"['Dixon et al.","2020","1587"
"['Dixon et al.","2020","1591"
"['Dixon et al.","2020","1602"
"['Dixon et al.","2020","1603"
"['Dixon et al.","2020","1605"
"['Dixon et al.","2020","1609"
"['Dixon et al.","2020","1610"
"['Dixon et al.","2020","1611"
"['Dixon et al.","2020","1612"
"['Dixon et al.","2020","1613"
"['Dixon et al.","2020","1618"
"['Dixon et al.","2020","1619"
"['Dixon et al.","2020","1621"
"['Dixon et al.","2020","1622"
"['Dixon et al.","2020","1623"
"['Dixon et al.","2020","1624"
"['Dixon et al.","2020","1625"
"['Dixon et al.","2020","1627"
"['Dixon et al.","2020","1631"
"['Dixon et al.","2020","1632"
"['Dixon et al.","2020","1633"
"['Dixon et al.","2020","1634"
"['Dixon et al.","2020","1636"
"['Dixon et al.","2020","1642"
"['Dixon et al.","2020","1644"
"['Dixon et al.","2020","1645"
"['Dixon et al.","2020","1646"
"['Dixon et al.","2020","1647"
"['Dixon et al.","2020","1648"
"['Dixon et al.","2020","1678"
"['Dixon et al.","2020","1679"
"['Dixon et al.","2020","1680"
"['Dixon et al.","2020","1681"
"['Dixon et al.","2020","1682"
"['Dixon et al.","2020","1685"
"['Dixon et al.","2020","1690"
"['Dixon et al.","2020","1692"
"['Dixon et al.","2020","1697"
"['Dixon et al.","2020","1698"
"['Dixon et al.","2020","1703"
"['Dixon et al.","2020","1706"
"['Dixon et al.","2020","1712"
"['Dixon et al.","2020","1715"
"['Dixon et al.","2020","1718"
"['Dixon et al.","2020","1719"
"['Dixon et al.","2020","1722"
"['Dixon et al.","2020","1723"
"['Dixon et al.","2020","1725"
"['Dixon et al.","2020","1726"
"['Dixon et al.","2020","1728"
"['Dixon et al.","2020","1731"
"['Dixon et al.","2020","1732"
"['Dixon et al.","2020","1735"
"['Dixon et al.","2020","1736"
"['Dixon et al.","2020","1737"
"['Dixon et al.","2020","761"
"['Dixon et al.","2020","770"
"['Dixon et al.","2020","772"
"['Dixon et al.","2020","774"
"['Dixon et al.","2020","775"
"['Dixon et al.","2020","811"
"['Dixon et al.","2020","815"
"['Dixon et al.","2020","819"
"['Dixon et al.","2020","826"
"['Dixon et al.","2020","832"
"['Dixon et al.","2020","835"
"['Dixon et al.","2020","838"
"['Dixon et al.","2020","839"
"['Dixon et al.","2020","846"
"['Dixon et al.","2020","899"
"['Dixon et al.","2020","1161"
"['Dixon et al.","2020","1162"
"['Dixon et al.","2020","1163"
"['Dixon et al.","2020","1170"
"['Dixon et al.","2020","1185"
"['Dixon et al.","2020","1186"
"['Dixon et al.","2020","1193"
"['Dixon et al.","2020","1195"
"['Dixon et al.","2020","1198"
"['Dixon et al.","2020","1198"
"['Dixon et al.","2020","1201"
"['Dixon et al.","2020","1202"
"['Dixon et al.","2020","1204"
"['Dixon et al.","2020","1209"
"['Dixon et al.","2020","1210"
"['Dixon et al.","2020","1212"
"['Dixon et al.","2020","1212"
"['Dixon et al.","2020","1213"
"['Dixon et al.","2020","1214"
"['Dixon et al.","2020","1214"
"['Dixon et al.","2020","1215"
"['Dixon et al.","2020","1215"
"['Dixon et al.","2020","1218"
"['Dixon et al.","2020","1219"
"['Dixon et al.","2020","1219"
"['Dixon et al.","2020","1225"
"['Dixon et al.","2020","1226"
"['Dixon et al.","2020","1228"
"['Dixon et al.","2020","1232"
"['Dixon et al.","2020","1232"
"['Dixon et al.","2020","1235"
"['Dixon et al.","2020","1237"
"['Dixon et al.","2020","1237"
"['Dixon et al.","2020","1238"
"['Dixon et al.","2020","1247"
"['Dixon et al.","2020","1248"
"['Dixon et al.","2020","1251"
"['Dixon et al.","2020","1252"
"['Dixon et al.","2020","1253"
"['Dixon et al.","2020","1254"
"['Dixon et al.","2020","1259"
"['Dixon et al.","2020","1260"
"['Dixon et al.","2020","1262"
"['Dixon et al.","2020","1267"
"['Dixon et al.","2020","1343"
"['Dixon et al.","2020","1344"
"['Dixon et al.","2020","1345"
"['Dixon et al.","2020","1349"
"['Dixon et al.","2020","1350"
"['Dixon et al.","2020","1351"
"['Dixon et al.","2020","1352"
"['Dixon et al.","2020","1353"
"['Dixon et al.","2020","1356"
"['Dixon et al.","2020","1357"
"['Dixon et al.","2020","1358"
"['Dixon et al.","2020","1364"
"['Dixon et al.","2020","1372"
"['Dixon et al.","2020","1374"
"['Dixon et al.","2020","1374"
"['Dixon et al.","2020","1384"
"['Dixon et al.","2020","1385"
"['Dixon et al.","2020","1386"
"['Dixon et al.","2020","1388"
"['Dixon et al.","2020","1389"
"['Dixon et al.","2020","1390"
"['Dixon et al.","2020","1392"
"['Dixon et al.","2020","1393"
"['Dixon et al.","2020","1394"
"['Dixon et al.","2020","1394"
"['Dixon et al.","2020","1395"
"['Dixon et al.","2020","1396"
"['Dixon et al.","2020","1401"
"['Dixon et al.","2020","1402"
"['Dixon et al.","2020","1405"
"['Dixon et al.","2020","1415"
"['Dixon et al.","2020","1416"
"['Dixon et al.","2020","1417"
"['Dixon et al.","2020","1418"
"['Dixon et al.","2020","1419"
"['Dixon et al.","2020","1423"
"['Donat et al.","2014","853"
"['Donatti et al.","2018","631"
"['Donatti et al.","2018","661"
"['Donatti et al.","2018","673"
"['Donatti et al.","2018","675"
"['Donatti et al.","2018","676"
"['Donatti et al.","2018","688"
"['Donoso","2021","568"
"['Donoso","2021","579"
"['Donoso","2021","583"
"['Donoso","2021","584"
"['Donoso","2021","594"
"['Donoso","2021","567"
"['Donoso","2021","580"
"['Donoso","2021","589"
"['Donoso","2021","605"
"['Donoso","2021","608"
"['DST","2020","966"
"['DST","2020","968"
"['DST","2020","973"
"['DST","2020","973"
"['DST","2020","981"
"['DST","2020","981"
"['DST","2020","983"
"['DST","2020","1007"
"['DST","2020","1015"
"['Durrell","2018","695"
"['Durrell","2018","696"
"['Durrell","2018","703"
"['Durrell","2018","705"
"['Durrell","2018","707"
"['Durrell","2018","710"
"['Durrell","2018","698"
"['Durrell","2018","699"
"['Durrell","2018","706"
"['Durrell","2018","709"
"['Durrell","2018","713"
"['Durrell","2018","716"
"['Durrell","2018","717"
"['Eash et al.","2019","671"
"['Eash et al.","2019","672"
"['Eash et al.","2019","662"
"['Eash et al.","2019","663"
"['Eash et al.","2019","677"
"['Echeverria & Terton","2016","1343"
"['Echeverria & Terton","2016","1344"
"['Echeverria & Terton","2016","1345"
"['Echeverria & Terton","2016","1349"
"['Echeverria & Terton","2016","1353"
"['Echeverria & Terton","2016","1354"
"['Echeverria & Terton","2016","1355"
"['Echeverria & Terton","2016","1356"
"['Echeverria & Terton","2016","1357"
"['Echeverria & Terton","2016","1424"
"['Eitzinger et al.","2012","643"
"['Eitzinger et al.","2012","644"
"['Eitzinger et al.","2012","645"
"['Eitzinger et al.","2012","651"
"['Eitzinger et al.","2012","660"
"['Eitzinger et al.","2012","661"
"['Eitzinger et al.","2012","662"
"['Eitzinger et al.","2012","663"
"['Eitzinger et al.","2012","669"
"['Eitzinger et al.","2012","670"
"['Eitzinger et al.","2012","671"
"['Eitzinger et al.","2012","672"
"['Eitzinger et al.","2012","676"
"['Eitzinger et al.","2012","679"
"['Eitzinger et al.","2012","685"
"['Eitzinger et al.","2012","686"
"['Eitzinger et al.","2012","687"
"['Eitzinger et al.","2012","625"
"['Eitzinger et al.","2012","626"
"['Eitzinger et al.","2012","631"
"['Eitzinger et al.","2012","642"
"['Eitzinger et al.","2012","649"
"['Eitzinger et al.","2012","650"
"['Eitzinger et al.","2012","654"
"['Eitzinger et al.","2012","656"
"['Eitzinger et al.","2012","659"
"['Eitzinger et al.","2012","674"
"['Eitzinger et al.","2012","675"
"['Eitzinger et al.","2012","680"
"['Eitzinger et al.","2012","681"
"['Eitzinger et al.","2012","682"
"['Eitzinger et al.","2012","691"
"['ESCAP","2018","106"
"['ESCAP","2020","134"
"['Fang et al.","2020","1292"
"['FAO & UNICEF EAPRO","2021","146"
"['FAO","2015","1441"
"['FAO","2015","586"
"['FAO","2015","1496"
"['FAO","2015","1497"
"['FAO","2015","1425"
"['FAO","2015","1477"
"['FAO","2015","1478"
"['FAO","2015","1479"
"['FAO","2015","1485"
"['FAO","2017","124"
"['FAO","2018","151"
"['FAO","2018","152"
"['FAO","2018","156"
"['FAO","2018","157"
"['FAO","2018","179"
"['FAO","2018","188"
"['FAO","2018","191"
"['FAO","2018","191"
"['FAO","2018","198"
"['FAO","2018","185"
"['FAO","2019","453"
"['FAO","2021","1305"
"['FAO","2021","1306"
"['FAO","2022","1105"
"['FAO","2022","1283"
"['FAO","2022","1295"
"['FAO","2022","1307"
"['FAO","2022","1311"
"['FAO","2022","1329"
"['Fay et al.","2017","335"
"['Feld and Galiani","2015","595"
"['Feld and Galiani","2015","291"
"['Feld and Galiani","2015","293"
"['Feld and Galiani","2015","294"
"['Feld and Galiani","2015","296"
"['Feld and Galiani","2015","300"
"['Feld and Galiani","2015","307"
"['Feld and Galiani","2015","309"
"['Feld and Galiani","2015","311"
"['Fernando","2006","279"
"['Ferraro et al.","2015","1696"
"['Ferrise et al.","2013","851"
"['Fiebig-Wittmaack et al.","2011","476"
"['Finlayson et al.","2019","69"
"['Finlayson et al.","2019","70"
"['Finlayson et al.","2019","120"
"['Fisher et al.","2015","1320"
"['Flintan et al.","2022","1626"
"['Gardner et al.","2014","465"
"['Garrett et al.","2017","453"
"['Garrett et al.","2017","462"
"['Garrity et al.","2012","1474"
"['Garrity et al.","2012","1475"
"['Garrity et al.","2012","816"
"['Garrity et al.","2012","831"
"['Gautam et al .","2013","100"
"['GEPA","2017","1687"
"['GEPA","2017","1735"
"['Godde et al.","2021","101"
"['Godoy","2015","576"
"['Godoy","2015","577"
"['GOM","2014a","404"
"['Gourdji et al.","2015","616"
"['Gourdji et al.","2015","617"
"['Gourdji et al.","2015","619"
"['Gourdji et al.","2015","647"
"['Gourdji et al.","2015","653"
"['Gourdji et al.","2015","657"
