"Name","FS name",FS macro region,"Resource ID","Resource year",Resource number
"Tea","Highland Perennial ",SSA,"FAO","2015",4
"Rice","Upland Intensive Mixed",EAP,"FAO","2018",1
"Banana","Irrigated",LAC,"FAO","2022",2
"Chickpea","Rainfed Mixed",MENA,"Gaur et al.","2010",1
"Chickpea","Rainfed Mixed",SA,"Gaur et al.","2010",1
"Chickpea","Highland Mixed",MENA,"Gaur et al.","2010",1
"Lentil","Highland Mixed",MENA,"Growth Research and Development Corporation","2018",1
"Lentil","Rainfed Mixed",MENA,"Growth Research and Development Corporation","2018",1
"Avocado","Forest based Livestock ",LAC,"Gruter et al.","2022",1
"Avocado","Irrigated",LAC,"Gruter et al.","2022",1
"Coffee","Forest based Livestock ",LAC,"Gruter et al.","2022",1
"Maize (Zea mays)","Maize Mixed ",SSA,"Haarhoff et al.","2020",1
"Potato","High Altitude Mixed (C. Andes)",LAC,"Hernandez et al.","1994",1
"Cañihua","High Altitude Mixed (C. Andes)",LAC,"Hernandez et al.","1994",1
"Quinoa","High Altitude Mixed (C. Andes)",LAC,"Hernandez et al.","1994",1
"Maize ","High Altitude Mixed (C. Andes)",LAC,"Hernandez et al.","1994",1
"Wheat","High Altitude Mixed (C. Andes)",LAC,"Hernandez et al.","1994",1
"Cassava","Dryland mixed",LAC,"Howeler et al.","2001",1
"Chickpea","Rainfed Mixed",MENA,"ICRISAT","2021",1
"Rice","Rainfed Mixed",SA,"ICRISAT","2021",1
"Wheat","Rainfed Mixed",SA,"ICRISAT","2021",1
"Maize","Rainfed Mixed",SA,"ICRISAT","2021",1
"Chickpea","Rainfed Mixed",SA,"ICRISAT","2021",1
"Groundnut","Rainfed Mixed",SA,"ICRISAT","2021",1
"Pigeopea","Rainfed Mixed",SA,"ICRISAT","2021",1
"Pigeopea","Rainfed Mixed",SA,"Ikisan","2021",1
"Coffee (Coffea arabica)","Coastal plantation and mixed ",LAC,"Grabs ","2020",1
"Coffee (Coffea robusta)","Coastal plantation and mixed ",LAC,"Grabs ","2020",1
"Wheat","Temperate Mixed",EAP,"Jackson et al.","2021",1
"Maize","Temperate Mixed",EAP,"Jackson et al.","2021",1
"Rice","Highland Mixed",MENA,"JICA","2018",1
"Dry bean","Maize-beans (Mesoamerica)",LAC,"Kandel and Endres","2019",1
"Yam","Root Crop",SSA,"Kumar et al.","2012",1
"Coffee (Coffea arabica)","Highland Perennial ",SSA,"Lemma and Megersa","2021",1
"Blueberry","Irrigated",LAC,"Lyrene and Munoz","2008",1
"Rice (Oryza sativa)","Rice",SA,"Mainuddin et al.","2022",1
"Tea","Highland Perennial ",SSA,"Muoki et al.","2020",1
"Cassava ","Root Crop",SSA,"Owusu et al.","2020",1
"Yam","Root Crop",SSA,"Owusu et al.","2020",1
"Groundnut","Rainfed Mixed",SA,"Prasad et al.","2010",1
"Maize (Zea mays)","Maize-beans (Mesoamerica)",LAC,"Ramirez-Cabral et al.","2017",1
"Blueberry","Irrigated",LAC,"Retamales et al.","2014",1
"Tea","Highland Perennial ",SSA,"Rigden et al.","2020",1
"Cassava ","Root Crop",SSA,"Sagoe","2006",1
"Yam","Root Crop",SSA,"Sagoe","2006",1
"Maize","Dryland mixed",LAC,"Salhuana et al.","1997",1
"Palm (Acai)","Forest based Livestock ",LAC,"Sousa et al.","2022",1
"Quinoa","High Altitude Mixed (C. Andes)",LAC,"T. B. Katwal, & D. Bazile","2020",1
"Rice","Upland Intensive Mixed",EAP,"Taylor et al.","2016",1
"Sheep","Dryland mixed",LAC,"Thornton et al.","2021",1
"Cacao Tree","Coastal plantation and mixed ",LAC,"TNAU Agritech portal","2013",1
"Sahelian subsystem","Pastoral",SSA,"Tschakert","2007",1
"Ago-pastoral","Agro-Pastoral Millet/Sorghum",SSA,"UNHCR","2022",1
"Sahelian subsystem","Pastoral",SSA,"UNHCR","2022",1
"Tea","Highland Perennial ",SSA,"USAID","2017",4
"Cassava ","Root Crop",SSA,"USAID","2017",5
"Yam","Root Crop",SSA,"USAID","2017",5
"Asparagus","Irrigated",LAC,"Walker","2009",1
"Olives","Rainfed Mixed",MENA,"Wikifarmer","2021",1
"Potato","High Altitude Mixed (C. Andes)",LAC,"Yara","2022",1
"Corn","Highland Mixed",MENA,"Your Article Library","2021",1
"Rice","Rainfed Mixed",SA,"Your Article Library","2021",1
"Wheat","Rainfed Mixed",SA,"Your Article Library","2021",1
"Maize","Rainfed Mixed",SA,"Your Article Library","2021",1
"Grape","Irrigated",LAC,"Yzarra et al.","2017",1
"Pulse","Temperate Mixed",EAP,"Zahedi et al.","2020",1
