"Label","Type","Type-2"
"Improve networking and knowledge exchange","EAP Temperate Mixed","Social capital"
"Build capacity on advocacy","EAP Temperate Mixed","Social capital"
"Invest in agricultural research and development","EAP Temperate Mixed","Political capital "
"Develop/improve early warning systems","EAP Temperate Mixed","Political capital "
"Implement disaster recovery strategies","EAP Temperate Mixed","Political capital "
"Improve access to credit","EAP Temperate Mixed","Financial capital"
"Diversify markets","EAP Temperate Mixed","Financial capital"
"Improve access to markets","EAP Temperate Mixed","Financial capital"
"Support local value chains","EAP Temperate Mixed","Financial capital"
"Farmers engaged in agri system","EAP Temperate Mixed",""
"Area of land used","EAP Temperate Mixed",""
"Risk to farmers of food insecurity due to Climate Change","EAP Temperate Mixed",""
"Risk to farmers of loss of livelihoods due to Climate Change","EAP Temperate Mixed",""
"Risk to farmers of chronic poverty due to Climate Change ","EAP Temperate Mixed",""
"Increase in drought events","EAP Upland Intensive Mixed","Rainfall related"
"Increase in tropical cyclones/hurricanes","EAP Upland Intensive Mixed","Rainfall related"
"Increase in extreme rainfall events","EAP Upland Intensive Mixed","Rainfall related"
"Increase in average temperatures","EAP Upland Intensive Mixed","Temperature related"
"Increase in humidity","EAP Upland Intensive Mixed","Rainfall related"
"Increase in strong winds","EAP Upland Intensive Mixed","Wind related"
"Increase in extreme heat (no. of hot days)","EAP Upland Intensive Mixed","Temperature related"
"Increase in average precipitation","EAP Upland Intensive Mixed","Rainfall related"
"Decrease in average precipitation","EAP Upland Intensive Mixed","Rainfall related"
"Increasingly erratic rainfall","EAP Upland Intensive Mixed","Rainfall related"
"Shorter growing season","EAP Upland Intensive Mixed","Season related"
"Increased flooding","EAP Upland Intensive Mixed","Biophysical"
"Reduced crop productivity/failure","EAP Upland Intensive Mixed","Biophysical"
"Increase in weeds","EAP Upland Intensive Mixed","Biophysical"
"Increase in pests ","EAP Upland Intensive Mixed","Biophysical"
"Increase in diseases","EAP Upland Intensive Mixed","Biophysical"
"Increase in soil water deficit","EAP Upland Intensive Mixed","Biophysical"
"Crop stress/damage/mortality","EAP Upland Intensive Mixed","Biophysical"
"Landslide events","EAP Upland Intensive Mixed","Biophysical"
"Land degradation","EAP Upland Intensive Mixed","Biophysical"
"Poor seed production","EAP Upland Intensive Mixed","Biophysical"
"Siltation/sedimentation of rivers","EAP Upland Intensive Mixed","Biophysical"
"Biodiversity loss","EAP Upland Intensive Mixed","Biophysical"
"Damage to infrastructure","EAP Upland Intensive Mixed","Biophysical"
"Increase in food prices","EAP Upland Intensive Mixed","Socioeconomic"
"Increase in food insecurity","EAP Upland Intensive Mixed","Socioeconomic"
"Lack of willingness to invest in sustainable agricultural practices","EAP Upland Intensive Mixed","Socioeconomic"
"Increase in poverty","EAP Upland Intensive Mixed","Socioeconomic"
"Loss of income","EAP Upland Intensive Mixed","Socioeconomic"
"Limited uptake of modern technologies","EAP Upland Intensive Mixed","Human capital, gender and agricultural knowledge"
"Unsustainable land management practices","EAP Upland Intensive Mixed","Human capital, gender and agricultural knowledge"
"Unequal opportunities for women ","EAP Upland Intensive Mixed","Human capital, gender and agricultural knowledge"
"Weak land tenure ","EAP Upland Intensive Mixed","Institutions and policies"
"Weak land tenure and access rights for women","EAP Upland Intensive Mixed","Institutions and policies"
"Low access to credit","EAP Upland Intensive Mixed","Economic, financial and markets"
"Large contributor to national/regional GDP","EAP Upland Intensive Mixed","Economic, financial and markets"
"Lack of access to risk insurance","EAP Upland Intensive Mixed","Economic, financial and markets"
"High levels of deforestation","EAP Upland Intensive Mixed","Sensitivity/"
"Frequent bushfires","EAP Upland Intensive Mixed","Sensitivity/"
"High prevalence of land degradation","EAP Upland Intensive Mixed","Sensitivity/"
"High prevalence of pests","EAP Upland Intensive Mixed","Sensitivity/"
"High prevalence of weeds","EAP Upland Intensive Mixed","Sensitivity/"
"Inadequate agri research and development","EAP Upland Intensive Mixed","Lack of capacity to cope and adapt"
"Low access to agricultural extension services","EAP Upland Intensive Mixed","Lack of capacity to cope and adapt"
"Lack of access to  inputs ","EAP Upland Intensive Mixed","Lack of capacity to cope and adapt"
"Low level of education","EAP Upland Intensive Mixed","Lack of capacity to cope and adapt"
"Low levels of climate change awareness at the farmer level","EAP Upland Intensive Mixed","Lack of capacity to cope and adapt"
"Demographic pressure on land","EAP Upland Intensive Mixed","Lack of capacity to cope and adapt"
"Reliance on rainfed agriculture","EAP Upland Intensive Mixed","Lack of capacity to cope and adapt"
"Lack of road infrastructure","EAP Upland Intensive Mixed","Lack of capacity to cope and adapt"
"Limited uptake of modern technologies","EAP Upland Intensive Mixed","Lack of capacity to cope and adapt"
"Weak land tenure and access rights, particularly for women","EAP Upland Intensive Mixed","Lack of capacity to cope and adapt"
"High poverty levels ","EAP Upland Intensive Mixed","Lack of capacity to cope and adapt"
"Implement reforestation practices","EAP Upland Intensive Mixed","Natural capital"
"Invest in road infrastructure","EAP Upland Intensive Mixed","Physical capital"
"Invest in water harvesting and storage infrastructure","EAP Upland Intensive Mixed","Physical capital"
"Improve climate change awareness","EAP Upland Intensive Mixed","Human capital"
"Capacity building on sustainable agricultural practices","EAP Upland Intensive Mixed","Human capital"
"Implement agroforestry practices","EAP Upland Intensive Mixed","Human capital"
"Plant multiple crop types","EAP Upland Intensive Mixed","Human capital"
"Invest in agricultural research and development","EAP Upland Intensive Mixed","Human capital"
"Integrated weed management","EAP Upland Intensive Mixed","Human capital"
"Build women's  capacity ","EAP Upland Intensive Mixed","Human capital"
"Plant cash crops","EAP Upland Intensive Mixed","Human capital"
"Diversify to livestock value chains","EAP Upland Intensive Mixed","Human capital"
"Diversify livelihoods","EAP Upland Intensive Mixed","Human capital"
"Implement conservation agriculture practices","EAP Upland Intensive Mixed","Human capital"
"Apply integrated pest and diseases management","EAP Upland Intensive Mixed","Human capital"
"Adjust crop calendar","EAP Upland Intensive Mixed","Human capital"
"Adopt early maturing varieties","EAP Upland Intensive Mixed","Human capital"
"Improve networking and knowledge exchange","EAP Upland Intensive Mixed","Social capital"
"Improve access to agricultural extension services","EAP Upland Intensive Mixed","Political capital "
"Improve access to climate information services","EAP Upland Intensive Mixed","Political capital "
"Policy reform","EAP Upland Intensive Mixed","Political capital "
"Develop/improve early warning systems","EAP Upland Intensive Mixed","Political capital "
"Build the capacity of agricultural extension agents","EAP Upland Intensive Mixed","Political capital "
"Land tenure reform","EAP Upland Intensive Mixed","Political capital "
"Facilitate access to loans","EAP Upland Intensive Mixed","Financial capital"
"Improve access to credit","EAP Upland Intensive Mixed","Financial capital"
"Establish payment for ecosystem services schemes","EAP Upland Intensive Mixed","Financial capital"
"Improve access to risk insurance schemes","EAP Upland Intensive Mixed","Financial capital"
"Farmers engaged in agri system","EAP Upland Intensive Mixed",""
"Chronic poverty ","EAP Upland Intensive Mixed",""
"Food insecurity","EAP Upland Intensive Mixed",""
"Increase in average temperatures","LAC Coastal Plantation Mixed","Temperature related"
"Increase in drought events","LAC Coastal Plantation Mixed","Rainfall related"
"Rising sea levels","LAC Coastal Plantation Mixed","Maritime related"
"Increase in tropical cyclones/hurricanes","LAC Coastal Plantation Mixed","Maritime related"
"Increase in extreme rainfall events","LAC Coastal Plantation Mixed","Rainfall related"
"Decrease in average precipitation","LAC Coastal Plantation Mixed","Rainfall related"
"Ocean acidification","LAC Coastal Plantation Mixed","Maritime related"
"Increase in extreme heat (no. of hot days)","LAC Coastal Plantation Mixed","Temperature related"
"Loss of production of fish","LAC Coastal Plantation Mixed","Biophysical"
"Saline intrusion","LAC Coastal Plantation Mixed","Biophysical"
"Reduced crop productivity/failure","LAC Coastal Plantation Mixed","Biophysical"
"Coastal inundation","LAC Coastal Plantation Mixed","Biophysical"
"Beach erosion","LAC Coastal Plantation Mixed","Biophysical"
"Biodiversity loss","LAC Coastal Plantation Mixed","Biophysical"
"Water scarcity","LAC Coastal Plantation Mixed","Biophysical"
"Landslide events","LAC Coastal Plantation Mixed","Biophysical"
"Damage to infrastructure","LAC Coastal Plantation Mixed","Biophysical"
"Glacier melt","LAC Coastal Plantation Mixed","Biophysical"
"Flash floods","LAC Coastal Plantation Mixed","Biophysical"
"Increased flooding","LAC Coastal Plantation Mixed","Biophysical"
"Increased incidence of bushfires","LAC Coastal Plantation Mixed","Biophysical"
"Crop stress/damage/mortality","LAC Coastal Plantation Mixed","Biophysical"
"Increase in malnutrition/ Reduced calorie intake","LAC Coastal Plantation Mixed","Socioeconomic"
"Loss of income","LAC Coastal Plantation Mixed","Socioeconomic"
"Reduction in tax collection by the government","LAC Coastal Plantation Mixed","Socioeconomic"
"Increase in migration","LAC Coastal Plantation Mixed","Socioeconomic"
"Increase in food prices","LAC Coastal Plantation Mixed","Socioeconomic"
"Decrease in labour productivity","LAC Coastal Plantation Mixed","Socioeconomic"
"Increase in food imports","LAC Coastal Plantation Mixed","Socioeconomic"
"Increase in food insecurity","LAC Coastal Plantation Mixed","Socioeconomic"
"Increase in malnutrition","LAC Coastal Plantation Mixed","Socioeconomic"
"Competition for resources","LAC Coastal Plantation Mixed","Socioeconomic"
"Conflict over resources","LAC Coastal Plantation Mixed","Socioeconomic"
"Dependence on food aid","LAC Coastal Plantation Mixed","Socioeconomic"
"Increase in poverty","LAC Coastal Plantation Mixed","Socioeconomic"
"High poverty levels ","LAC Coastal Plantation Mixed","Human capital, gender and agricultural knowledge"
"Predominantly small-scale subsistence farming","LAC Coastal Plantation Mixed","Human capital, gender and agricultural knowledge"
"High illiteracy rates ","LAC Coastal Plantation Mixed","Human capital, gender and agricultural knowledge"
"Reliance on rainfed agriculture","LAC Coastal Plantation Mixed","Human capital, gender and agricultural knowledge"
"Weak land tenure ","LAC Coastal Plantation Mixed","Institutions and policies"
"Conflict prone area","LAC Coastal Plantation Mixed","Institutions and policies"
"Low access to markets","LAC Coastal Plantation Mixed","Economic, financial and markets"
"Barriers to trade","LAC Coastal Plantation Mixed","Economic, financial and markets"
"Frequent bushfires","LAC Coastal Plantation Mixed","Sensitivity/"
"Water scarce area","LAC Coastal Plantation Mixed","Sensitivity/"
"High prevalence of land degradation","LAC Coastal Plantation Mixed","Sensitivity/"
"High disease prevalence","LAC Coastal Plantation Mixed","Sensitivity/"
"High poverty levels ","LAC Coastal Plantation Mixed","Lack of capacity to cope and adapt"
"Lack of irrigation infrastructure ","LAC Coastal Plantation Mixed","Lack of capacity to cope and adapt"
"Reliance on rainfed agriculture","LAC Coastal Plantation Mixed","Lack of capacity to cope and adapt"
"Predominantly small-scale subsistence farming","LAC Coastal Plantation Mixed","Lack of capacity to cope and adapt"
"Low level of education","LAC Coastal Plantation Mixed","Lack of capacity to cope and adapt"
"Implement marine conservation practices","LAC Coastal Plantation Mixed","Natural capital"
"Implement wetland restoration","LAC Coastal Plantation Mixed","Natural capital"
"Implement reforestation practices","LAC Coastal Plantation Mixed","Natural capital"
"Invest in water harvesting and storage infrastructure","LAC Coastal Plantation Mixed","Physical capital"
"Structural adjustments","LAC Coastal Plantation Mixed","Physical capital"
"Invest in irrigation infrastructure","LAC Coastal Plantation Mixed","Physical capital"
"Implement soil and water conservation practices","LAC Coastal Plantation Mixed","Human capital"
"Adopt drought tolerant varieties","LAC Coastal Plantation Mixed","Human capital"
"Invest in agricultural research and development","LAC Coastal Plantation Mixed","Human capital"
"Plant multiple crop types","LAC Coastal Plantation Mixed","Human capital"
"Implement efficient water management","LAC Coastal Plantation Mixed","Human capital"
"Implement climate smart agriculture practices","LAC Coastal Plantation Mixed","Human capital"
"Implement conservation agriculture practices","LAC Coastal Plantation Mixed","Human capital"
"Apply integrated pest and diseases management","LAC Coastal Plantation Mixed","Human capital"
"Improve climate change awareness","LAC Coastal Plantation Mixed","Human capital"
"Diversify livelihoods","LAC Coastal Plantation Mixed","Human capital"
"Capacity building on sustainable agricultural practices","LAC Coastal Plantation Mixed","Human capital"
"Plant multiple varieties","LAC Coastal Plantation Mixed","Human capital"
"Improve networking and knowledge exchange","LAC Coastal Plantation Mixed","Social capital"
"Build capacity on advocacy","LAC Coastal Plantation Mixed","Social capital"
"Build climate information services","LAC Coastal Plantation Mixed","Political capital "
"Develop policies for building climate change resilience","LAC Coastal Plantation Mixed","Political capital "
"Develop/improve early warning systems","LAC Coastal Plantation Mixed","Political capital "
"Land tenure reform","LAC Coastal Plantation Mixed","Political capital "
"Improve access to markets","LAC Coastal Plantation Mixed","Financial capital"
"Farmers engaged in agri system","LAC Coastal Plantation Mixed",""
"Area of land used","LAC Coastal Plantation Mixed",""
"Food insecurity","LAC Coastal Plantation Mixed",""
"Chronic poverty ","LAC Coastal Plantation Mixed",""
"Loss of livelihoods ","LAC Coastal Plantation Mixed",""
"Increase in drought events","LAC Dryland Mixed","Rainfall related"
"Increase in extreme heat (no. of hot days)","LAC Dryland Mixed","Temperature related"
"Increase in average temperatures","LAC Dryland Mixed","Temperature related"
"Increase in average precipitation","LAC Dryland Mixed","Rainfall related"
"Increase in dry days","LAC Dryland Mixed","Rainfall related"
"Rising sea levels","LAC Dryland Mixed","Rainfall related"
"Increase in tropical cyclones/hurricanes","LAC Dryland Mixed","Maritime related"
"Decrease in average precipitation","LAC Dryland Mixed","Temperature related"
"Increase in extreme rainfall events","LAC Dryland Mixed","Rainfall related"
"Soil erosion","LAC Dryland Mixed","Biophysical"
"Soil salinisation","LAC Dryland Mixed","Biophysical"
"Increase in soil water deficit","LAC Dryland Mixed","Biophysical"
"Reduced crop productivity/failure","LAC Dryland Mixed","Biophysical"
"Land degradation","LAC Dryland Mixed","Biophysical"
"Livestock mortalities","LAC Dryland Mixed","Biophysical"
"Damage to infrastructure","LAC Dryland Mixed","Biophysical"
"Increase in heat stress","LAC Dryland Mixed","Biophysical"
"Reduced livestock productivity","LAC Dryland Mixed","Biophysical"
"Delays in transportation","LAC Dryland Mixed","Biophysical"
"unpredictable planting period","LAC Dryland Mixed","Biophysical"
"water scarcity","LAC Dryland Mixed","Biophysical"
"Increased flooding","LAC Dryland Mixed","Biophysical"
"Leaching of soil nutrients","LAC Dryland Mixed","Biophysical"
"Increase in diseases","LAC Dryland Mixed","Biophysical"
"Increase in invasive plant species","LAC Dryland Mixed","Biophysical"
"Shorter growing season","LAC Dryland Mixed","Biophysical"
"Waterlogging","LAC Dryland Mixed","Biophysical"
"Crop stress/damage/mortality","LAC Dryland Mixed","Biophysical"
"Landslide events","LAC Dryland Mixed","Biophysical"
"Desertification","LAC Dryland Mixed","Biophysical"
"Increase in food insecurity","LAC Dryland Mixed","Socioeconomic"
"Loss of income","LAC Dryland Mixed","Socioeconomic"
"Increase in women's workload","LAC Dryland Mixed","Socioeconomic"
"Competition for resources","LAC Dryland Mixed","Socioeconomic"
"Increase in food imports","LAC Dryland Mixed","Socioeconomic"
"Increase in migration","LAC Dryland Mixed","Socioeconomic"
"Increase in poverty","LAC Dryland Mixed","Socioeconomic"
"Dependence on food aid","LAC Dryland Mixed","Socioeconomic"
"Increase in post-harvest losses","LAC Dryland Mixed","Socioeconomic"
"Increase in food spoilage/wastage","LAC Dryland Mixed","Socioeconomic"
"Increase in food prices","LAC Dryland Mixed","Socioeconomic"
"Reliance on rainfed agriculture","LAC Dryland Mixed","Human capital, gender and agricultural knowledge"
"Inability to interpret climate information","LAC Dryland Mixed","Human capital, gender and agricultural knowledge"
"Crop is highly susceptible to pests ","LAC Dryland Mixed","Human capital, gender and agricultural knowledge"
"Animal/breed is highly susceptible to diseases ","LAC Dryland Mixed","Human capital, gender and agricultural knowledge"
"High poverty levels ","LAC Dryland Mixed","Human capital, gender and agricultural knowledge"
"Demographic pressure on land","LAC Dryland Mixed","Human capital, gender and agricultural knowledge"
"Poor water use efficiency and management","LAC Dryland Mixed","Human capital, gender and agricultural knowledge"
"Low levels of climate change awareness at the farmer level","LAC Dryland Mixed","Human capital, gender and agricultural knowledge"
"Crop is highly susceptible to diseases ","LAC Dryland Mixed","Human capital, gender and agricultural knowledge"
"Weak land tenure ","LAC Dryland Mixed","Institutions and policies"
"Inadequate climate information services","LAC Dryland Mixed","Institutions and policies"
"Weak land tenure and access rights for women","LAC Dryland Mixed","Institutions and policies"
"Low access to markets","LAC Dryland Mixed","Economic, financial and markets"
"Unstable commodity prices","LAC Dryland Mixed","Economic, financial and markets"
"Lack of willingness to invest in sustainable agricultural practices","LAC Dryland Mixed","Economic, financial and markets"
"Lack of access to market information","LAC Dryland Mixed","Economic, financial and markets"
"Water scarce area","LAC Dryland Mixed","Sensitivity/"
"High disease prevalence","LAC Dryland Mixed","Sensitivity/"
"High prevalence of land degradation","LAC Dryland Mixed","Sensitivity/"
"Unfavourable soil conditions","LAC Dryland Mixed","Sensitivity/"
"Frequent bushfires","LAC Dryland Mixed","Sensitivity/"
"High levels of deforestation","LAC Dryland Mixed","Sensitivity/"
"Lack of road infrastructure","LAC Dryland Mixed","Lack of capacity to cope and adapt"
"Lack of access to improved livestock breeds","LAC Dryland Mixed","Lack of capacity to cope and adapt"
"High poverty levels ","LAC Dryland Mixed","Lack of capacity to cope and adapt"
"Reliance on rainfed agriculture","LAC Dryland Mixed","Lack of capacity to cope and adapt"
"Lack of access to improved crop varieties","LAC Dryland Mixed","Lack of capacity to cope and adapt"
"Inadequate agri research and development","LAC Dryland Mixed","Lack of capacity to cope and adapt"
"Lack of irrigation infrastructure ","LAC Dryland Mixed","Lack of capacity to cope and adapt"
"Implement reforestation practices","LAC Dryland Mixed","Natural capital"
"Invest in road infrastructure","LAC Dryland Mixed","Physical capital"
"Invest in irrigation infrastructure","LAC Dryland Mixed","Physical capital"
"Invest in water harvesting and storage infrastructure","LAC Dryland Mixed","Physical capital"
"Diversify livelihoods","LAC Dryland Mixed","Human capital"
"Implement climate smart agriculture practices","LAC Dryland Mixed","Human capital"
"Implement soil and water conservation practices","LAC Dryland Mixed","Human capital"
"Adopt drought tolerant varieties","LAC Dryland Mixed","Human capital"
"Adopt disease tolerant breeds","LAC Dryland Mixed","Human capital"
"Build women's  capacity ","LAC Dryland Mixed","Human capital"
"Diversify livestock ","LAC Dryland Mixed","Human capital"
"Implement erosion control measures","LAC Dryland Mixed","Human capital"
"Improve access to modern processing technologies","LAC Dryland Mixed","Human capital"
"Implement agroforestry practices","LAC Dryland Mixed","Human capital"
"Undertake soil rehabilitation ","LAC Dryland Mixed","Human capital"
"Adopt disease tolerant varieties","LAC Dryland Mixed","Human capital"
"Improve networking and knowledge exchange","LAC Dryland Mixed","Social capital"
"Establish water user associations","LAC Dryland Mixed","Social capital"
"Policy reform","LAC Dryland Mixed","Political capital "
"Invest in agricultural research and development","LAC Dryland Mixed","Political capital "
"Develop/improve early warning systems","LAC Dryland Mixed","Political capital "
"Build capacity on usage of climate information","LAC Dryland Mixed","Political capital "
"Improve access to agricultural extension services","LAC Dryland Mixed","Political capital "
"Land tenure reform","LAC Dryland Mixed","Political capital "
"Improve access to climate information services","LAC Dryland Mixed","Political capital "
"Improve access to markets","LAC Dryland Mixed","Financial capital"
"Support local value chains","LAC Dryland Mixed","Financial capital"
"Improve access to market information","LAC Dryland Mixed","Financial capital"
"Farmers engaged in agri system","LAC Dryland Mixed",""
"Area of land used","LAC Dryland Mixed",""
"Chronic poverty ","LAC Dryland Mixed",""
