ID,"Label","FS name",FS macro region,"Type-1","Description"
37,"Lack of access to improved crop varieties","Lowland Rice",EAP,"Vulnerability","In most countries, seed is generally of poor quality and not necessarily of the most recently recommended variety, because most farmers retain their own seed for replanting for many seed generations. While research services and private companies have developed new crop varieties - including hybrids - with higher yield potential and better local adaptability, they are often unavailable to the majority of farmers or are unsuited to their production practices. Production of seed of improved rice varieties is undertaken in many countries by government services, but quantities are generally much less than required by farmers. This situation has a serious adverse effect on crop yield and overall crop production."
38,"Inadequate climate information services","Lowland Rice",EAP,"Vulnerability",
39,"Poor efficiency of farming","Lowland Rice",EAP,"Vulnerability",
40,"Dependent on a single crop type","Lowland Rice",EAP,"Vulnerability",
41,"Small farm size","Lowland Rice",EAP,"Vulnerability"," Farm sizes are becoming uneconomic, and even with the adoption of best practices would still only be marginal in terms of livelihood. If the trend continues, an increasing proportion of farmers will be unable to rely on agriculture to ensure adequate food security and income levels."
42,"Invest in irrigation infrastructure","Lowland Rice",EAP,"Adaptation option","Promote appropriate water management practices during periods of high salinity (i.e. based on EC testing of irrigation water) in addition to use of salt tolerant, short maturing rice varieties. Manage upstream flow of the Mekong River. It is very important to maintain upstream flows in the future through upstream flow management."
43,"Structural adjustments","Lowland Rice",EAP,"Adaptation option","Resident are adjusting house conditions to cope with the floods. The adaptation measures include construction of storey buildings and elevation above ground level.  Construction of dykes to control the floods and saline water intrusion."
44,"Invest in water harvesting and storage infrastructure","Lowland Rice",EAP,"Adaptation option","Explore the method of underground taming of floods for irrigation (UTFI) proposed by IWMI (http://utfi.iwmi.org/) as an alternative for increasing the groundwater volume for irrigation in the dry season and reducing the damage by floods during heavy rains."
45,"Diversify livelihoods","Lowland Rice",EAP,"Adaptation option","Traditional rice-based farming systems in the region have always been diversified but cropping intensity was mostly low. Farmers have grown various food and non-food crops and raised livestock mainly to meet their domestic needs  Some of the practices in diversifying farming systems included livestock, horticulture, annual and perennial trees combined with livestock. These however depend on a stable supply of water for irrigation.  "
46,"Implement water conservation irrigation","Lowland Rice",EAP,"Adaptation option","Promote appropriate water management practices during periods of high salinity (i.e. based on EC testing of irrigation water) in addition to use of salt tolerant, short maturing rice varieties. Manage upstream flow of the Mekong River. It is very important to maintain upstream flows in the future through upstream flow management. Explore the method of underground taming of floods for irrigation (UTFI) proposed by IWMI (http://utfi.iwmi.org/) as an alternative for increasing the groundwater volume for irrigation in the dry season and reducing the damage by floods during heavy rains."
47,"Implement climate smart agriculture practices","Lowland Rice",EAP,"Adaptation option","Up-scale of CSA and CSV concepts to improve the resilience and adaptive capacities of local communities to extreme climate events. This should also be considered part of medium- and long-term measures. Improve/adopt sustainable resource management practices (water, soil, and crop management). In the three provinces visited, farmers extracted and over-used freshwater illegally, which can reduce freshwater availability for vulnerable communities in coastal areas. Trial, and if successful, out-scale insurance (e.g. weather-index based, remote sensing-based) programmes to protect smallholder farmers and agricultural businesses."
48,"Adopt drought tolerant varieties","Lowland Rice",EAP,"Adaptation option","Farmers’ knowledge and adoption of salinity- and drought-tolerant rice varieties is also limited, as these have seedling stage tolerance and are appropriate for the spring-summer cropping. Design a forward-looking breeding program for the development of new ‛designer’ varieties that fit the new cropping systems and carry the package of traits required for  climate resilience. These varieties should have optimum maturing periods (duration) based on available windows of opportunities and should also combine tolerance of current and foreseen abiotic stresses, such as salinity, drought and heat stress."
49,"Improve climate change awareness","Lowland Rice",EAP,"Adaptation option","Many local farmers do not follow warnings and instructions of local authorities based on rice cultivation calendars, climate and weather forecasts. This requires building mutual trust between farmers, local officers and researchers, providing consistent agro-advisories and supporting policies, and integrating local knowledge in response scenarios to seasonal weather forecasts."
50,"Adjust crop calendar","Lowland Rice",EAP,"Adaptation option","Determine the cut-off date for Dong Xuan season (i.e. the latest date of harvest of Dong Xuan) to avoid late season salinity. Vietnam has successfully implemented the cut-off date to avoid flooding/submergence in flood prone area, and a similar approach should be applied to saline areas."
51,"Invest in agricultural research and development","Lowland Rice",EAP,"Adaptation option","Integrated form of participatory research and extension should be developed and promoted, with less emphasis on single-crop research. This would benefit from synergies between productive activities, and would consider the whole-farm production system - including the sustainability of natural resources and the protection of the environment. Specific support should be given to the development of research resources, both equipment and human resources, to take advantage of new techniques in biotechnology and genetic engineering."
52,"Plant multiple varieties","Lowland Rice",EAP,"Adaptation option",
53,"Implement efficient water management","Lowland Rice",EAP,"Adaptation option","Implement water-saving technologies in upstream provinces (e.g. An Giang, Can Tho, Dong Thap) to reduce water withdrawal and allow for higher water flow to coastal provinces. This would reduce salinity intrusion in the region. "
54,"Build the capacity of agricultural extension agents","Lowland Rice",EAP,"Adaptation option","The capacity of  agencies to provide accurate information for drought and salinity forecasting and early warning systems is limited. This is aggravated by poor mechanisms for coordination, sharing of data and standardization of collected data among relevant ministries, line departments, local authorities, farmers and water users. For example, different teams from provincial departments are doing the  monitoring of water quality in the provinces, but data from these teams could not combined with salinity monitoring at commune levels because of problems in coordination and inconsistence in monitoring methods. "
55,"Improve access to climate information services","Lowland Rice",EAP,"Adaptation option","Existing national, regional and provincial salinity information systems are effective for managing irrigation infrastructure to access both saline and fresh water at the macro level. However information is insufficient to warn rice growers in time when water management infrastructure fails or is unable to protect their fields. If farmers measure and disseminate information about salinity variability in their immediate environment in cooperation with local authorities, communities can make collective decisions and put strategies in place to minimize the risks of salinity intrusion in their rice fields. A real-time salinity monitoring and advisory service in selected salinity-affected communities is needed."
56,"Develop/improve early warning systems","Lowland Rice",EAP,"Adaptation option","The development of an improved climate monitoring and early warning system should be prioritized to help mitigate negative impacts induced by climate change in the Mekong Delta. These can also be used to disseminate technical advisories for drought and salinity preparedness, and recommended adaptation measures (e.g. cut-off dates for rice transplanting/sowing or rearing shrimp, suitable drought and saline tolerant varieties, appropriate farming techniques and practices)."
57,"Build capacity on usage of climate information","Lowland Rice",EAP,"Adaptation option","The capacity of agencies to provide accurate information for drought and salinity forecasting and early warning systems is limited. This is aggravated by poor mechanisms for coordination, sharing of data and standardization of collected data among relevant ministries, line departments, local authorities, farmers and water users. For example, different teams from provincial departments are doing the roving monitoring of water quality in the provinces, but data from these teams could not combined with salinity monitoring at commune levels because of problems in coordination and inconsistence in monitoring methods. "
58,"Improve interprovincial interventions","Lowland Rice",EAP,"Adaptation option","In the MRD, agriculture production of adjacent provinces is interlinked to each other through their land use decisions, water sharing scheme, and farming practice. For example, water holding strategy of upstream provinces may lead to water shortages in downstream regions, or improper shrimp farming techniques of coastal regions may result in intrusion of saline water in rice lands."
59,"Develop policies for building climate change resilience","Lowland Rice",EAP,"Adaptation option"," For sustainable rice production in the system, changing cropping calendar and system cannot be done alone but have to be implemented together with structural measures, water saving technologies, tolerant varieties, and policy and institution. "
60,"Improve access to input/output markets","Lowland Rice",EAP,"Adaptation option","Maintaining rice production under the increasing impact of climate change, reducing input costs through large scale mechanization and irrigation management and ensuring the stable market price are the major priorities of the farmers, managers and policy makers."
61,"Farmers engaged in agri system","Lowland Rice",EAP,"Exposure","The MRD covers an area of about 39,000 km. With a total population of 17.5 million people (about 19% of the national population). The total area of agricultural land in the MRD is 2.6 million hectares. With this land resource, the region produces about 50% of the total amount of food in Vietnam and ensures food security and livelihoods for approximately 70% of the region’s population."
62,"Area of land used","Lowland Rice",EAP,"Exposure","The MRD covers an area of about 39,000 km. With a total population of 17.5 million people (about 19% of the national population). The total area of agricultural land in the MRD is 2.6 million hectares. With this land resource, the region produces about 50% of the total amount of food in Vietnam and ensures food security and livelihoods for approximately 70% of the region’s population."
63,"Food insecurity","Lowland Rice",EAP,"Risk","The rice production system that has a significant role in food security of the country, is increasingly under pressure from climatic related impacts. The Mekong River Delta contributes more than a half of the total domestic rice production and more than 90% of Vietnam’s rice export annually."
64,"Loss of livelihoods ","Lowland Rice",EAP,"Risk"," Coastal induction and saline intrusion are increasing the putting the framers at risks of losing harvests thus impacting on their livelihood"
65,"Chronic poverty ","Lowland Rice",EAP,"Risk","Average household incomes are low and poverty is extensive and severe in many areas.The drought and saltwater intrusion has made hundreds of thousands of families more serious, while most of them are already living under poverty line."
66,"Increase in frost events","Temperate Mixed",EAP,"Hazard","Northern Subsystem is characterized by severe frosts in winter."
67,"Shorter growing season","Temperate Mixed",EAP,"Hazard",
68,"Increase in extreme rainfall events","Temperate Mixed",EAP,"Hazard","Both the Loess Plateau and the Northern Sub-System are characterised by rainfall being concentrated in the summer months."
69,"Increase in hailstorms","Temperate Mixed",EAP,"Hazard","Most storms form in the summer between June and November and the islands of the Philippines are generally the hardest hit."
70,"Increase in tropical cyclones/hurricanes","Temperate Mixed",EAP,"Hazard","The region actually has more tropical cyclone activity than anywhere else on Earth."
71,"Rising sea levels","Temperate Mixed",EAP,"Hazard","The region including contries with this agri system experience sea level rise."
72,"Increase in drought events","Temperate Mixed",EAP,"Hazard","Most parts of East Asia including those with temperate mixed systems are regularly hit by droughts. Though starting slowly, droughts can have devastating cumulative impacts – striking hardest at the poor and heightening inequality, as well as degrading land and reduced crop production.Following the 2015–2016 El Niño-induced drought, the total rice production fell to 27 million tonnes, the lowest since 2000."
73,"Increase in strong winds","Temperate Mixed",EAP,"Hazard","Most parts of the region experiences an important climatic phenomenon  called monsoon which is generated by a reversal of winds."
74,"Increase in average temperatures","Temperate Mixed",EAP,"Hazard",
75,"Land degradation","Temperate Mixed",EAP,"Impact","Shifting cultivation throughout Asia is coming under increasing population  resulting in shortened fallow cycles and resulting resource degradation."
76,"Reduced crop productivity/failure","Temperate Mixed",EAP,"Impact","There is reduced crop productivity in the Northern Sub-System, because cropping is possible only during the summer.Wheat and other cereals are grown concurrently and compete for cultivated land,leading to lower Yields. "
77,"Shorter growing seasons","Temperate Mixed",EAP,"Impact","Shorter growing season especiall in the Northern Sub-System, because climate only permit cropping during summer."
78,"Increase in crop productivity/yields","Temperate Mixed",EAP,"Impact","In the Loess Plateau subsystem, wheat is the main winter crop and its Yields have risen dramatically since 1970 and even in the last decade have achieved 2.7 percent annual growth.Also, maize is projected to double by 2030."
79,"Increased flooding","Temperate Mixed",EAP,"Impact","2011 Bangkok flood caused 41 billion USD damage. In Vietnam, floods significantly affect rice production, the economy, and people's lives."
80,"Increased incidence of bushfires","Temperate Mixed",EAP,"Impact","The region experienced an unprecedented 2019-2020 wildfire season in eastern Australia that led to severe smoke pollution.  More than 10 million hectares of land were burned, and some 33 people killed, along with millions of animals, while over 3,000 homes were destroyed."
81,"Flash floods","Temperate Mixed",EAP,"Impact",
82,"Reduced livestock productivity","Temperate Mixed",EAP,"Impact",
83,"Livestock mortalities","Temperate Mixed",EAP,"Impact",
84,"Unpredictable planting period","Temperate Mixed",EAP,"Impact",
85,"Shorter growing seasons","Temperate Mixed",EAP,"Impact","Northern Subsystem only permits growing of crops during summer, hence the shorter growing season."
86,"Increase in diseases","Temperate Mixed",EAP,"Impact",
87,"Crop stress/damage/mortality","Temperate Mixed",EAP,"Impact",
88,"Soil erosion","Temperate Mixed",EAP,"Impact",
89,"Landslide events","Temperate Mixed",EAP,"Impact",
90,"Damage to infrastructure","Temperate Mixed",EAP,"Impact",
91,"Increase in food insecurity","Temperate Mixed",EAP,"Impact","Food insecurity-In the Northern Sub-System  because cropping is possible only during the summer, wheat  and other cereals are grown concurrently and compete for cultivated land leading to  lower yields due to adverse climatic conditions.Low wheat and ceareal production leads to food insecurity."
92,"Increase in food prices","Temperate Mixed",EAP,"Impact","Increase in food prices due to competition from imported goods."
93,"Loss of income","Temperate Mixed",EAP,"Impact","Households in the region have small farm size , leading to low family income."
94,"Increase in poverty","Temperate Mixed",EAP,"Impact","The region experience modest poverty levels due to low average incomes. East Asia & Pacific poverty rate for 2019 was 22.60%, a 2.1% decline from 2018."
95,"Increase in migration","Temperate Mixed",EAP,"Impact","Increasing migration to cities in China has created labour shortages at crucial times in the farming calendar."
96,"Increase in malnutrition","Temperate Mixed",EAP,"Impact",
97,"Competition for resources","Temperate Mixed",EAP,"Impact",
98,"Increase in livestock mobility","Temperate Mixed",EAP,"Impact",
99,"High poverty levels ","Temperate Mixed",EAP,"Vulnerability","The agrisystem is vulnerable to  moderate poverty levels."
100,"Crop is highly susceptible to diseases ","Temperate Mixed",EAP,"Vulnerability","Maize and wheat are vulnerable to diseases which affect reproduction."
101,"Animal/breed is highly susceptible to diseases ","Temperate Mixed",EAP,"Vulnerability","The animals are showing clinical signs of disease and are more susceptible to heat stress in East Asia and Pacific"
102,"Reliance on rainfed agriculture","Temperate Mixed",EAP,"Vulnerability","12 to 93% of the people live in rainfed areas, and 26 to 84% of the arable land and 5 to 41% of the agricultural output comes from these areas. It is estimated that 70 to 90% of the ruminant livestock (buffaloes, cattle, goats and sheep) are found in the rainfed mixed farms."
103,"Inadequate climate information services","Temperate Mixed",EAP,"Vulnerability","Smallholder farmers especially in the rural areas do not have adequate information on climate change. "
104,"Low access to markets","Temperate Mixed",EAP,"Vulnerability","Pacific island countries need to invest in niche markets, upgrade their transport infrastructure, and improve access to trade to foster sustainable economic growth."
105,"Unstable commodity prices","Temperate Mixed",EAP,"Vulnerability","Demand pressure for pulses led to the  increase in their relative price index. In East Asia, the relative increase in the prices of pulses was much higher than of other basic food, such as cereals and beef. For example, during 1981-2001, pulses price index in India drifted 32% higher compared to wheat prices index."
106,"High prevalence of land degradation","Temperate Mixed",EAP,"Vulnerability","The capacity of the regions environment to sustain economic growth and livelihoods across the region is under serious threat from wasteful resource use and depletion, widespread ecosystem degradation and pollution, and human-made climate change. "
107,"Cultivation area prone to frost","Temperate Mixed",EAP,"Vulnerability","Climate calamities often live in areas prone to natural disasters such as frost. More frequent extreme events will create both a humanitarian and a food crisis."
108,"Frequent bushfires","Temperate Mixed",EAP,"Vulnerability",
109,"Lack of irrigation infrastructure ","Temperate Mixed",EAP,"Vulnerability","The region is vulnerable to inadequate irrigation facilities."
110,"High poverty levels ","Temperate Mixed",EAP,"Vulnerability","Seventy-five percent of the people living in rural East Asia and the Pacific are poor and struggling to afford food."
111,"Reliance on rainfed agriculture","Temperate Mixed",EAP,"Vulnerability","About 43 to 88% of the human population depends on agriculture for their livelihoods, of which 12 to 93% of the people live in rainfed areas in the region."
112,"Low access to credit","Temperate Mixed",EAP,"Vulnerability","Financial inclusion is relatively low in Asian communities."
113,"Lack of willingness to invest in sustainable agricultural practices","Temperate Mixed",EAP,"Vulnerability",
114,"Animal/breed is highly susceptible to pests","Temperate Mixed",EAP,"Vulnerability",
115,"Implement reforestation practices","Temperate Mixed",EAP,"Adaptation option","The Asia–Pacific region is particularly vulnerable to climate change given its large population, high biodiversity, and large number of forest-dependent communities and therefore the need for reforestation practices."
116,"Structural adjustments","Temperate Mixed",EAP,"Adaptation option","Developing economies across East Asia and Pacific are undergoing an important set of structural and demographic changes i.e fast growth rates have coincided with urbanization, population ageing and accelerated structural transformation out of agriculture."
117,"Invest in road infrastructure","Temperate Mixed",EAP,"Adaptation option","Developing Asia will need to invest $26 trillion from 2016 to 2030,  per year, if the region is to maintain its growth momentum,levels of investment in infrastructure are not sufficient, and additional resources for infrastructure investments need to be found."
118,"Invest in irrigation infrastructure","Temperate Mixed",EAP,"Adaptation option",
119,"Invest in water harvesting and storage infrastructure","Temperate Mixed",EAP,"Adaptation option",
120,"Improve climate change awareness","Temperate Mixed",EAP,"Adaptation option","Monitoring systems have been put in place in the region for several decades and have helped to minimize the impacts from these powerful storm systems caused by climate change."
121,"Diversify livelihoods","Temperate Mixed",EAP,"Adaptation option","Diversification of farmers’ income sources beyond agriculture can be an effective way to cope with the adverse impacts of environmental chane."
122,"Migration","Temperate Mixed",EAP,"Adaptation option","Migration is used by households as one of the adaptation strategy and is part of the wider socio-economic transformation in which people leave in order to cope with environmental changes or optimise thei livelihoods."
123,"Invest in agricultural research and development","Temperate Mixed",EAP,"Adaptation option","Need to dentify major areas where locally led research can contribute substantially to policy and implementation programmes for adaptation, particularly as those relate to the poor and other vulnerable communities."
124,"Diversify livestock ","Temperate Mixed",EAP,"Adaptation option","Keeping more than one species of livestock is a risk-minimizing strategy and provides farmers with a wider range of adaptive options against climate unpredictability."
125,"Capacity building on sustainable agricultural practices","Temperate Mixed",EAP,"Adaptation option",
126,"Implement climate smart agriculture practices","Temperate Mixed",EAP,"Adaptation option","Strengthening environmental sustainability and climate resilience of smallholders and rural producers."
127,"Livestock mobility to semi-arid/sub-humid zones","Temperate Mixed",EAP,"Adaptation option","Upgrading their agrifood value chains through a greater focus on food safety and environmental standards."
128,"Adopt disease tolerant breeds","Temperate Mixed",EAP,"Adaptation option",
129,"Adopt disease tolerant varieties","Temperate Mixed",EAP,"Adaptation option",
130,"Adjust crop calendar","Temperate Mixed",EAP,"Adaptation option",
131,"Adopt drought tolerant varieties","Temperate Mixed",EAP,"Adaptation option",
132,"Apply integrated pest and diseases management","Temperate Mixed",EAP,"Adaptation option",
133,"Establish farmer organisations","Temperate Mixed",EAP,"Adaptation option","The first phase of the Medium-term Cooperation Programme with Farmers’ Organizations in Asia and the Pacific (MTCP1) was implemented from 2009 to 2012. Covering 10 countries, it aimed to strengthen the networks of farmers’ organizations."
134,"Establish water user associations","Temperate Mixed",EAP,"Adaptation option","East Asia is frequently affected by drought and its impacts. During 2015 to 2020, the entire  region experienced at least six months of drought,and, ESCAP has advocated for a shift to a more pro-active drought management approach such Water user organizations."
135,"Improve networking and knowledge exchange","Temperate Mixed",EAP,"Adaptation option",
136,"Build capacity on advocacy","Temperate Mixed",EAP,"Adaptation option",
137,"Invest in agricultural research and development","Temperate Mixed",EAP,"Adaptation option","Indeed, agri-cultural research and development (R&D)—particularly to support the adaptation of new technologies and practices to local contexts has been important to increasing agricultural productivity in the region, generating returns of nearly 50% to public spending on R&D in agriculture."
138,"Develop/improve early warning systems","Temperate Mixed",EAP,"Adaptation option","The introduction of  Early Warning Early Action (EWEA) will provide an innovative mechanism for disaster preparedness and early action. Effective EWEA saves lives and minimizes loss and damage caused by climate-related hazards."
139,"Implement disaster recovery strategies","Temperate Mixed",EAP,"Adaptation option","East Asia and the Pacific (EAP) region face recurrent extreme weather events and natural hazards and in FY 2021, USAID/BHA provided nearly $24 million to partner organizations conducting early recovery, risk reduction, and resilience (ER4) activities in 14 countries across EAP, as well as through regional assistance."
140,"Improve access to credit","Temperate Mixed",EAP,"Adaptation option","IFAD is empowering smallholders through its loan and grant programmes and ensuring improved access to credit facilities."
141,"Diversify markets","Temperate Mixed",EAP,"Adaptation option","Much of the region lacks the basic infrastructure to ensuring integration with the global economy through efficient market linkages. Such integration is vital for strengthening intra- and interregional trade through emerging common markets such as the Association of Southeast Asian Nations (ASEAN)."
142,"Improve access to markets","Temperate Mixed",EAP,"Adaptation option","Emphasizing the rural investment and market access infrastructure, and strengthening rural producer organizations."
143,"Support local value chains","Temperate Mixed",EAP,"Adaptation option",
144,"Farmers engaged in agri system","Temperate Mixed",EAP,"Exposure","Farmers engaged in  Agri-system are exposed to  a growing set of inequalities in income and capabilities in most middle-income Asian countries. Also, there is persistence of malnutrition and unequal health outcomes, even in places that have successfully eradicated hunger.Theyare also  exposed to moderate poverty levels."
145,"Area of land used","Temperate Mixed",EAP,"Exposure","Area of land used is exposed to greenhouse gas emissions from the agricultural sector, land degradation and environmental concerns for agriculture."
